GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs da0.s0 at 25 sizes
CLK 1 2.5918 2.5919
RES 1 64 da0.s0 22.7439
RES 1 64 da8.s1 22.7368
RES 1 64 da16.s2 22.6092
RES 1 64 da24.s3 22.6756
RES 1 64 da32.s4 22.7127
RES 1 64 da40.s5 22.7052
RES 1 64 da48.s6 22.6098
RES 1 64 da56.s7 22.6535
RES 1 256 da0.s0 52.4729
RES 1 256 da8.s1 52.6196
RES 1 256 da16.s2 52.4167
RES 1 256 da24.s3 52.8152
RES 1 256 da32.s4 52.5086
RES 1 256 da40.s5 52.5852
RES 1 256 da48.s6 52.3402
RES 1 256 da56.s7 52.2348
RES 1 512 da0.s0 94.9918
RES 1 512 da8.s1 95.5284
RES 1 512 da16.s2 95.2752
RES 1 512 da24.s3 95.8489
RES 1 512 da32.s4 95.2747
RES 1 512 da40.s5 95.7001
RES 1 512 da48.s6 95.3384
RES 1 512 da56.s7 95.6474
RES 1 1024 da0.s0 180.5849
RES 1 1024 da8.s1 181.7892
RES 1 1024 da16.s2 180.2175
RES 1 1024 da24.s3 181.3658
RES 1 1024 da32.s4 180.6373
RES 1 1024 da40.s5 181.2776
RES 1 1024 da48.s6 180.2229
RES 1 1024 da56.s7 181.5928
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs da0.s0 at 25 sizes
CLK 2 2.5913 2.5920
RES 2 64 da0.s0 22.7133
RES 2 64 da8.s1 22.7287
RES 2 64 da16.s2 22.6106
RES 2 64 da24.s3 22.6549
RES 2 64 da32.s4 22.7130
RES 2 64 da40.s5 22.7061
RES 2 64 da48.s6 22.6407
RES 2 64 da56.s7 22.6762
RES 2 256 da0.s0 52.4803
RES 2 256 da8.s1 52.6199
RES 2 256 da16.s2 52.4729
RES 2 256 da24.s3 52.4717
RES 2 256 da32.s4 52.4435
RES 2 256 da40.s5 52.1570
RES 2 256 da48.s6 52.5219
RES 2 256 da56.s7 52.5764
RES 2 512 da0.s0 95.1063
RES 2 512 da8.s1 95.8406
RES 2 512 da16.s2 95.3534
RES 2 512 da24.s3 95.9029
RES 2 512 da32.s4 95.4430
RES 2 512 da40.s5 95.6543
RES 2 512 da48.s6 95.2751
RES 2 512 da56.s7 95.6127
RES 2 1024 da0.s0 180.5313
RES 2 1024 da8.s1 181.5862
RES 2 1024 da16.s2 180.6131
RES 2 1024 da24.s3 181.7915
RES 2 1024 da32.s4 180.7422
RES 2 1024 da40.s5 181.8304
RES 2 1024 da48.s6 180.3669
RES 2 1024 da56.s7 181.5390
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs da0.s0 at 25 sizes
CLK 3 2.5917 2.5918
RES 3 64 da0.s0 22.7137
RES 3 64 da8.s1 22.7326
RES 3 64 da16.s2 22.6102
RES 3 64 da24.s3 22.6501
RES 3 64 da32.s4 22.7370
RES 3 64 da40.s5 22.7008
RES 3 64 da48.s6 22.6353
RES 3 64 da56.s7 22.6550
RES 3 256 da0.s0 52.5352
RES 3 256 da8.s1 52.6219
RES 3 256 da16.s2 52.4124
RES 3 256 da24.s3 52.7542
RES 3 256 da32.s4 52.5854
RES 3 256 da40.s5 52.5581
RES 3 256 da48.s6 52.5374
RES 3 256 da56.s7 52.7629
RES 3 512 da0.s0 95.0301
RES 3 512 da8.s1 95.7797
RES 3 512 da16.s2 95.0931
RES 3 512 da24.s3 95.8929
RES 3 512 da32.s4 95.3223
RES 3 512 da40.s5 95.6059
RES 3 512 da48.s6 95.1212
RES 3 512 da56.s7 95.7426
RES 3 1024 da0.s0 180.4055
RES 3 1024 da8.s1 181.8746
RES 3 1024 da16.s2 180.6024
RES 3 1024 da24.s3 181.7243
RES 3 1024 da32.s4 180.6140
RES 3 1024 da40.s5 181.4515
RES 3 1024 da48.s6 180.2367
RES 3 1024 da56.s7 181.5772
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs da0.s0 at 25 sizes
CLK 4 2.5917 2.5920
RES 4 64 da0.s0 22.7159
RES 4 64 da8.s1 22.7381
RES 4 64 da16.s2 22.6261
RES 4 64 da24.s3 22.6541
RES 4 64 da32.s4 22.7101
RES 4 64 da40.s5 22.7072
RES 4 64 da48.s6 22.6464
RES 4 64 da56.s7 22.6750
RES 4 256 da0.s0 52.4861
RES 4 256 da8.s1 52.0976
RES 4 256 da16.s2 52.4982
RES 4 256 da24.s3 52.7430
RES 4 256 da32.s4 52.4621
RES 4 256 da40.s5 52.5817
RES 4 256 da48.s6 52.4803
RES 4 256 da56.s7 52.7251
RES 4 512 da0.s0 95.0850
RES 4 512 da8.s1 95.7361
RES 4 512 da16.s2 95.2515
RES 4 512 da24.s3 95.8090
RES 4 512 da32.s4 95.3921
RES 4 512 da40.s5 95.3529
RES 4 512 da48.s6 94.9777
RES 4 512 da56.s7 95.5055
RES 4 1024 da0.s0 179.9376
RES 4 1024 da8.s1 181.7662
RES 4 1024 da16.s2 180.5719
RES 4 1024 da24.s3 181.3240
RES 4 1024 da32.s4 180.5164
RES 4 1024 da40.s5 181.6570
RES 4 1024 da48.s6 179.7230
RES 4 1024 da56.s7 181.1479
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs da0.s0 at 25 sizes
CLK 5 2.5919 2.5917
RES 5 64 da0.s0 22.7143
RES 5 64 da8.s1 22.7214
RES 5 64 da16.s2 22.6125
RES 5 64 da24.s3 22.6557
RES 5 64 da32.s4 22.7131
RES 5 64 da40.s5 22.7287
RES 5 64 da48.s6 22.6528
RES 5 64 da56.s7 22.6499
RES 5 256 da0.s0 52.4579
RES 5 256 da8.s1 52.6217
RES 5 256 da16.s2 52.4818
RES 5 256 da24.s3 52.7417
RES 5 256 da32.s4 52.5056
RES 5 256 da40.s5 52.5819
RES 5 256 da48.s6 52.5161
RES 5 256 da56.s7 52.6851
RES 5 512 da0.s0 95.0331
RES 5 512 da8.s1 95.6731
RES 5 512 da16.s2 95.2207
RES 5 512 da24.s3 95.7683
RES 5 512 da32.s4 95.3996
RES 5 512 da40.s5 95.6479
RES 5 512 da48.s6 95.0929
RES 5 512 da56.s7 95.8478
RES 5 1024 da0.s0 180.5828
RES 5 1024 da8.s1 181.6199
RES 5 1024 da16.s2 180.5701
RES 5 1024 da24.s3 181.5352
RES 5 1024 da32.s4 180.6325
RES 5 1024 da40.s5 181.4711
RES 5 1024 da48.s6 180.3818
RES 5 1024 da56.s7 181.7415
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs da0.s0 at 25 sizes
CLK 6 2.5920 2.5920
RES 6 64 da0.s0 22.7129
RES 6 64 da8.s1 22.7270
RES 6 64 da16.s2 22.6072
RES 6 64 da24.s3 22.6595
RES 6 64 da32.s4 22.7145
RES 6 64 da40.s5 22.7275
RES 6 64 da48.s6 22.6441
RES 6 64 da56.s7 22.6721
RES 6 256 da0.s0 52.4691
RES 6 256 da8.s1 52.4549
RES 6 256 da16.s2 52.4035
RES 6 256 da24.s3 52.7525
RES 6 256 da32.s4 52.5834
RES 6 256 da40.s5 52.4687
RES 6 256 da48.s6 52.4641
RES 6 256 da56.s7 52.6073
RES 6 512 da0.s0 95.0978
RES 6 512 da8.s1 95.6625
RES 6 512 da16.s2 95.3996
RES 6 512 da24.s3 95.7755
RES 6 512 da32.s4 95.4292
RES 6 512 da40.s5 95.7245
RES 6 512 da48.s6 95.1944
RES 6 512 da56.s7 95.7091
RES 6 1024 da0.s0 180.3319
RES 6 1024 da8.s1 181.3657
RES 6 1024 da16.s2 180.4137
RES 6 1024 da24.s3 181.5893
RES 6 1024 da32.s4 180.6551
RES 6 1024 da40.s5 181.4071
RES 6 1024 da48.s6 180.3852
RES 6 1024 da56.s7 181.4577
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs da0.s0 at 25 sizes
CLK 7 2.5916 2.5919
RES 7 64 da0.s0 22.7177
RES 7 64 da8.s1 22.7052
RES 7 64 da16.s2 22.6617
RES 7 64 da24.s3 22.6858
RES 7 64 da32.s4 22.7135
RES 7 64 da40.s5 22.7422
RES 7 64 da48.s6 22.6046
RES 7 64 da56.s7 22.6710
RES 7 256 da0.s0 52.4949
RES 7 256 da8.s1 52.5962
RES 7 256 da16.s2 52.3542
RES 7 256 da24.s3 52.7723
RES 7 256 da32.s4 52.5048
RES 7 256 da40.s5 52.5791
RES 7 256 da48.s6 52.4921
RES 7 256 da56.s7 52.7166
RES 7 512 da0.s0 95.1570
RES 7 512 da8.s1 95.6824
RES 7 512 da16.s2 95.3287
RES 7 512 da24.s3 95.9037
RES 7 512 da32.s4 95.2815
RES 7 512 da40.s5 95.7027
RES 7 512 da48.s6 95.3032
RES 7 512 da56.s7 95.7929
RES 7 1024 da0.s0 180.5117
RES 7 1024 da8.s1 181.0588
RES 7 1024 da16.s2 180.3240
RES 7 1024 da24.s3 181.6583
RES 7 1024 da32.s4 180.5350
RES 7 1024 da40.s5 181.5732
RES 7 1024 da48.s6 180.5816
RES 7 1024 da56.s7 181.5700
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs da0.s0 at 25 sizes
CLK 8 2.5919 2.5918
RES 8 64 da0.s0 22.7148
RES 8 64 da8.s1 22.7366
RES 8 64 da16.s2 22.6110
RES 8 64 da24.s3 22.6511
RES 8 64 da32.s4 22.7141
RES 8 64 da40.s5 22.7243
RES 8 64 da48.s6 22.6380
RES 8 64 da56.s7 22.6791
RES 8 256 da0.s0 52.3887
RES 8 256 da8.s1 52.6441
RES 8 256 da16.s2 52.5374
RES 8 256 da24.s3 52.7675
RES 8 256 da32.s4 52.4930
RES 8 256 da40.s5 52.5627
RES 8 256 da48.s6 52.4815
RES 8 256 da56.s7 52.5937
RES 8 512 da0.s0 95.0894
RES 8 512 da8.s1 95.8787
RES 8 512 da16.s2 95.2659
RES 8 512 da24.s3 95.7251
RES 8 512 da32.s4 95.2421
RES 8 512 da40.s5 95.7314
RES 8 512 da48.s6 95.0770
RES 8 512 da56.s7 95.7626
RES 8 1024 da0.s0 180.6012
RES 8 1024 da8.s1 181.1300
RES 8 1024 da16.s2 180.4789
RES 8 1024 da24.s3 181.3596
RES 8 1024 da32.s4 180.5961
RES 8 1024 da40.s5 181.7462
RES 8 1024 da48.s6 180.2678
RES 8 1024 da56.s7 181.1648
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs da0.s0 at 25 sizes
CLK 9 2.5918 2.5920
RES 9 64 da0.s0 22.7278
RES 9 64 da8.s1 22.6986
