GATE PASS (0 failures) -- compared plaintext(4096 B buffer), Xi, ivec and return value of all 8 symbols against B_5500b7e6 at all 8 sizes
CLK 1 2.5915 2.5921
RES 1 16 A_awslc 28.7935
RES 1 16 B_5500b7e6 27.7498
RES 1 16 C_91b1ce25 26.3105
RES 1 16 D_fused 13.8103
RES 1 16 aaA 28.8504
RES 1 16 aaB 27.7856
RES 1 16 aaC 26.3108
RES 1 16 aaD 13.8302
RES 1 32 A_awslc 29.1805
RES 1 32 B_5500b7e6 27.5779
RES 1 32 C_91b1ce25 26.6251
RES 1 32 D_fused 15.3032
RES 1 32 aaA 29.1664
RES 1 32 aaB 27.6564
RES 1 32 aaC 26.6566
RES 1 32 aaD 15.3079
RES 1 64 A_awslc 31.5741
RES 1 64 B_5500b7e6 30.5506
RES 1 64 C_91b1ce25 28.8958
RES 1 64 D_fused 22.7026
RES 1 64 aaA 31.6101
RES 1 64 aaB 30.5616
RES 1 64 aaC 28.9152
RES 1 64 aaD 22.7005
RES 1 128 A_awslc 38.9612
RES 1 128 B_5500b7e6 38.4266
RES 1 128 C_91b1ce25 30.1962
RES 1 128 D_fused 30.0948
RES 1 128 aaA 38.9211
RES 1 128 aaB 38.4588
RES 1 128 aaC 30.2107
RES 1 128 aaD 30.0489
RES 1 256 A_awslc 62.7169
RES 1 256 B_5500b7e6 62.2154
RES 1 256 C_91b1ce25 52.5503
RES 1 256 D_fused 52.3804
RES 1 256 aaA 62.8331
RES 1 256 aaB 62.3861
RES 1 256 aaC 52.6020
RES 1 256 aaD 52.3721
RES 1 512 A_awslc 105.2524
RES 1 512 B_5500b7e6 104.8658
RES 1 512 C_91b1ce25 95.5882
RES 1 512 D_fused 95.1392
RES 1 512 aaA 104.7997
RES 1 512 aaB 105.0108
RES 1 512 aaC 95.3472
RES 1 512 aaD 95.0752
RES 1 1024 A_awslc 190.7461
RES 1 1024 B_5500b7e6 190.2107
RES 1 1024 C_91b1ce25 180.8673
RES 1 1024 D_fused 180.3806
RES 1 1024 aaA 190.6260
RES 1 1024 aaB 190.3471
RES 1 1024 aaC 180.6090
RES 1 1024 aaD 180.3273
RES 1 4096 A_awslc 701.1180
RES 1 4096 B_5500b7e6 702.6283
RES 1 4096 C_91b1ce25 694.1257
RES 1 4096 D_fused 692.9953
RES 1 4096 aaA 701.6113
RES 1 4096 aaB 703.0807
RES 1 4096 aaC 695.3657
RES 1 4096 aaD 692.4047
GATE PASS (0 failures) -- compared plaintext(4096 B buffer), Xi, ivec and return value of all 8 symbols against B_5500b7e6 at all 8 sizes
CLK 2 2.5919 2.5916
RES 2 16 A_awslc 28.7654
RES 2 16 B_5500b7e6 27.6787
RES 2 16 C_91b1ce25 26.3208
RES 2 16 D_fused 13.7994
RES 2 16 aaA 28.8400
RES 2 16 aaB 27.7927
RES 2 16 aaC 26.3218
RES 2 16 aaD 13.8058
RES 2 32 A_awslc 29.1453
RES 2 32 B_5500b7e6 27.5882
RES 2 32 C_91b1ce25 26.6160
RES 2 32 D_fused 15.2998
RES 2 32 aaA 29.1401
RES 2 32 aaB 27.6184
RES 2 32 aaC 26.6353
RES 2 32 aaD 15.3053
RES 2 64 A_awslc 31.4702
RES 2 64 B_5500b7e6 30.5366
RES 2 64 C_91b1ce25 28.8917
RES 2 64 D_fused 22.6983
RES 2 64 aaA 31.5216
RES 2 64 aaB 30.5131
RES 2 64 aaC 28.9154
RES 2 64 aaD 22.7019
RES 2 128 A_awslc 38.9245
RES 2 128 B_5500b7e6 38.4147
RES 2 128 C_91b1ce25 30.1997
RES 2 128 D_fused 30.0824
RES 2 128 aaA 38.9261
RES 2 128 aaB 38.4651
RES 2 128 aaC 30.2069
RES 2 128 aaD 30.0739
RES 2 256 A_awslc 62.8340
RES 2 256 B_5500b7e6 62.2814
RES 2 256 C_91b1ce25 52.5390
RES 2 256 D_fused 52.5062
RES 2 256 aaA 62.8880
RES 2 256 aaB 62.2617
RES 2 256 aaC 52.6001
RES 2 256 aaD 52.3900
RES 2 512 A_awslc 105.1894
RES 2 512 B_5500b7e6 105.1431
RES 2 512 C_91b1ce25 95.3197
RES 2 512 D_fused 95.0293
RES 2 512 aaA 105.4323
RES 2 512 aaB 104.9526
RES 2 512 aaC 95.6295
RES 2 512 aaD 94.4119
RES 2 1024 A_awslc 190.5764
RES 2 1024 B_5500b7e6 190.4856
RES 2 1024 C_91b1ce25 180.8836
RES 2 1024 D_fused 180.4041
RES 2 1024 aaA 190.6456
RES 2 1024 aaB 190.3241
RES 2 1024 aaC 181.1373
RES 2 1024 aaD 180.5583
RES 2 4096 A_awslc 701.5387
RES 2 4096 B_5500b7e6 702.9313
