GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 1 2.7925 2.7924
RES 1 64 ca0.s0 25.1567
RES 1 64 da0.s1 18.3823
RES 1 64 ca8.s2 25.1277
RES 1 64 da8.s3 18.3529
RES 1 64 ca0.s4 25.1809
RES 1 64 da0.s5 18.3783
RES 1 64 ca8.s6 25.1682
RES 1 64 da8.s7 18.3523
RES 1 256 ca0.s0 45.5275
RES 1 256 da0.s1 45.5069
RES 1 256 ca8.s2 45.5521
RES 1 256 da8.s3 45.4285
RES 1 256 ca0.s4 45.6270
RES 1 256 da0.s5 45.6195
RES 1 256 ca8.s6 45.4970
RES 1 256 da8.s7 45.4146
RES 1 512 ca0.s0 84.6427
RES 1 512 da0.s1 84.6279
RES 1 512 ca8.s2 84.7007
RES 1 512 da8.s3 84.6782
RES 1 512 ca0.s4 84.6431
RES 1 512 da0.s5 84.5828
RES 1 512 ca8.s6 84.7280
RES 1 512 da8.s7 84.7031
RES 1 1024 ca0.s0 162.2446
RES 1 1024 da0.s1 162.3448
RES 1 1024 ca8.s2 162.3582
RES 1 1024 da8.s3 162.4251
RES 1 1024 ca0.s4 162.3518
RES 1 1024 da0.s5 162.2461
RES 1 1024 ca8.s6 162.3781
RES 1 1024 da8.s7 162.6645
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 2 2.7925 2.7925
RES 2 64 ca0.s0 25.1602
RES 2 64 da0.s1 18.3849
RES 2 64 ca8.s2 25.1370
RES 2 64 da8.s3 18.3553
RES 2 64 ca0.s4 25.1820
RES 2 64 da0.s5 18.3821
RES 2 64 ca8.s6 25.1774
RES 2 64 da8.s7 18.3746
RES 2 256 ca0.s0 45.6230
RES 2 256 da0.s1 45.4765
RES 2 256 ca8.s2 45.7217
RES 2 256 da8.s3 45.5260
RES 2 256 ca0.s4 45.6115
RES 2 256 da0.s5 45.5504
RES 2 256 ca8.s6 45.5907
RES 2 256 da8.s7 45.5000
RES 2 512 ca0.s0 84.6861
RES 2 512 da0.s1 84.7118
RES 2 512 ca8.s2 84.8825
RES 2 512 da8.s3 84.8047
RES 2 512 ca0.s4 84.8318
RES 2 512 da0.s5 84.6737
RES 2 512 ca8.s6 84.8294
RES 2 512 da8.s7 84.7720
RES 2 1024 ca0.s0 162.3103
RES 2 1024 da0.s1 162.3078
RES 2 1024 ca8.s2 162.5825
RES 2 1024 da8.s3 162.4620
RES 2 1024 ca0.s4 162.5322
RES 2 1024 da0.s5 162.2513
RES 2 1024 ca8.s6 162.4190
RES 2 1024 da8.s7 162.6232
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 3 2.7926 2.7926
RES 3 64 ca0.s0 25.1684
RES 3 64 da0.s1 18.3827
RES 3 64 ca8.s2 25.1469
RES 3 64 da8.s3 18.3559
RES 3 64 ca0.s4 25.1864
RES 3 64 da0.s5 18.3735
RES 3 64 ca8.s6 25.1667
RES 3 64 da8.s7 18.3736
RES 3 256 ca0.s0 45.5314
RES 3 256 da0.s1 45.5164
RES 3 256 ca8.s2 45.6916
RES 3 256 da8.s3 45.4455
RES 3 256 ca0.s4 45.6155
RES 3 256 da0.s5 45.5420
RES 3 256 ca8.s6 45.4832
RES 3 256 da8.s7 45.4846
RES 3 512 ca0.s0 84.6704
RES 3 512 da0.s1 84.6758
RES 3 512 ca8.s2 84.8842
RES 3 512 da8.s3 84.7281
RES 3 512 ca0.s4 84.7811
RES 3 512 da0.s5 84.7575
RES 3 512 ca8.s6 84.8517
RES 3 512 da8.s7 84.6647
RES 3 1024 ca0.s0 162.3221
RES 3 1024 da0.s1 162.3871
RES 3 1024 ca8.s2 162.5281
RES 3 1024 da8.s3 162.3408
RES 3 1024 ca0.s4 162.7360
RES 3 1024 da0.s5 162.5998
RES 3 1024 ca8.s6 162.3699
RES 3 1024 da8.s7 162.7196
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 4 2.7926 2.7927
RES 4 64 ca0.s0 25.1635
RES 4 64 da0.s1 18.3799
RES 4 64 ca8.s2 25.1470
RES 4 64 da8.s3 18.3736
RES 4 64 ca0.s4 25.1680
RES 4 64 da0.s5 18.3763
RES 4 64 ca8.s6 25.1562
RES 4 64 da8.s7 18.3579
RES 4 256 ca0.s0 45.6902
RES 4 256 da0.s1 45.5652
RES 4 256 ca8.s2 45.5339
RES 4 256 da8.s3 45.4340
RES 4 256 ca0.s4 45.7002
RES 4 256 da0.s5 45.5757
RES 4 256 ca8.s6 45.4796
RES 4 256 da8.s7 45.5246
RES 4 512 ca0.s0 84.3787
RES 4 512 da0.s1 84.6446
RES 4 512 ca8.s2 84.7167
RES 4 512 da8.s3 84.6974
RES 4 512 ca0.s4 84.8778
RES 4 512 da0.s5 84.7206
RES 4 512 ca8.s6 84.7595
RES 4 512 da8.s7 84.8184
RES 4 1024 ca0.s0 162.2288
RES 4 1024 da0.s1 162.2373
RES 4 1024 ca8.s2 162.4831
RES 4 1024 da8.s3 162.4665
RES 4 1024 ca0.s4 162.5534
RES 4 1024 da0.s5 162.4102
RES 4 1024 ca8.s6 162.4528
RES 4 1024 da8.s7 162.6213
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 5 2.7927 2.7928
RES 5 64 ca0.s0 25.1598
RES 5 64 da0.s1 18.3736
RES 5 64 ca8.s2 25.1283
RES 5 64 da8.s3 18.3540
RES 5 64 ca0.s4 25.1921
RES 5 64 da0.s5 18.3747
RES 5 64 ca8.s6 25.1582
RES 5 64 da8.s7 18.3565
RES 5 256 ca0.s0 45.6195
RES 5 256 da0.s1 45.4536
RES 5 256 ca8.s2 45.6338
RES 5 256 da8.s3 45.4347
RES 5 256 ca0.s4 45.7197
RES 5 256 da0.s5 45.4944
RES 5 256 ca8.s6 45.5381
RES 5 256 da8.s7 45.5169
RES 5 512 ca0.s0 84.6899
RES 5 512 da0.s1 84.7257
RES 5 512 ca8.s2 84.7190
RES 5 512 da8.s3 84.7039
RES 5 512 ca0.s4 84.6501
RES 5 512 da0.s5 84.2351
RES 5 512 ca8.s6 84.7332
RES 5 512 da8.s7 84.6988
RES 5 1024 ca0.s0 162.2858
RES 5 1024 da0.s1 162.2849
RES 5 1024 ca8.s2 162.3431
RES 5 1024 da8.s3 162.3520
RES 5 1024 ca0.s4 162.5138
RES 5 1024 da0.s5 162.2703
RES 5 1024 ca8.s6 162.4717
RES 5 1024 da8.s7 162.6756
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 6 2.7926 2.7928
RES 6 64 ca0.s0 25.1750
RES 6 64 da0.s1 18.3684
RES 6 64 ca8.s2 25.1711
RES 6 64 da8.s3 18.3524
RES 6 64 ca0.s4 25.1761
RES 6 64 da0.s5 18.3749
RES 6 64 ca8.s6 25.1607
RES 6 64 da8.s7 18.3533
RES 6 256 ca0.s0 45.5921
RES 6 256 da0.s1 45.4581
RES 6 256 ca8.s2 45.6261
