GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 1 2.7926 2.7927
RES 1 64 cn.s0 25.1744
RES 1 64 cn.s1 25.1508
RES 1 64 cn.s2 25.1791
RES 1 64 cn.s3 25.1633
RES 1 64 dn.s4 18.3043
RES 1 64 dn.s5 18.3789
RES 1 64 dn.s6 18.3174
RES 1 64 dn.s7 18.3973
RES 1 256 cn.s0 45.7317
RES 1 256 cn.s1 45.6388
RES 1 256 cn.s2 45.5510
RES 1 256 cn.s3 45.6557
RES 1 256 dn.s4 45.6682
RES 1 256 dn.s5 45.5639
RES 1 256 dn.s6 45.7069
RES 1 256 dn.s7 45.6433
RES 1 512 cn.s0 84.6839
RES 1 512 cn.s1 84.5492
RES 1 512 cn.s2 84.5832
RES 1 512 cn.s3 84.4902
RES 1 512 dn.s4 84.6453
RES 1 512 dn.s5 84.6218
RES 1 512 dn.s6 84.7317
RES 1 512 dn.s7 84.7337
RES 1 1024 cn.s0 162.2066
RES 1 1024 cn.s1 162.2218
RES 1 1024 cn.s2 162.4253
RES 1 1024 cn.s3 162.2321
RES 1 1024 dn.s4 162.2269
RES 1 1024 dn.s5 162.3551
RES 1 1024 dn.s6 162.3193
RES 1 1024 dn.s7 162.5519
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 2 2.7926 2.7927
RES 2 64 cn.s0 25.1756
RES 2 64 cn.s1 25.1767
RES 2 64 cn.s2 25.1761
RES 2 64 cn.s3 25.1496
RES 2 64 dn.s4 18.3206
RES 2 64 dn.s5 18.3806
RES 2 64 dn.s6 18.3243
RES 2 64 dn.s7 18.4000
RES 2 256 cn.s0 45.7617
RES 2 256 cn.s1 45.7021
RES 2 256 cn.s2 45.7199
RES 2 256 cn.s3 45.6134
RES 2 256 dn.s4 45.6421
RES 2 256 dn.s5 45.5882
RES 2 256 dn.s6 45.7044
RES 2 256 dn.s7 45.5791
RES 2 512 cn.s0 84.3815
RES 2 512 cn.s1 84.6255
RES 2 512 cn.s2 84.6004
RES 2 512 cn.s3 84.6457
RES 2 512 dn.s4 84.5719
RES 2 512 dn.s5 84.6072
RES 2 512 dn.s6 84.7612
RES 2 512 dn.s7 84.8199
RES 2 1024 cn.s0 162.2932
RES 2 1024 cn.s1 162.4319
RES 2 1024 cn.s2 162.4499
RES 2 1024 cn.s3 162.3261
RES 2 1024 dn.s4 162.2154
RES 2 1024 dn.s5 162.3205
RES 2 1024 dn.s6 162.2710
RES 2 1024 dn.s7 162.5658
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 3 2.7925 2.7927
RES 3 64 cn.s0 25.1789
RES 3 64 cn.s1 25.1473
RES 3 64 cn.s2 25.1720
RES 3 64 cn.s3 25.1530
RES 3 64 dn.s4 18.3225
RES 3 64 dn.s5 18.3808
RES 3 64 dn.s6 18.3213
RES 3 64 dn.s7 18.3956
RES 3 256 cn.s0 45.7180
RES 3 256 cn.s1 45.6386
RES 3 256 cn.s2 45.6624
RES 3 256 cn.s3 45.5610
RES 3 256 dn.s4 45.6165
RES 3 256 dn.s5 45.5465
RES 3 256 dn.s6 45.6017
RES 3 256 dn.s7 45.5868
RES 3 512 cn.s0 84.6456
RES 3 512 cn.s1 84.5229
RES 3 512 cn.s2 84.6847
RES 3 512 cn.s3 84.1716
RES 3 512 dn.s4 84.6472
RES 3 512 dn.s5 84.5893
RES 3 512 dn.s6 84.8328
RES 3 512 dn.s7 84.8136
RES 3 1024 cn.s0 162.2500
RES 3 1024 cn.s1 162.2523
RES 3 1024 cn.s2 162.2091
RES 3 1024 cn.s3 162.1562
RES 3 1024 dn.s4 162.2368
RES 3 1024 dn.s5 162.3785
RES 3 1024 dn.s6 162.4334
RES 3 1024 dn.s7 162.6012
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 4 2.7924 2.7927
RES 4 64 cn.s0 25.1734
RES 4 64 cn.s1 25.1677
RES 4 64 cn.s2 25.1763
RES 4 64 cn.s3 25.1528
RES 4 64 dn.s4 18.3065
RES 4 64 dn.s5 18.3790
RES 4 64 dn.s6 18.3202
RES 4 64 dn.s7 18.4183
RES 4 256 cn.s0 45.7601
RES 4 256 cn.s1 45.6028
RES 4 256 cn.s2 45.6796
RES 4 256 cn.s3 45.6706
RES 4 256 dn.s4 45.4906
RES 4 256 dn.s5 45.6222
RES 4 256 dn.s6 45.6954
RES 4 256 dn.s7 45.5529
RES 4 512 cn.s0 84.5423
RES 4 512 cn.s1 84.5915
RES 4 512 cn.s2 84.6604
RES 4 512 cn.s3 84.5681
RES 4 512 dn.s4 84.5172
RES 4 512 dn.s5 84.6650
RES 4 512 dn.s6 84.8398
RES 4 512 dn.s7 84.7843
RES 4 1024 cn.s0 162.2440
RES 4 1024 cn.s1 162.2160
RES 4 1024 cn.s2 161.8856
RES 4 1024 cn.s3 162.2647
RES 4 1024 dn.s4 162.3118
RES 4 1024 dn.s5 162.2668
RES 4 1024 dn.s6 162.6287
RES 4 1024 dn.s7 162.6629
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 5 2.7926 2.7926
RES 5 64 cn.s0 25.1832
RES 5 64 cn.s1 25.1683
RES 5 64 cn.s2 25.1741
RES 5 64 cn.s3 25.1561
RES 5 64 dn.s4 18.3042
RES 5 64 dn.s5 18.3692
RES 5 64 dn.s6 18.3200
RES 5 64 dn.s7 18.4139
RES 5 256 cn.s0 45.7200
RES 5 256 cn.s1 45.6360
RES 5 256 cn.s2 45.7093
RES 5 256 cn.s3 45.5594
RES 5 256 dn.s4 45.5255
RES 5 256 dn.s5 45.5105
RES 5 256 dn.s6 45.6805
RES 5 256 dn.s7 45.6236
RES 5 512 cn.s0 84.5204
RES 5 512 cn.s1 84.5623
RES 5 512 cn.s2 84.6035
RES 5 512 cn.s3 84.5968
RES 5 512 dn.s4 84.6265
RES 5 512 dn.s5 84.6666
RES 5 512 dn.s6 84.7184
RES 5 512 dn.s7 84.7964
RES 5 1024 cn.s0 162.3778
RES 5 1024 cn.s1 162.3050
RES 5 1024 cn.s2 162.2203
RES 5 1024 cn.s3 162.2474
RES 5 1024 dn.s4 162.2745
RES 5 1024 dn.s5 162.3735
RES 5 1024 dn.s6 162.3981
RES 5 1024 dn.s7 162.4228
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 6 2.7925 2.7928
RES 6 64 cn.s0 25.1699
RES 6 64 cn.s1 25.1629
RES 6 64 cn.s2 25.1853
RES 6 64 cn.s3 25.1515
RES 6 64 dn.s4 18.3057
RES 6 64 dn.s5 18.3854
RES 6 64 dn.s6 18.3241
RES 6 64 dn.s7 18.4115
RES 6 256 cn.s0 45.6808
RES 6 256 cn.s1 45.6077
RES 6 256 cn.s2 45.7013
RES 6 256 cn.s3 45.6232
RES 6 256 dn.s4 45.6275
RES 6 256 dn.s5 45.5195
RES 6 256 dn.s6 45.7406
RES 6 256 dn.s7 45.5747
RES 6 512 cn.s0 84.6409
RES 6 512 cn.s1 84.6038
RES 6 512 cn.s2 84.6995
RES 6 512 cn.s3 84.6504
RES 6 512 dn.s4 84.5768
RES 6 512 dn.s5 84.6012
RES 6 512 dn.s6 84.6478
RES 6 512 dn.s7 84.7810
RES 6 1024 cn.s0 162.1798
RES 6 1024 cn.s1 162.2641
RES 6 1024 cn.s2 162.2803
RES 6 1024 cn.s3 162.2651
RES 6 1024 dn.s4 162.4159
RES 6 1024 dn.s5 162.4253
RES 6 1024 dn.s6 162.4326
RES 6 1024 dn.s7 162.5882
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 7 2.7928 2.7928
RES 7 64 cn.s0 25.1846
RES 7 64 cn.s1 25.1576
RES 7 64 cn.s2 25.1851
RES 7 64 cn.s3 25.1624
RES 7 64 dn.s4 18.3185
RES 7 64 dn.s5 18.3768
RES 7 64 dn.s6 18.3102
RES 7 64 dn.s7 18.4125
RES 7 256 cn.s0 45.7296
RES 7 256 cn.s1 45.5773
RES 7 256 cn.s2 45.5874
RES 7 256 cn.s3 45.5550
RES 7 256 dn.s4 45.5929
RES 7 256 dn.s5 45.5720
RES 7 256 dn.s6 45.7712
RES 7 256 dn.s7 45.5741
RES 7 512 cn.s0 84.5622
RES 7 512 cn.s1 84.6723
RES 7 512 cn.s2 84.5756
RES 7 512 cn.s3 84.6325
RES 7 512 dn.s4 84.5353
RES 7 512 dn.s5 84.3578
RES 7 512 dn.s6 84.6611
RES 7 512 dn.s7 84.8452
RES 7 1024 cn.s0 162.3989
RES 7 1024 cn.s1 162.2272
RES 7 1024 cn.s2 162.4632
RES 7 1024 cn.s3 162.3718
RES 7 1024 dn.s4 162.5119
RES 7 1024 dn.s5 162.1935
RES 7 1024 dn.s6 162.3038
RES 7 1024 dn.s7 162.4567
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 8 2.7925 2.7923
RES 8 64 cn.s0 25.1783
RES 8 64 cn.s1 25.1585
