GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs dn.s0 at 25 sizes
CLK 1 2.7926 2.7923
RES 1 64 dn.s0 18.3216
RES 1 64 cn.s1 25.1817
RES 1 64 dn.s2 18.3000
RES 1 64 cn.s3 25.1594
RES 1 64 dn.s4 18.3023
RES 1 64 cn.s5 25.2410
RES 1 64 dn.s6 18.3060
RES 1 64 cn.s7 25.1839
RES 1 256 dn.s0 45.7363
RES 1 256 cn.s1 45.5522
RES 1 256 dn.s2 45.6283
RES 1 256 cn.s3 45.6460
RES 1 256 dn.s4 45.6537
RES 1 256 cn.s5 45.5583
RES 1 256 dn.s6 45.5807
RES 1 256 cn.s7 45.6963
RES 1 512 dn.s0 84.7009
RES 1 512 cn.s1 84.6949
RES 1 512 dn.s2 84.6950
RES 1 512 cn.s3 84.7459
RES 1 512 dn.s4 84.6861
RES 1 512 cn.s5 84.6085
RES 1 512 dn.s6 84.5131
RES 1 512 cn.s7 84.7176
RES 1 1024 dn.s0 162.3375
RES 1 1024 cn.s1 162.3005
RES 1 1024 dn.s2 162.5078
RES 1 1024 cn.s3 162.6013
RES 1 1024 dn.s4 162.3479
RES 1 1024 cn.s5 162.2115
RES 1 1024 dn.s6 161.8732
RES 1 1024 cn.s7 162.6343
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs dn.s0 at 25 sizes
CLK 2 2.7926 2.7924
RES 2 64 dn.s0 18.3020
RES 2 64 cn.s1 25.1588
RES 2 64 dn.s2 18.3010
RES 2 64 cn.s3 25.1715
RES 2 64 dn.s4 18.3322
RES 2 64 cn.s5 25.2382
RES 2 64 dn.s6 18.3272
RES 2 64 cn.s7 25.1736
RES 2 256 dn.s0 45.5338
RES 2 256 cn.s1 45.6480
RES 2 256 dn.s2 45.6000
RES 2 256 cn.s3 45.6276
RES 2 256 dn.s4 45.6415
RES 2 256 cn.s5 45.5801
RES 2 256 dn.s6 45.6265
RES 2 256 cn.s7 45.6488
RES 2 512 dn.s0 84.6948
RES 2 512 cn.s1 84.8419
RES 2 512 dn.s2 84.7657
RES 2 512 cn.s3 84.8077
RES 2 512 dn.s4 84.2083
RES 2 512 cn.s5 84.6694
RES 2 512 dn.s6 84.5241
RES 2 512 cn.s7 84.6646
RES 2 1024 dn.s0 162.2984
RES 2 1024 cn.s1 162.6280
RES 2 1024 dn.s2 162.2216
RES 2 1024 cn.s3 161.8009
RES 2 1024 dn.s4 162.2681
RES 2 1024 cn.s5 162.2127
RES 2 1024 dn.s6 162.2706
RES 2 1024 cn.s7 162.5792
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs dn.s0 at 25 sizes
CLK 3 2.7923 2.7924
RES 3 64 dn.s0 18.3207
RES 3 64 cn.s1 25.1435
RES 3 64 dn.s2 18.2991
RES 3 64 cn.s3 25.1564
RES 3 64 dn.s4 18.2996
RES 3 64 cn.s5 25.1903
RES 3 64 dn.s6 18.3178
RES 3 64 cn.s7 25.1821
RES 3 256 dn.s0 45.5931
RES 3 256 cn.s1 45.6069
RES 3 256 dn.s2 45.5745
RES 3 256 cn.s3 45.6581
RES 3 256 dn.s4 45.6560
RES 3 256 cn.s5 45.5794
RES 3 256 dn.s6 45.5843
RES 3 256 cn.s7 45.6327
RES 3 512 dn.s0 84.6821
RES 3 512 cn.s1 84.7866
RES 3 512 dn.s2 84.6865
RES 3 512 cn.s3 84.7587
RES 3 512 dn.s4 84.5456
RES 3 512 cn.s5 84.6628
RES 3 512 dn.s6 84.5279
RES 3 512 cn.s7 84.5845
RES 3 1024 dn.s0 162.2998
RES 3 1024 cn.s1 162.4893
