GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 1 3.2905 3.2907
RES 1 64 ca0.s0 21.0133
RES 1 64 ca8.s1 21.0183
RES 1 64 ca16.s2 21.0109
RES 1 64 ca24.s3 21.0103
RES 1 64 ca32.s4 21.0113
RES 1 64 ca40.s5 21.0192
RES 1 64 ca48.s6 21.0090
RES 1 64 ca56.s7 21.0123
RES 1 256 ca0.s0 38.2704
RES 1 256 ca8.s1 38.2762
RES 1 256 ca16.s2 38.2746
RES 1 256 ca24.s3 38.2644
RES 1 256 ca32.s4 38.2748
RES 1 256 ca40.s5 38.2806
RES 1 256 ca48.s6 38.2730
RES 1 256 ca56.s7 38.2746
RES 1 512 ca0.s0 71.2673
RES 1 512 ca8.s1 71.2990
RES 1 512 ca16.s2 71.2722
RES 1 512 ca24.s3 71.2673
RES 1 512 ca32.s4 71.2378
RES 1 512 ca40.s5 71.3973
RES 1 512 ca48.s6 71.3574
RES 1 512 ca56.s7 71.3804
RES 1 1024 ca0.s0 138.7859
RES 1 1024 ca8.s1 138.7881
RES 1 1024 ca16.s2 138.7778
RES 1 1024 ca24.s3 138.7713
RES 1 1024 ca32.s4 138.7526
RES 1 1024 ca40.s5 139.0633
RES 1 1024 ca48.s6 139.0368
RES 1 1024 ca56.s7 139.0554
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 2 3.2904 3.2906
RES 2 64 ca0.s0 21.0111
RES 2 64 ca8.s1 21.0182
RES 2 64 ca16.s2 21.0145
RES 2 64 ca24.s3 21.0116
RES 2 64 ca32.s4 21.0130
RES 2 64 ca40.s5 21.0143
RES 2 64 ca48.s6 21.0152
RES 2 64 ca56.s7 21.0103
RES 2 256 ca0.s0 38.2760
RES 2 256 ca8.s1 38.2811
RES 2 256 ca16.s2 38.2709
RES 2 256 ca24.s3 38.2658
RES 2 256 ca32.s4 38.2691
RES 2 256 ca40.s5 38.2703
RES 2 256 ca48.s6 38.2824
RES 2 256 ca56.s7 38.2717
RES 2 512 ca0.s0 71.3124
RES 2 512 ca8.s1 71.3060
RES 2 512 ca16.s2 71.2905
RES 2 512 ca24.s3 71.2599
RES 2 512 ca32.s4 71.2311
RES 2 512 ca40.s5 71.3436
RES 2 512 ca48.s6 71.3452
RES 2 512 ca56.s7 71.3565
RES 2 1024 ca0.s0 138.8078
RES 2 1024 ca8.s1 138.7908
RES 2 1024 ca16.s2 138.8074
RES 2 1024 ca24.s3 138.8049
RES 2 1024 ca32.s4 138.7620
RES 2 1024 ca40.s5 139.0742
RES 2 1024 ca48.s6 139.0680
RES 2 1024 ca56.s7 139.0760
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 3 3.2907 3.2911
RES 3 64 ca0.s0 21.0153
RES 3 64 ca8.s1 21.0168
RES 3 64 ca16.s2 21.0095
RES 3 64 ca24.s3 21.0091
RES 3 64 ca32.s4 21.0105
RES 3 64 ca40.s5 21.0159
RES 3 64 ca48.s6 21.0139
RES 3 64 ca56.s7 21.0147
RES 3 256 ca0.s0 38.2851
RES 3 256 ca8.s1 38.2808
RES 3 256 ca16.s2 38.2816
RES 3 256 ca24.s3 38.2774
RES 3 256 ca32.s4 38.2716
RES 3 256 ca40.s5 38.2787
RES 3 256 ca48.s6 38.2847
RES 3 256 ca56.s7 38.2789
RES 3 512 ca0.s0 71.3087
RES 3 512 ca8.s1 71.3030
RES 3 512 ca16.s2 71.2648
RES 3 512 ca24.s3 71.2639
RES 3 512 ca32.s4 71.2282
RES 3 512 ca40.s5 71.3624
RES 3 512 ca48.s6 71.3873
RES 3 512 ca56.s7 71.3653
RES 3 1024 ca0.s0 138.7842
RES 3 1024 ca8.s1 138.7731
RES 3 1024 ca16.s2 138.7772
RES 3 1024 ca24.s3 138.7348
RES 3 1024 ca32.s4 138.7375
RES 3 1024 ca40.s5 139.0501
RES 3 1024 ca48.s6 139.0718
RES 3 1024 ca56.s7 139.0713
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 4 3.2907 3.2906
RES 4 64 ca0.s0 21.0147
RES 4 64 ca8.s1 21.0210
RES 4 64 ca16.s2 21.0188
RES 4 64 ca24.s3 21.0121
RES 4 64 ca32.s4 21.0189
RES 4 64 ca40.s5 21.0140
RES 4 64 ca48.s6 21.0136
RES 4 64 ca56.s7 21.0130
RES 4 256 ca0.s0 38.2841
RES 4 256 ca8.s1 38.2834
RES 4 256 ca16.s2 38.2839
RES 4 256 ca24.s3 38.2701
RES 4 256 ca32.s4 38.2886
RES 4 256 ca40.s5 38.2792
RES 4 256 ca48.s6 38.2867
RES 4 256 ca56.s7 38.2814
RES 4 512 ca0.s0 71.2876
RES 4 512 ca8.s1 71.3086
RES 4 512 ca16.s2 71.3094
RES 4 512 ca24.s3 71.2632
RES 4 512 ca32.s4 71.2625
RES 4 512 ca40.s5 71.3500
RES 4 512 ca48.s6 71.3644
RES 4 512 ca56.s7 71.3599
RES 4 1024 ca0.s0 138.7660
RES 4 1024 ca8.s1 138.7878
RES 4 1024 ca16.s2 138.8004
