GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 1 3.2895 3.2907
RES 1 64 cn.s0 21.0206
RES 1 64 dn.s1 14.5111
RES 1 64 cn.s2 21.0198
RES 1 64 dn.s3 14.5069
RES 1 64 cn.s4 21.0195
RES 1 64 dn.s5 14.5050
RES 1 64 cn.s6 21.0177
RES 1 64 dn.s7 14.5079
RES 1 256 cn.s0 38.2918
RES 1 256 dn.s1 38.2762
RES 1 256 cn.s2 38.2902
RES 1 256 dn.s3 38.2801
RES 1 256 cn.s4 38.2932
RES 1 256 dn.s5 38.2811
RES 1 256 cn.s6 38.2904
RES 1 256 dn.s7 38.2846
RES 1 512 cn.s0 71.3119
RES 1 512 dn.s1 71.2885
RES 1 512 cn.s2 71.3143
RES 1 512 dn.s3 71.2938
RES 1 512 cn.s4 71.3108
RES 1 512 dn.s5 71.2900
RES 1 512 cn.s6 71.3060
RES 1 512 dn.s7 71.2901
RES 1 1024 cn.s0 138.8121
RES 1 1024 dn.s1 138.8055
RES 1 1024 cn.s2 138.8167
RES 1 1024 dn.s3 138.8255
RES 1 1024 cn.s4 138.8117
RES 1 1024 dn.s5 138.8225
RES 1 1024 cn.s6 138.8222
RES 1 1024 dn.s7 138.8157
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 2 3.2904 3.2906
RES 2 64 cn.s0 21.0180
RES 2 64 dn.s1 14.5082
RES 2 64 cn.s2 21.0185
RES 2 64 dn.s3 14.4842
RES 2 64 cn.s4 21.0169
RES 2 64 dn.s5 14.5106
RES 2 64 cn.s6 21.0230
RES 2 64 dn.s7 14.4854
RES 2 256 cn.s0 38.2872
RES 2 256 dn.s1 38.2819
RES 2 256 cn.s2 38.2835
RES 2 256 dn.s3 38.2854
RES 2 256 cn.s4 38.2913
RES 2 256 dn.s5 38.2807
RES 2 256 cn.s6 38.2849
RES 2 256 dn.s7 38.2806
RES 2 512 cn.s0 71.3101
RES 2 512 dn.s1 71.2879
RES 2 512 cn.s2 71.2755
RES 2 512 dn.s3 71.2912
RES 2 512 cn.s4 71.3097
RES 2 512 dn.s5 71.2852
RES 2 512 cn.s6 71.3122
RES 2 512 dn.s7 71.2912
RES 2 1024 cn.s0 138.8087
RES 2 1024 dn.s1 138.7829
RES 2 1024 cn.s2 138.7860
RES 2 1024 dn.s3 138.8181
RES 2 1024 cn.s4 138.8132
RES 2 1024 dn.s5 138.8148
RES 2 1024 cn.s6 138.8058
RES 2 1024 dn.s7 138.8002
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 3 3.2907 3.2907
RES 3 64 cn.s0 21.0196
RES 3 64 dn.s1 14.5089
RES 3 64 cn.s2 21.0127
RES 3 64 dn.s3 14.4861
RES 3 64 cn.s4 21.0124
RES 3 64 dn.s5 14.4850
RES 3 64 cn.s6 21.0160
RES 3 64 dn.s7 14.4861
RES 3 256 cn.s0 38.2821
RES 3 256 dn.s1 38.2766
RES 3 256 cn.s2 38.2761
RES 3 256 dn.s3 38.2804
RES 3 256 cn.s4 38.2773
RES 3 256 dn.s5 38.2769
RES 3 256 cn.s6 38.2663
RES 3 256 dn.s7 38.2828
RES 3 512 cn.s0 71.2746
RES 3 512 dn.s1 71.2822
RES 3 512 cn.s2 71.2619
RES 3 512 dn.s3 71.2738
RES 3 512 cn.s4 71.2683
RES 3 512 dn.s5 71.2786
RES 3 512 cn.s6 71.2484
RES 3 512 dn.s7 71.2799
RES 3 1024 cn.s0 138.8079
RES 3 1024 dn.s1 138.8164
RES 3 1024 cn.s2 138.7963
RES 3 1024 dn.s3 138.8104
RES 3 1024 cn.s4 138.8032
RES 3 1024 dn.s5 138.7807
RES 3 1024 cn.s6 138.7811
RES 3 1024 dn.s7 138.7850
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 4 3.2909 3.2908
RES 4 64 cn.s0 21.0196
