GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 1 2.7927 2.7928
RES 1 64 ca0.s0 25.1624
RES 1 64 da0.s1 18.3767
RES 1 64 ca8.s2 25.1513
RES 1 64 da8.s3 18.3542
RES 1 64 ca0.s4 25.1767
RES 1 64 da0.s5 18.3735
RES 1 64 ca8.s6 25.1648
RES 1 64 da8.s7 18.3764
RES 1 256 ca0.s0 45.5965
RES 1 256 da0.s1 45.5624
RES 1 256 ca8.s2 45.7467
RES 1 256 da8.s3 45.4749
RES 1 256 ca0.s4 45.6245
RES 1 256 da0.s5 45.4430
RES 1 256 ca8.s6 45.6315
RES 1 256 da8.s7 45.4491
RES 1 512 ca0.s0 84.7275
RES 1 512 da0.s1 84.7204
RES 1 512 ca8.s2 84.6025
RES 1 512 da8.s3 84.7914
RES 1 512 ca0.s4 84.7615
RES 1 512 da0.s5 84.6286
RES 1 512 ca8.s6 84.7362
RES 1 512 da8.s7 84.7262
RES 1 1024 ca0.s0 162.2536
RES 1 1024 da0.s1 162.3077
RES 1 1024 ca8.s2 162.4087
RES 1 1024 da8.s3 162.4274
RES 1 1024 ca0.s4 162.4882
RES 1 1024 da0.s5 162.3126
RES 1 1024 ca8.s6 162.4479
RES 1 1024 da8.s7 162.3774
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 2 2.7927 2.7929
RES 2 64 ca0.s0 25.1671
RES 2 64 da0.s1 18.4010
RES 2 64 ca8.s2 25.1737
RES 2 64 da8.s3 18.3630
RES 2 64 ca0.s4 25.1653
RES 2 64 da0.s5 18.3806
RES 2 64 ca8.s6 25.1398
RES 2 64 da8.s7 18.3786
RES 2 256 ca0.s0 45.5953
RES 2 256 da0.s1 45.5110
RES 2 256 ca8.s2 45.5996
RES 2 256 da8.s3 45.4529
RES 2 256 ca0.s4 45.6030
RES 2 256 da0.s5 45.5534
RES 2 256 ca8.s6 45.6047
RES 2 256 da8.s7 45.4419
RES 2 512 ca0.s0 84.6595
RES 2 512 da0.s1 84.7116
RES 2 512 ca8.s2 84.6959
RES 2 512 da8.s3 84.8031
RES 2 512 ca0.s4 84.6676
RES 2 512 da0.s5 84.7569
RES 2 512 ca8.s6 84.7020
RES 2 512 da8.s7 84.6752
RES 2 1024 ca0.s0 162.3566
RES 2 1024 da0.s1 162.4694
RES 2 1024 ca8.s2 162.3468
RES 2 1024 da8.s3 162.4098
RES 2 1024 ca0.s4 162.4192
RES 2 1024 da0.s5 161.9151
RES 2 1024 ca8.s6 162.4285
RES 2 1024 da8.s7 162.3206
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 3 2.7928 2.7928
RES 3 64 ca0.s0 25.1428
RES 3 64 da0.s1 18.3742
RES 3 64 ca8.s2 25.1631
RES 3 64 da8.s3 18.3548
RES 3 64 ca0.s4 25.1823
RES 3 64 da0.s5 18.3808
RES 3 64 ca8.s6 25.1908
RES 3 64 da8.s7 18.3519
RES 3 256 ca0.s0 45.6591
RES 3 256 da0.s1 45.4930
RES 3 256 ca8.s2 45.6829
RES 3 256 da8.s3 45.5148
RES 3 256 ca0.s4 45.6750
RES 3 256 da0.s5 45.5886
RES 3 256 ca8.s6 45.6363
RES 3 256 da8.s7 45.4350
RES 3 512 ca0.s0 84.5888
RES 3 512 da0.s1 84.6687
RES 3 512 ca8.s2 84.6712
RES 3 512 da8.s3 84.9082
RES 3 512 ca0.s4 84.6689
RES 3 512 da0.s5 84.7498
RES 3 512 ca8.s6 84.8350
RES 3 512 da8.s7 84.6837
RES 3 1024 ca0.s0 162.3413
RES 3 1024 da0.s1 162.3574
RES 3 1024 ca8.s2 162.5121
RES 3 1024 da8.s3 162.3039
RES 3 1024 ca0.s4 162.3472
RES 3 1024 da0.s5 162.3122
RES 3 1024 ca8.s6 162.4506
RES 3 1024 da8.s7 162.3860
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
