GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 1 2.7927 2.7928
RES 1 64 ca0.s0 25.1652
RES 1 64 ca8.s1 25.1266
RES 1 64 ca16.s2 25.1465
RES 1 64 ca24.s3 25.1621
RES 1 64 ca32.s4 25.1676
RES 1 64 ca40.s5 25.1322
RES 1 64 ca48.s6 25.1561
RES 1 64 ca56.s7 25.1783
RES 1 256 ca0.s0 45.7242
RES 1 256 ca8.s1 45.4593
RES 1 256 ca16.s2 45.5609
RES 1 256 ca24.s3 45.7023
RES 1 256 ca32.s4 45.7680
RES 1 256 ca40.s5 45.6167
RES 1 256 ca48.s6 45.5831
RES 1 256 ca56.s7 45.7053
RES 1 512 ca0.s0 84.6839
RES 1 512 ca8.s1 84.7160
RES 1 512 ca16.s2 84.5708
RES 1 512 ca24.s3 84.6277
RES 1 512 ca32.s4 84.8427
RES 1 512 ca40.s5 84.5287
RES 1 512 ca48.s6 84.5744
RES 1 512 ca56.s7 84.5941
RES 1 1024 ca0.s0 162.3048
RES 1 1024 ca8.s1 162.3132
RES 1 1024 ca16.s2 162.3117
RES 1 1024 ca24.s3 162.3926
RES 1 1024 ca32.s4 162.4892
RES 1 1024 ca40.s5 162.2579
RES 1 1024 ca48.s6 162.0007
RES 1 1024 ca56.s7 162.3374
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs ca0.s0 at 25 sizes
CLK 2 2.7924 2.7927
RES 2 64 ca0.s0 25.1656
RES 2 64 ca8.s1 25.1303
RES 2 64 ca16.s2 25.1597
RES 2 64 ca24.s3 25.1489
RES 2 64 ca32.s4 25.1652
RES 2 64 ca40.s5 25.1308
RES 2 64 ca48.s6 25.1619
RES 2 64 ca56.s7 25.1961
RES 2 256 ca0.s0 45.6532
RES 2 256 ca8.s1 45.4975
RES 2 256 ca16.s2 45.5533
RES 2 256 ca24.s3 45.5081
RES 2 256 ca32.s4 45.8134
RES 2 256 ca40.s5 45.6980
RES 2 256 ca48.s6 45.6406
RES 2 256 ca56.s7 45.6362
RES 2 512 ca0.s0 84.6009
RES 2 512 ca8.s1 84.5357
