GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs da0.s0 at 25 sizes
CLK 1 2.7925 2.7927
RES 1 64 da0.s0 18.3840
RES 1 64 da8.s1 18.3573
RES 1 64 da16.s2 18.3045
RES 1 64 da24.s3 18.3393
RES 1 64 da32.s4 18.3901
RES 1 64 da40.s5 18.3755
RES 1 64 da48.s6 18.3223
RES 1 64 da56.s7 18.3319
RES 1 256 da0.s0 45.5632
RES 1 256 da8.s1 45.4903
RES 1 256 da16.s2 45.5110
RES 1 256 da24.s3 45.5094
RES 1 256 da32.s4 45.5516
RES 1 256 da40.s5 45.5319
RES 1 256 da48.s6 45.4388
RES 1 256 da56.s7 45.4617
RES 1 512 da0.s0 84.5883
RES 1 512 da8.s1 84.8067
RES 1 512 da16.s2 84.5016
RES 1 512 da24.s3 84.5444
RES 1 512 da32.s4 84.4528
RES 1 512 da40.s5 84.6013
RES 1 512 da48.s6 84.5254
RES 1 512 da56.s7 84.6766
RES 1 1024 da0.s0 162.3262
RES 1 1024 da8.s1 162.3166
RES 1 1024 da16.s2 162.3988
RES 1 1024 da24.s3 162.3860
RES 1 1024 da32.s4 162.2709
RES 1 1024 da40.s5 162.1573
RES 1 1024 da48.s6 162.1769
RES 1 1024 da56.s7 162.6437
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs da0.s0 at 25 sizes
CLK 2 2.7927 2.7927
RES 2 64 da0.s0 18.3817
RES 2 64 da8.s1 18.3519
RES 2 64 da16.s2 18.2999
RES 2 64 da24.s3 18.3390
RES 2 64 da32.s4 18.3893
RES 2 64 da40.s5 18.3551
RES 2 64 da48.s6 18.2983
RES 2 64 da56.s7 18.3292
RES 2 256 da0.s0 45.4930
RES 2 256 da8.s1 45.4492
RES 2 256 da16.s2 45.4565
RES 2 256 da24.s3 45.4690
RES 2 256 da32.s4 45.5484
RES 2 256 da40.s5 45.6047
RES 2 256 da48.s6 45.4489
RES 2 256 da56.s7 45.4726
RES 2 512 da0.s0 84.6992
RES 2 512 da8.s1 84.7268
RES 2 512 da16.s2 84.4948
RES 2 512 da24.s3 84.5802
RES 2 512 da32.s4 84.5513
RES 2 512 da40.s5 84.6255
RES 2 512 da48.s6 84.3871
RES 2 512 da56.s7 84.6138
RES 2 1024 da0.s0 162.3131
RES 2 1024 da8.s1 162.4302
RES 2 1024 da16.s2 162.0554
RES 2 1024 da24.s3 162.5036
RES 2 1024 da32.s4 162.4167
RES 2 1024 da40.s5 162.3285
RES 2 1024 da48.s6 162.1321
RES 2 1024 da56.s7 162.2956
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs da0.s0 at 25 sizes
CLK 3 2.7924 2.7927
RES 3 64 da0.s0 18.3846
RES 3 64 da8.s1 18.3490
RES 3 64 da16.s2 18.3250
RES 3 64 da24.s3 18.3325
RES 3 64 da32.s4 18.3786
RES 3 64 da40.s5 18.3581
RES 3 64 da48.s6 18.3015
RES 3 64 da56.s7 18.3314
RES 3 256 da0.s0 45.5252
RES 3 256 da8.s1 45.5718
RES 3 256 da16.s2 45.4940
RES 3 256 da24.s3 45.4781
RES 3 256 da32.s4 45.4845
RES 3 256 da40.s5 45.5222
RES 3 256 da48.s6 45.4774
RES 3 256 da56.s7 45.5059
RES 3 512 da0.s0 84.6334
RES 3 512 da8.s1 84.6736
RES 3 512 da16.s2 84.5734
RES 3 512 da24.s3 84.6102
RES 3 512 da32.s4 84.4214
RES 3 512 da40.s5 84.5858
RES 3 512 da48.s6 84.4441
RES 3 512 da56.s7 84.5970
RES 3 1024 da0.s0 162.3889
RES 3 1024 da8.s1 162.3958
RES 3 1024 da16.s2 162.1942
RES 3 1024 da24.s3 162.3331
RES 3 1024 da32.s4 162.2213
RES 3 1024 da40.s5 162.2715
RES 3 1024 da48.s6 162.0463
RES 3 1024 da56.s7 162.5708
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs da0.s0 at 25 sizes
CLK 4 2.7928 2.7928
RES 4 64 da0.s0 18.3822
RES 4 64 da8.s1 18.3502
RES 4 64 da16.s2 18.3219
RES 4 64 da24.s3 18.3285
RES 4 64 da32.s4 18.3810
RES 4 64 da40.s5 18.3753
RES 4 64 da48.s6 18.3147
RES 4 64 da56.s7 18.3255
RES 4 256 da0.s0 45.5466
RES 4 256 da8.s1 45.4865
RES 4 256 da16.s2 45.4534
RES 4 256 da24.s3 45.5481
RES 4 256 da32.s4 45.5815
RES 4 256 da40.s5 45.4760
RES 4 256 da48.s6 45.4345
RES 4 256 da56.s7 45.4895
RES 4 512 da0.s0 84.7360
RES 4 512 da8.s1 84.7104
RES 4 512 da16.s2 84.4771
RES 4 512 da24.s3 84.5385
RES 4 512 da32.s4 84.6211
RES 4 512 da40.s5 84.5928
RES 4 512 da48.s6 84.4805
RES 4 512 da56.s7 84.6475
RES 4 1024 da0.s0 162.2870
RES 4 1024 da8.s1 162.3955
RES 4 1024 da16.s2 162.1183
RES 4 1024 da24.s3 162.3476
RES 4 1024 da32.s4 162.1973
RES 4 1024 da40.s5 162.2456
RES 4 1024 da48.s6 162.1909
RES 4 1024 da56.s7 162.3809
