GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 1 2.7926 2.7928
RES 1 64 cn.s0 25.1521
RES 1 64 cn.s1 25.1592
RES 1 64 cn.s2 25.1811
RES 1 64 cn.s3 25.1736
RES 1 64 dn.s4 18.3210
RES 1 64 dn.s5 18.3916
RES 1 64 dn.s6 18.3496
RES 1 64 dn.s7 18.3962
RES 1 256 cn.s0 45.6903
RES 1 256 cn.s1 45.5575
RES 1 256 cn.s2 45.6717
RES 1 256 cn.s3 45.5294
RES 1 256 dn.s4 45.5027
RES 1 256 dn.s5 45.4648
RES 1 256 dn.s6 45.6614
RES 1 256 dn.s7 45.4298
RES 1 512 cn.s0 84.6291
RES 1 512 cn.s1 84.4978
RES 1 512 cn.s2 84.5553
RES 1 512 cn.s3 84.6392
RES 1 512 dn.s4 84.6375
RES 1 512 dn.s5 84.6805
RES 1 512 dn.s6 84.6082
RES 1 512 dn.s7 84.4639
RES 1 1024 cn.s0 162.2349
RES 1 1024 cn.s1 162.2572
RES 1 1024 cn.s2 162.2404
RES 1 1024 cn.s3 162.3849
RES 1 1024 dn.s4 162.1353
RES 1 1024 dn.s5 162.3315
RES 1 1024 dn.s6 162.4581
RES 1 1024 dn.s7 162.3819
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 2 2.7928 2.7930
RES 2 64 cn.s0 25.1600
RES 2 64 cn.s1 25.1431
RES 2 64 cn.s2 25.1797
RES 2 64 cn.s3 25.1933
RES 2 64 dn.s4 18.2938
RES 2 64 dn.s5 18.3879
RES 2 64 dn.s6 18.3662
RES 2 64 dn.s7 18.4090
RES 2 256 cn.s0 45.7065
RES 2 256 cn.s1 45.6056
RES 2 256 cn.s2 45.7045
RES 2 256 cn.s3 45.5243
RES 2 256 dn.s4 45.5187
RES 2 256 dn.s5 45.4517
RES 2 256 dn.s6 45.5923
RES 2 256 dn.s7 45.4668
RES 2 512 cn.s0 84.6471
RES 2 512 cn.s1 84.5776
RES 2 512 cn.s2 84.6141
RES 2 512 cn.s3 84.7719
RES 2 512 dn.s4 84.5993
RES 2 512 dn.s5 84.7469
RES 2 512 dn.s6 84.7485
RES 2 512 dn.s7 84.7764
RES 2 1024 cn.s0 162.3726
RES 2 1024 cn.s1 162.2966
RES 2 1024 cn.s2 162.2281
RES 2 1024 cn.s3 162.3353
RES 2 1024 dn.s4 162.2270
RES 2 1024 dn.s5 162.4155
RES 2 1024 dn.s6 162.3836
RES 2 1024 dn.s7 162.4205
