GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs dn.s0 at 25 sizes
CLK 1 2.7927 2.7929
RES 1 64 dn.s0 18.3021
RES 1 64 cn.s1 25.1762
RES 1 64 dn.s2 18.3213
RES 1 64 cn.s3 25.1876
RES 1 64 dn.s4 18.3028
RES 1 64 cn.s5 25.1951
RES 1 64 dn.s6 18.3079
RES 1 64 cn.s7 25.1465
RES 1 256 dn.s0 45.5876
RES 1 256 cn.s1 45.5314
RES 1 256 dn.s2 45.6053
RES 1 256 cn.s3 45.7325
RES 1 256 dn.s4 45.5348
RES 1 256 cn.s5 45.5646
RES 1 256 dn.s6 45.6083
RES 1 256 cn.s7 45.5181
RES 1 512 dn.s0 84.6282
RES 1 512 cn.s1 84.7910
RES 1 512 dn.s2 84.6116
RES 1 512 cn.s3 84.8368
RES 1 512 dn.s4 84.5523
RES 1 512 cn.s5 84.5595
RES 1 512 dn.s6 84.6654
RES 1 512 cn.s7 84.6363
RES 1 1024 dn.s0 162.3418
RES 1 1024 cn.s1 162.3262
RES 1 1024 dn.s2 162.2627
RES 1 1024 cn.s3 162.1588
RES 1 1024 dn.s4 162.1360
RES 1 1024 cn.s5 162.3500
RES 1 1024 dn.s6 162.4193
RES 1 1024 cn.s7 162.2693
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs dn.s0 at 25 sizes
CLK 2 2.7924 2.7929
RES 2 64 dn.s0 18.3010
RES 2 64 cn.s1 25.1786
RES 2 64 dn.s2 18.3243
RES 2 64 cn.s3 25.1523
RES 2 64 dn.s4 18.3073
RES 2 64 cn.s5 25.2401
RES 2 64 dn.s6 18.3221
RES 2 64 cn.s7 25.1581
RES 2 256 dn.s0 45.5773
RES 2 256 cn.s1 45.5901
RES 2 256 dn.s2 45.5773
RES 2 256 cn.s3 45.7143
RES 2 256 dn.s4 45.5680
RES 2 256 cn.s5 45.5581
RES 2 256 dn.s6 45.6054
RES 2 256 cn.s7 45.5574
RES 2 512 dn.s0 84.6311
RES 2 512 cn.s1 84.6052
RES 2 512 dn.s2 84.6722
RES 2 512 cn.s3 84.8872
RES 2 512 dn.s4 84.5105
RES 2 512 cn.s5 84.5850
RES 2 512 dn.s6 84.6378
RES 2 512 cn.s7 84.7087
RES 2 1024 dn.s0 162.3052
RES 2 1024 cn.s1 162.5208
RES 2 1024 dn.s2 162.2492
RES 2 1024 cn.s3 161.7876
RES 2 1024 dn.s4 162.1679
RES 2 1024 cn.s5 162.3454
RES 2 1024 dn.s6 162.2945
RES 2 1024 cn.s7 162.3879
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs dn.s0 at 25 sizes
CLK 3 2.7926 2.7926
RES 3 64 dn.s0 18.3198
RES 3 64 cn.s1 25.1568
RES 3 64 dn.s2 18.3040
RES 3 64 cn.s3 25.1573
RES 3 64 dn.s4 18.3057
RES 3 64 cn.s5 25.2128
RES 3 64 dn.s6 18.2992
RES 3 64 cn.s7 25.1671
RES 3 256 dn.s0 45.5579
RES 3 256 cn.s1 45.6183
RES 3 256 dn.s2 45.6045
RES 3 256 cn.s3 45.6606
RES 3 256 dn.s4 45.6249
RES 3 256 cn.s5 45.6021
RES 3 256 dn.s6 45.5437
RES 3 256 cn.s7 45.6062
RES 3 512 dn.s0 84.7100
RES 3 512 cn.s1 84.7512
RES 3 512 dn.s2 84.6793
RES 3 512 cn.s3 84.7539
RES 3 512 dn.s4 84.5250
RES 3 512 cn.s5 84.6594
RES 3 512 dn.s6 84.5947
RES 3 512 cn.s7 84.7756
RES 3 1024 dn.s0 162.4779
RES 3 1024 cn.s1 162.3972
RES 3 1024 dn.s2 162.3649
RES 3 1024 cn.s3 161.7771
RES 3 1024 dn.s4 162.2681
RES 3 1024 cn.s5 162.3166
RES 3 1024 dn.s6 162.3108
RES 3 1024 cn.s7 162.4612
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs dn.s0 at 25 sizes
CLK 4 2.7927 2.7929
RES 4 64 dn.s0 18.3057
RES 4 64 cn.s1 25.1607
RES 4 64 dn.s2 18.3197
RES 4 64 cn.s3 25.1962
RES 4 64 dn.s4 18.3084
RES 4 64 cn.s5 25.2107
RES 4 64 dn.s6 18.3263
RES 4 64 cn.s7 25.1693
RES 4 256 dn.s0 45.6167
RES 4 256 cn.s1 45.6073
RES 4 256 dn.s2 45.5764
RES 4 256 cn.s3 45.5962
RES 4 256 dn.s4 45.5487
RES 4 256 cn.s5 45.6173
RES 4 256 dn.s6 45.6096
RES 4 256 cn.s7 45.5135
RES 4 512 dn.s0 84.7180
RES 4 512 cn.s1 84.8229
RES 4 512 dn.s2 84.6399
RES 4 512 cn.s3 84.7245
RES 4 512 dn.s4 84.5317
RES 4 512 cn.s5 84.6911
RES 4 512 dn.s6 84.5758
RES 4 512 cn.s7 84.7380
RES 4 1024 dn.s0 162.2551
RES 4 1024 cn.s1 162.6214
RES 4 1024 dn.s2 162.2188
RES 4 1024 cn.s3 162.3273
RES 4 1024 dn.s4 162.1815
RES 4 1024 cn.s5 162.3593
RES 4 1024 dn.s6 162.3042
RES 4 1024 cn.s7 162.4053
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs dn.s0 at 25 sizes
CLK 5 2.7927 2.7930
RES 5 64 dn.s0 18.3062
RES 5 64 cn.s1 25.1668
RES 5 64 dn.s2 18.3069
RES 5 64 cn.s3 25.1907
RES 5 64 dn.s4 18.3069
RES 5 64 cn.s5 25.2094
RES 5 64 dn.s6 18.3286
RES 5 64 cn.s7 25.1626
RES 5 256 dn.s0 45.5487
RES 5 256 cn.s1 45.5715
RES 5 256 dn.s2 45.6427
RES 5 256 cn.s3 45.7205
RES 5 256 dn.s4 45.5895
RES 5 256 cn.s5 45.5562
RES 5 256 dn.s6 45.7163
RES 5 256 cn.s7 45.6307
RES 5 512 dn.s0 84.6966
RES 5 512 cn.s1 84.7845
RES 5 512 dn.s2 84.7216
RES 5 512 cn.s3 84.4968
RES 5 512 dn.s4 84.5097
RES 5 512 cn.s5 84.6619
RES 5 512 dn.s6 84.5471
RES 5 512 cn.s7 84.6531
RES 5 1024 dn.s0 162.4799
RES 5 1024 cn.s1 162.5552
RES 5 1024 dn.s2 162.3526
RES 5 1024 cn.s3 161.5929
RES 5 1024 dn.s4 162.2095
RES 5 1024 cn.s5 162.3390
RES 5 1024 dn.s6 162.2253
RES 5 1024 cn.s7 162.3768
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs dn.s0 at 25 sizes
CLK 6 2.7929 2.7929
RES 6 64 dn.s0 18.3049
RES 6 64 cn.s1 25.1470
RES 6 64 dn.s2 18.3163
RES 6 64 cn.s3 25.1691
RES 6 64 dn.s4 18.3226
RES 6 64 cn.s5 25.1838
RES 6 64 dn.s6 18.3080
RES 6 64 cn.s7 25.1741
RES 6 256 dn.s0 45.6477
RES 6 256 cn.s1 45.6362
RES 6 256 dn.s2 45.5481
RES 6 256 cn.s3 45.6469
