GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 1 2.7928 2.7928
RES 1 64 cn.s0 25.1711
RES 1 64 dn.s1 18.3824
RES 1 64 cn.s2 25.1627
RES 1 64 dn.s3 18.3812
RES 1 64 cn.s4 25.1779
RES 1 64 dn.s5 18.3814
RES 1 64 cn.s6 25.1548
RES 1 64 dn.s7 18.4004
RES 1 256 cn.s0 45.7345
RES 1 256 dn.s1 45.5603
RES 1 256 cn.s2 45.6696
RES 1 256 dn.s3 45.4658
RES 1 256 cn.s4 45.7399
RES 1 256 dn.s5 45.5343
RES 1 256 cn.s6 45.6423
RES 1 256 dn.s7 45.4395
RES 1 512 cn.s0 84.6612
RES 1 512 dn.s1 84.3719
RES 1 512 cn.s2 84.5580
RES 1 512 dn.s3 84.7439
RES 1 512 cn.s4 84.6980
RES 1 512 dn.s5 84.5914
RES 1 512 cn.s6 84.7210
RES 1 512 dn.s7 84.7351
RES 1 1024 cn.s0 162.6244
RES 1 1024 dn.s1 162.3630
RES 1 1024 cn.s2 162.2194
RES 1 1024 dn.s3 162.2330
RES 1 1024 cn.s4 162.3635
RES 1 1024 dn.s5 162.1696
RES 1 1024 cn.s6 162.2282
RES 1 1024 dn.s7 162.6282
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 2 2.7926 2.7926
RES 2 64 cn.s0 25.1576
RES 2 64 dn.s1 18.3759
RES 2 64 cn.s2 25.1533
RES 2 64 dn.s3 18.3835
RES 2 64 cn.s4 25.1772
RES 2 64 dn.s5 18.3806
RES 2 64 cn.s6 25.1667
RES 2 64 dn.s7 18.4024
RES 2 256 cn.s0 45.6589
RES 2 256 dn.s1 45.5967
RES 2 256 cn.s2 45.6190
RES 2 256 dn.s3 45.4567
RES 2 256 cn.s4 45.6148
RES 2 256 dn.s5 45.5265
RES 2 256 cn.s6 45.6324
RES 2 256 dn.s7 45.5637
RES 2 512 cn.s0 84.6410
RES 2 512 dn.s1 84.7743
RES 2 512 cn.s2 84.5948
RES 2 512 dn.s3 84.6556
RES 2 512 cn.s4 84.7644
RES 2 512 dn.s5 84.6386
RES 2 512 cn.s6 84.5047
RES 2 512 dn.s7 84.7376
RES 2 1024 cn.s0 162.3762
RES 2 1024 dn.s1 162.4190
RES 2 1024 cn.s2 162.2214
RES 2 1024 dn.s3 162.3290
RES 2 1024 cn.s4 162.5842
RES 2 1024 dn.s5 162.2821
RES 2 1024 cn.s6 162.3098
RES 2 1024 dn.s7 162.6350
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 3 2.7927 2.7929
RES 3 64 cn.s0 25.1670
RES 3 64 dn.s1 18.3990
RES 3 64 cn.s2 25.1663
RES 3 64 dn.s3 18.3813
RES 3 64 cn.s4 25.1575
RES 3 64 dn.s5 18.3932
RES 3 64 cn.s6 25.1558
RES 3 64 dn.s7 18.3871
RES 3 256 cn.s0 45.6771
RES 3 256 dn.s1 45.6184
RES 3 256 cn.s2 45.6474
RES 3 256 dn.s3 45.4419
RES 3 256 cn.s4 45.7006
RES 3 256 dn.s5 45.5150
RES 3 256 cn.s6 45.6351
RES 3 256 dn.s7 45.5317
RES 3 512 cn.s0 84.6156
RES 3 512 dn.s1 84.7261
RES 3 512 cn.s2 84.5320
RES 3 512 dn.s3 84.7267
RES 3 512 cn.s4 84.6048
RES 3 512 dn.s5 84.6359
RES 3 512 cn.s6 84.6179
RES 3 512 dn.s7 84.7570
RES 3 1024 cn.s0 162.2841
RES 3 1024 dn.s1 162.5213
RES 3 1024 cn.s2 162.2900
RES 3 1024 dn.s3 162.4434
RES 3 1024 cn.s4 162.4727
RES 3 1024 dn.s5 162.4760
RES 3 1024 cn.s6 162.1240
RES 3 1024 dn.s7 162.5450
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
CLK 4 2.7927 2.7930
RES 4 64 cn.s0 25.1735
RES 4 64 dn.s1 18.3770
RES 4 64 cn.s2 25.1601
RES 4 64 dn.s3 18.3794
RES 4 64 cn.s4 25.2003
RES 4 64 dn.s5 18.3807
RES 4 64 cn.s6 25.1555
RES 4 64 dn.s7 18.3882
RES 4 256 cn.s0 45.6909
RES 4 256 dn.s1 45.5459
RES 4 256 cn.s2 45.6763
RES 4 256 dn.s3 45.4725
RES 4 256 cn.s4 45.6440
RES 4 256 dn.s5 45.5798
RES 4 256 cn.s6 45.7582
RES 4 256 dn.s7 45.6074
RES 4 512 cn.s0 84.7132
RES 4 512 dn.s1 84.7309
RES 4 512 cn.s2 84.6534
RES 4 512 dn.s3 84.7416
RES 4 512 cn.s4 84.6543
RES 4 512 dn.s5 84.6382
RES 4 512 cn.s6 84.6388
RES 4 512 dn.s7 84.6785
RES 4 1024 cn.s0 162.5275
RES 4 1024 dn.s1 162.3039
RES 4 1024 cn.s2 162.2710
RES 4 1024 dn.s3 162.4164
RES 4 1024 cn.s4 162.3629
RES 4 1024 dn.s5 162.3591
RES 4 1024 cn.s6 162.3376
RES 4 1024 dn.s7 162.4907
GATE PASS (0 failures) -- plaintext(4096 B), Xi, ivec, retval of all 8 slots vs cn.s0 at 25 sizes
