GATE PASS (0 failures) -- compared plaintext(4096 B buffer), Xi, ivec and return value of all 8 symbols against B_5500b7e6 at all 8 sizes
CLK 1 2.7924 2.7929
RES 1 16 A_awslc 25.7325
RES 1 16 B_5500b7e6 24.6482
RES 1 16 C_91b1ce25 23.3642
RES 1 16 D_fused 12.5377
RES 1 16 aaA 25.6702
RES 1 16 aaB 24.8484
RES 1 16 aaC 23.3430
RES 1 16 aaD 12.5361
RES 1 32 A_awslc 26.9503
RES 1 32 B_5500b7e6 25.4784
RES 1 32 C_91b1ce25 23.4491
RES 1 32 D_fused 13.2162
RES 1 32 aaA 27.0329
RES 1 32 aaB 25.5010
RES 1 32 aaC 23.4287
RES 1 32 aaD 13.2145
RES 1 64 A_awslc 27.9144
RES 1 64 B_5500b7e6 26.8244
RES 1 64 C_91b1ce25 25.1694
RES 1 64 D_fused 18.3896
RES 1 64 aaA 27.6086
RES 1 64 aaB 26.8353
RES 1 64 aaC 25.1512
RES 1 64 aaD 18.3914
RES 1 128 A_awslc 32.9411
RES 1 128 B_5500b7e6 32.4719
RES 1 128 C_91b1ce25 25.5255
RES 1 128 D_fused 25.4532
RES 1 128 aaA 32.9007
RES 1 128 aaB 32.4811
RES 1 128 aaC 25.4757
RES 1 128 aaD 25.6324
RES 1 256 A_awslc 55.7010
RES 1 256 B_5500b7e6 54.9336
RES 1 256 C_91b1ce25 45.7370
RES 1 256 D_fused 45.5389
RES 1 256 aaA 55.5877
RES 1 256 aaB 54.9666
RES 1 256 aaC 45.6566
RES 1 256 aaD 45.4928
RES 1 512 A_awslc 94.3388
RES 1 512 B_5500b7e6 94.7088
RES 1 512 C_91b1ce25 84.5384
RES 1 512 D_fused 84.7381
RES 1 512 aaA 94.6628
RES 1 512 aaB 94.6219
RES 1 512 aaC 84.4682
RES 1 512 aaD 84.6573
RES 1 1024 A_awslc 172.1934
RES 1 1024 B_5500b7e6 172.3856
RES 1 1024 C_91b1ce25 162.4234
RES 1 1024 D_fused 162.5841
RES 1 1024 aaA 172.7443
RES 1 1024 aaB 172.0843
RES 1 1024 aaC 162.2084
RES 1 1024 aaD 162.4457
RES 1 4096 A_awslc 639.0903
RES 1 4096 B_5500b7e6 638.6860
RES 1 4096 C_91b1ce25 628.8887
RES 1 4096 D_fused 629.1900
RES 1 4096 aaA 639.5083
RES 1 4096 aaB 639.0283
