GATE PASS (0 failures) -- compared plaintext(4096 B buffer), Xi, ivec and return value of all 8 symbols against B_5500b7e6 at all 8 sizes
CLK 1 2.7917 2.7928
RES 1 16 A_awslc 25.7333
RES 1 16 B_5500b7e6 24.8482
RES 1 16 C_91b1ce25 23.3641
RES 1 16 D_fused 12.5283
RES 1 16 aaA 25.6591
RES 1 16 aaB 24.8519
RES 1 16 aaC 23.3622
RES 1 16 aaD 12.5353
RES 1 32 A_awslc 27.0130
RES 1 32 B_5500b7e6 25.4814
RES 1 32 C_91b1ce25 23.4516
RES 1 32 D_fused 13.2174
RES 1 32 aaA 27.0360
RES 1 32 aaB 25.4856
RES 1 32 aaC 23.4323
RES 1 32 aaD 13.2165
RES 1 64 A_awslc 27.9114
RES 1 64 B_5500b7e6 26.8022
RES 1 64 C_91b1ce25 25.1582
RES 1 64 D_fused 18.3899
RES 1 64 aaA 27.8386
RES 1 64 aaB 26.7756
RES 1 64 aaC 25.1602
RES 1 64 aaD 18.3885
RES 1 128 A_awslc 33.0123
RES 1 128 B_5500b7e6 32.4779
RES 1 128 C_91b1ce25 25.5079
RES 1 128 D_fused 25.5972
RES 1 128 aaA 32.9446
RES 1 128 aaB 32.4847
RES 1 128 aaC 25.4651
RES 1 128 aaD 25.6098
RES 1 256 A_awslc 55.7206
RES 1 256 B_5500b7e6 54.9536
RES 1 256 C_91b1ce25 45.7062
RES 1 256 D_fused 45.5634
RES 1 256 aaA 55.2914
RES 1 256 aaB 54.7054
RES 1 256 aaC 45.6645
RES 1 256 aaD 45.4725
RES 1 512 A_awslc 94.5849
RES 1 512 B_5500b7e6 94.5482
RES 1 512 C_91b1ce25 84.5907
RES 1 512 D_fused 84.7476
RES 1 512 aaA 94.5708
RES 1 512 aaB 94.5742
RES 1 512 aaC 84.5678
RES 1 512 aaD 84.7458
RES 1 1024 A_awslc 172.3127
RES 1 1024 B_5500b7e6 172.1969
RES 1 1024 C_91b1ce25 162.2353
RES 1 1024 D_fused 162.6927
RES 1 1024 aaA 172.3024
RES 1 1024 aaB 172.1987
RES 1 1024 aaC 162.1280
RES 1 1024 aaD 162.4840
RES 1 4096 A_awslc 639.0593
RES 1 4096 B_5500b7e6 638.7780
RES 1 4096 C_91b1ce25 629.3583
RES 1 4096 D_fused 628.9520
RES 1 4096 aaA 639.4183
RES 1 4096 aaB 639.4633
RES 1 4096 aaC 628.6153
RES 1 4096 aaD 628.9237
GATE PASS (0 failures) -- compared plaintext(4096 B buffer), Xi, ivec and return value of all 8 symbols against B_5500b7e6 at all 8 sizes
CLK 2 2.7926 2.7928
RES 2 16 A_awslc 25.7054
RES 2 16 B_5500b7e6 24.8486
RES 2 16 C_91b1ce25 23.3631
RES 2 16 D_fused 12.5338
RES 2 16 aaA 25.6765
RES 2 16 aaB 24.8436
RES 2 16 aaC 23.3385
RES 2 16 aaD 12.5377
RES 2 32 A_awslc 26.9716
RES 2 32 B_5500b7e6 25.4753
RES 2 32 C_91b1ce25 23.4581
RES 2 32 D_fused 13.2150
RES 2 32 aaA 27.0460
RES 2 32 aaB 25.4997
RES 2 32 aaC 23.4237
RES 2 32 aaD 13.2163
RES 2 64 A_awslc 27.6268
RES 2 64 B_5500b7e6 26.8288
RES 2 64 C_91b1ce25 25.1566
RES 2 64 D_fused 18.3874
RES 2 64 aaA 27.6876
RES 2 64 aaB 26.8068
RES 2 64 aaC 25.1540
RES 2 64 aaD 18.3963
RES 2 128 A_awslc 32.9414
RES 2 128 B_5500b7e6 32.4729
RES 2 128 C_91b1ce25 25.4794
RES 2 128 D_fused 25.6037
RES 2 128 aaA 32.9313
RES 2 128 aaB 32.4864
RES 2 128 aaC 25.4681
RES 2 128 aaD 25.6370
RES 2 256 A_awslc 55.6529
RES 2 256 B_5500b7e6 54.9513
RES 2 256 C_91b1ce25 45.6751
RES 2 256 D_fused 45.5115
RES 2 256 aaA 55.5640
RES 2 256 aaB 54.4664
RES 2 256 aaC 45.5966
RES 2 256 aaD 45.5071
RES 2 512 A_awslc 94.4229
RES 2 512 B_5500b7e6 94.3782
RES 2 512 C_91b1ce25 84.4903
RES 2 512 D_fused 84.7648
RES 2 512 aaA 94.7117
RES 2 512 aaB 94.5443
RES 2 512 aaC 84.5245
RES 2 512 aaD 84.5908
RES 2 1024 A_awslc 172.3057
RES 2 1024 B_5500b7e6 172.0181
RES 2 1024 C_91b1ce25 162.3610
RES 2 1024 D_fused 162.5233
RES 2 1024 aaA 172.4081
RES 2 1024 aaB 172.0426
RES 2 1024 aaC 162.1254
RES 2 1024 aaD 162.4399
RES 2 4096 A_awslc 639.3247
RES 2 4096 B_5500b7e6 638.3883
RES 2 4096 C_91b1ce25 628.5493
RES 2 4096 D_fused 628.8480
RES 2 4096 aaA 639.3733
RES 2 4096 aaB 639.4787
RES 2 4096 aaC 628.4627
RES 2 4096 aaD 628.9827
GATE PASS (0 failures) -- compared plaintext(4096 B buffer), Xi, ivec and return value of all 8 symbols against B_5500b7e6 at all 8 sizes
CLK 3 2.7924 2.7927
RES 3 16 A_awslc 25.7327
RES 3 16 B_5500b7e6 24.8497
RES 3 16 C_91b1ce25 23.3629
RES 3 16 D_fused 12.5323
RES 3 16 aaA 25.6929
RES 3 16 aaB 24.8495
RES 3 16 aaC 23.3579
RES 3 16 aaD 12.5353
RES 3 32 A_awslc 26.9530
RES 3 32 B_5500b7e6 25.4189
RES 3 32 C_91b1ce25 23.4403
RES 3 32 D_fused 13.2155
RES 3 32 aaA 26.9298
RES 3 32 aaB 25.4360
RES 3 32 aaC 23.4201
RES 3 32 aaD 13.2147
RES 3 64 A_awslc 27.7322
RES 3 64 B_5500b7e6 28.0174
RES 3 64 C_91b1ce25 25.1678
RES 3 64 D_fused 18.3881
RES 3 64 aaA 28.0703
RES 3 64 aaB 26.8132
RES 3 64 aaC 25.1524
RES 3 64 aaD 18.3953
RES 3 128 A_awslc 32.9825
RES 3 128 B_5500b7e6 32.4683
RES 3 128 C_91b1ce25 25.4931
RES 3 128 D_fused 25.4674
RES 3 128 aaA 32.9673
RES 3 128 aaB 32.4798
RES 3 128 aaC 25.4836
RES 3 128 aaD 25.6245
RES 3 256 A_awslc 55.5482
RES 3 256 B_5500b7e6 54.8900
RES 3 256 C_91b1ce25 45.6551
RES 3 256 D_fused 45.6057
RES 3 256 aaA 55.5854
RES 3 256 aaB 54.7902
RES 3 256 aaC 45.5962
RES 3 256 aaD 45.5315
RES 3 512 A_awslc 94.4034
RES 3 512 B_5500b7e6 94.2174
RES 3 512 C_91b1ce25 84.5647
RES 3 512 D_fused 84.8303
RES 3 512 aaA 94.7117
RES 3 512 aaB 94.2894
RES 3 512 aaC 84.5433
RES 3 512 aaD 84.6785
RES 3 1024 A_awslc 172.5891
RES 3 1024 B_5500b7e6 172.2140
RES 3 1024 C_91b1ce25 162.2583
RES 3 1024 D_fused 162.5261
RES 3 1024 aaA 172.4703
RES 3 1024 aaB 171.9751
RES 3 1024 aaC 162.1450
RES 3 1024 aaD 162.3673
RES 3 4096 A_awslc 639.3993
RES 3 4096 B_5500b7e6 638.7927
RES 3 4096 C_91b1ce25 628.9647
RES 3 4096 D_fused 628.5570
RES 3 4096 aaA 639.6273
RES 3 4096 aaB 639.3390
RES 3 4096 aaC 628.1223
RES 3 4096 aaD 629.3330
GATE PASS (0 failures) -- compared plaintext(4096 B buffer), Xi, ivec and return value of all 8 symbols against B_5500b7e6 at all 8 sizes
CLK 4 2.7927 2.7928
RES 4 16 A_awslc 25.6682
RES 4 16 B_5500b7e6 24.8470
RES 4 16 C_91b1ce25 23.3657
RES 4 16 D_fused 12.5299
RES 4 16 aaA 25.6775
RES 4 16 aaB 24.8463
RES 4 16 aaC 23.3470
RES 4 16 aaD 12.5361
RES 4 32 A_awslc 27.0221
RES 4 32 B_5500b7e6 25.4835
RES 4 32 C_91b1ce25 23.4379
RES 4 32 D_fused 13.2148
RES 4 32 aaA 26.9986
RES 4 32 aaB 25.4970
RES 4 32 aaC 23.4141
RES 4 32 aaD 13.2155
RES 4 64 A_awslc 27.6514
RES 4 64 B_5500b7e6 26.9007
RES 4 64 C_91b1ce25 25.1585
RES 4 64 D_fused 18.3860
RES 4 64 aaA 27.7258
RES 4 64 aaB 26.7662
RES 4 64 aaC 25.1519
RES 4 64 aaD 18.3908
RES 4 128 A_awslc 32.9671
RES 4 128 B_5500b7e6 32.4755
RES 4 128 C_91b1ce25 25.4840
RES 4 128 D_fused 25.4884
RES 4 128 aaA 32.9466
RES 4 128 aaB 32.4838
RES 4 128 aaC 25.4748
RES 4 128 aaD 25.6240
RES 4 256 A_awslc 55.5459
RES 4 256 B_5500b7e6 54.4869
RES 4 256 C_91b1ce25 45.6560
RES 4 256 D_fused 45.5088
RES 4 256 aaA 55.3846
RES 4 256 aaB 54.6060
RES 4 256 aaC 45.7177
RES 4 256 aaD 45.5236
RES 4 512 A_awslc 94.2849
RES 4 512 B_5500b7e6 94.4967
RES 4 512 C_91b1ce25 83.6370
RES 4 512 D_fused 84.6577
RES 4 512 aaA 94.6443
RES 4 512 aaB 94.5378
RES 4 512 aaC 84.5830
RES 4 512 aaD 84.7005
RES 4 1024 A_awslc 172.2777
RES 4 1024 B_5500b7e6 172.1036
RES 4 1024 C_91b1ce25 162.3190
RES 4 1024 D_fused 162.3637
RES 4 1024 aaA 172.4581
RES 4 1024 aaB 171.9513
RES 4 1024 aaC 162.0459
RES 4 1024 aaD 162.5441
RES 4 4096 A_awslc 639.2567
RES 4 4096 B_5500b7e6 638.7600
RES 4 4096 C_91b1ce25 629.4777
RES 4 4096 D_fused 628.5903
RES 4 4096 aaA 639.4560
RES 4 4096 aaB 639.2533
RES 4 4096 aaC 628.6087
RES 4 4096 aaD 629.5073
GATE PASS (0 failures) -- compared plaintext(4096 B buffer), Xi, ivec and return value of all 8 symbols against B_5500b7e6 at all 8 sizes
CLK 5 2.7926 2.7928
RES 5 16 A_awslc 25.7066
RES 5 16 B_5500b7e6 24.8485
RES 5 16 C_91b1ce25 23.3636
RES 5 16 D_fused 12.5307
RES 5 16 aaA 25.7082
RES 5 16 aaB 24.8447
RES 5 16 aaC 23.3337
RES 5 16 aaD 12.5353
RES 5 32 A_awslc 27.0014
RES 5 32 B_5500b7e6 25.4825
RES 5 32 C_91b1ce25 23.4640
RES 5 32 D_fused 13.2160
RES 5 32 aaA 26.9996
RES 5 32 aaB 25.5041
RES 5 32 aaC 23.4112
RES 5 32 aaD 13.2156
RES 5 64 A_awslc 28.0743
RES 5 64 B_5500b7e6 26.7992
RES 5 64 C_91b1ce25 25.1608
RES 5 64 D_fused 18.3901
RES 5 64 aaA 28.1501
RES 5 64 aaB 26.8106
RES 5 64 aaC 25.1518
RES 5 64 aaD 18.3891
RES 5 128 A_awslc 32.9238
RES 5 128 B_5500b7e6 32.4751
RES 5 128 C_91b1ce25 25.5010
RES 5 128 D_fused 25.4733
RES 5 128 aaA 32.9194
RES 5 128 aaB 32.4356
RES 5 128 aaC 25.4809
RES 5 128 aaD 25.6383
RES 5 256 A_awslc 55.6306
RES 5 256 B_5500b7e6 54.7771
RES 5 256 C_91b1ce25 45.5729
RES 5 256 D_fused 45.5460
RES 5 256 aaA 55.1103
RES 5 256 aaB 54.8785
RES 5 256 aaC 45.6382
RES 5 256 aaD 45.5102
RES 5 512 A_awslc 94.6521
RES 5 512 B_5500b7e6 94.3874
RES 5 512 C_91b1ce25 84.5788
RES 5 512 D_fused 84.7032
RES 5 512 aaA 94.5592
RES 5 512 aaB 94.4698
RES 5 512 aaC 84.5935
RES 5 512 aaD 83.8514
RES 5 1024 A_awslc 172.3387
RES 5 1024 B_5500b7e6 172.1806
RES 5 1024 C_91b1ce25 161.6554
RES 5 1024 D_fused 162.3783
RES 5 1024 aaA 172.3066
RES 5 1024 aaB 171.8220
RES 5 1024 aaC 162.2630
RES 5 1024 aaD 162.2469
RES 5 4096 A_awslc 639.4627
RES 5 4096 B_5500b7e6 638.8127
RES 5 4096 C_91b1ce25 629.0720
RES 5 4096 D_fused 628.6023
RES 5 4096 aaA 639.2587
RES 5 4096 aaB 638.8853
RES 5 4096 aaC 627.9277
RES 5 4096 aaD 628.8307
GATE PASS (0 failures) -- compared plaintext(4096 B buffer), Xi, ivec and return value of all 8 symbols against B_5500b7e6 at all 8 sizes
CLK 6 2.7925 2.7929
RES 6 16 A_awslc 25.7525
RES 6 16 B_5500b7e6 24.8500
RES 6 16 C_91b1ce25 23.3638
RES 6 16 D_fused 12.5303
RES 6 16 aaA 25.7017
RES 6 16 aaB 24.8476
RES 6 16 aaC 23.3398
RES 6 16 aaD 12.5336
RES 6 32 A_awslc 26.9951
RES 6 32 B_5500b7e6 25.4657
RES 6 32 C_91b1ce25 23.4619
RES 6 32 D_fused 13.2167
RES 6 32 aaA 26.9826
RES 6 32 aaB 25.4712
RES 6 32 aaC 23.4434
RES 6 32 aaD 13.2165
RES 6 64 A_awslc 28.0893
RES 6 64 B_5500b7e6 26.7923
RES 6 64 C_91b1ce25 25.1632
RES 6 64 D_fused 18.3893
RES 6 64 aaA 27.6359
RES 6 64 aaB 26.8029
RES 6 64 aaC 25.1566
RES 6 64 aaD 18.3966
RES 6 128 A_awslc 33.0273
RES 6 128 B_5500b7e6 32.4860
RES 6 128 C_91b1ce25 25.4813
RES 6 128 D_fused 25.4639
RES 6 128 aaA 32.9089
RES 6 128 aaB 32.4791
RES 6 128 aaC 25.4807
RES 6 128 aaD 25.6264
RES 6 256 A_awslc 55.5734
RES 6 256 B_5500b7e6 54.7402
RES 6 256 C_91b1ce25 45.6559
RES 6 256 D_fused 45.6238
RES 6 256 aaA 55.0323
RES 6 256 aaB 54.3940
RES 6 256 aaC 45.6232
RES 6 256 aaD 45.5031
RES 6 512 A_awslc 94.5687
RES 6 512 B_5500b7e6 94.3743
RES 6 512 C_91b1ce25 84.6765
RES 6 512 D_fused 84.7196
RES 6 512 aaA 94.6679
RES 6 512 aaB 94.5392
RES 6 512 aaC 84.5434
RES 6 512 aaD 84.6979
RES 6 1024 A_awslc 172.3197
RES 6 1024 B_5500b7e6 172.0463
RES 6 1024 C_91b1ce25 162.2014
RES 6 1024 D_fused 162.4394
RES 6 1024 aaA 172.6944
RES 6 1024 aaB 172.1447
RES 6 1024 aaC 162.0831
RES 6 1024 aaD 162.3374
RES 6 4096 A_awslc 638.8000
RES 6 4096 B_5500b7e6 638.5837
RES 6 4096 C_91b1ce25 628.4377
RES 6 4096 D_fused 628.4963
RES 6 4096 aaA 639.3347
RES 6 4096 aaB 639.3657
RES 6 4096 aaC 627.8593
RES 6 4096 aaD 629.0650
GATE PASS (0 failures) -- compared plaintext(4096 B buffer), Xi, ivec and return value of all 8 symbols against B_5500b7e6 at all 8 sizes
CLK 7 2.7923 2.7928
RES 7 16 A_awslc 25.7292
RES 7 16 B_5500b7e6 24.8503
RES 7 16 C_91b1ce25 23.3636
RES 7 16 D_fused 12.5288
RES 7 16 aaA 25.6795
RES 7 16 aaB 24.8492
RES 7 16 aaC 23.3593
RES 7 16 aaD 12.5337
RES 7 32 A_awslc 26.9501
RES 7 32 B_5500b7e6 25.4407
RES 7 32 C_91b1ce25 23.4415
RES 7 32 D_fused 13.2172
RES 7 32 aaA 26.9270
RES 7 32 aaB 25.4450
RES 7 32 aaC 23.4405
RES 7 32 aaD 13.2168
RES 7 64 A_awslc 27.5639
RES 7 64 B_5500b7e6 26.8669
RES 7 64 C_91b1ce25 25.1588
RES 7 64 D_fused 18.3852
RES 7 64 aaA 27.5745
RES 7 64 aaB 26.7657
RES 7 64 aaC 25.1513
RES 7 64 aaD 18.3959
RES 7 128 A_awslc 32.9730
RES 7 128 B_5500b7e6 32.4707
RES 7 128 C_91b1ce25 25.4540
RES 7 128 D_fused 25.4433
RES 7 128 aaA 32.9463
RES 7 128 aaB 32.4820
RES 7 128 aaC 25.4970
RES 7 128 aaD 25.6171
RES 7 256 A_awslc 55.3404
RES 7 256 B_5500b7e6 54.7161
RES 7 256 C_91b1ce25 45.7512
RES 7 256 D_fused 45.5967
RES 7 256 aaA 55.5843
RES 7 256 aaB 54.7780
RES 7 256 aaC 45.6264
RES 7 256 aaD 45.5160
RES 7 512 A_awslc 94.2083
RES 7 512 B_5500b7e6 94.3675
RES 7 512 C_91b1ce25 84.5784
RES 7 512 D_fused 84.7667
RES 7 512 aaA 94.6707
RES 7 512 aaB 94.3323
RES 7 512 aaC 84.6372
RES 7 512 aaD 84.6518
RES 7 1024 A_awslc 171.8984
RES 7 1024 B_5500b7e6 171.9593
RES 7 1024 C_91b1ce25 162.3873
RES 7 1024 D_fused 162.3961
RES 7 1024 aaA 172.5114
RES 7 1024 aaB 172.1503
RES 7 1024 aaC 162.2499
RES 7 1024 aaD 162.2477
RES 7 4096 A_awslc 639.2233
RES 7 4096 B_5500b7e6 638.6197
RES 7 4096 C_91b1ce25 629.4533
RES 7 4096 D_fused 629.1183
RES 7 4096 aaA 639.3157
RES 7 4096 aaB 638.9280
RES 7 4096 aaC 628.0323
RES 7 4096 aaD 628.5960
GATE PASS (0 failures) -- compared plaintext(4096 B buffer), Xi, ivec and return value of all 8 symbols against B_5500b7e6 at all 8 sizes
