# host=ip-172-31-42-229
# model=
# rounds=160 processes=5 pinned_cpu=3
# date=2026-08-26T15:24:58Z
variant,text_bytes
baseline,5008
compact-fast1-4,8624
full-fast1-7,11848
awslc-8x,4672
awslc-4x,2872
# process=1
SELFCHECK OK: 1..256 blocks, out/Xi/ivec/return agree
bytes,base_best,base_median,baseAA_best,baseAA_median,compact_best,compact_median,compactAA_best,compactAA_median,full_best,full_median,awslc8x_best,awslc8x_median,awslc4x_best,awslc4x_median
16,19.793,19.809,19.788,19.809,10.567,10.612,10.562,10.578,10.566,10.580,21.595,21.618,15.705,15.728
32,19.831,19.847,19.831,19.846,11.019,11.038,11.037,11.053,11.032,11.052,21.577,21.607,17.645,17.670
48,20.435,20.448,20.433,20.450,13.830,13.860,13.824,13.847,13.827,13.858,21.803,21.827,18.374,18.395
64,21.280,21.303,21.283,21.301,14.949,14.981,14.952,14.984,14.944,14.984,22.446,22.478,18.606,18.838
80,22.056,22.080,22.058,22.078,21.628,21.649,21.621,21.646,17.243,17.266,23.460,23.485,25.842,25.874
96,22.682,22.709,22.686,22.709,22.217,22.242,22.225,22.268,18.517,18.560,24.880,24.911,27.806,27.835
112,23.271,23.292,23.271,23.294,22.770,22.796,22.753,22.782,20.177,20.199,25.932,25.954,28.457,28.484
128,21.797,21.829,21.802,21.828,21.449,21.480,21.449,21.480,21.440,21.474,36.949,36.986,28.768,28.802
192,37.651,37.684,37.652,37.679,36.711,36.737,36.704,36.733,36.696,36.719,39.424,39.464,40.444,40.659
256,38.321,38.360,38.321,38.362,37.822,37.867,37.829,37.868,37.852,37.880,53.392,53.443,52.274,52.365
512,71.644,71.697,71.637,71.698,71.223,71.294,71.254,71.297,71.309,71.348,86.414,86.617,99.040,99.130
1024,139.019,139.062,138.705,139.053,138.736,138.887,138.874,138.905,138.896,138.998,153.296,153.501,192.502,192.714
4096,547.240,547.442,546.998,547.531,547.131,547.475,547.217,547.503,547.288,547.478,561.369,561.741,754.366,755.980
# process=2
SELFCHECK OK: 1..256 blocks, out/Xi/ivec/return agree
bytes,base_best,base_median,baseAA_best,baseAA_median,compact_best,compact_median,compactAA_best,compactAA_median,full_best,full_median,awslc8x_best,awslc8x_median,awslc4x_best,awslc4x_median
16,19.794,19.810,19.796,19.811,10.563,10.619,10.563,10.582,10.565,10.582,21.595,21.616,15.700,15.728
32,19.829,19.849,19.832,19.848,11.025,11.043,11.040,11.056,11.037,11.055,21.589,21.609,17.657,17.672
48,20.437,20.454,20.428,20.446,13.832,13.864,13.830,13.854,13.831,13.858,21.805,21.827,18.375,18.396
64,21.283,21.303,21.285,21.301,14.944,14.981,14.957,14.980,14.956,14.984,22.445,22.476,18.606,18.628
80,22.058,22.083,22.061,22.081,21.630,21.653,21.617,21.651,17.247,17.268,23.452,23.491,25.852,25.874
96,22.680,22.710,22.685,22.706,22.217,22.244,22.222,22.271,18.519,18.560,24.885,24.915,27.801,27.836
112,23.270,23.295,23.269,23.295,22.775,22.797,22.758,22.784,20.173,20.203,25.931,25.955,28.462,28.487
128,21.805,21.828,21.803,21.831,21.449,21.480,21.437,21.480,21.449,21.472,36.953,36.984,28.767,28.803
192,37.645,37.685,37.656,37.685,36.712,36.742,36.706,36.736,36.693,36.724,39.415,39.467,40.441,40.665
256,38.322,38.361,38.320,38.361,37.835,37.869,37.832,37.867,37.848,37.880,53.404,53.449,52.277,52.361
512,71.658,71.699,71.654,71.705,71.237,71.292,71.255,71.301,71.314,71.354,86.551,86.621,99.032,99.139
1024,138.988,139.064,139.009,139.058,138.775,138.904,138.706,138.915,138.958,139.001,153.419,153.474,192.496,192.719
4096,547.240,547.551,547.024,547.506,547.098,547.423,547.187,547.476,547.212,547.561,561.221,561.715,754.317,755.953
# process=3
SELFCHECK OK: 1..256 blocks, out/Xi/ivec/return agree
bytes,base_best,base_median,baseAA_best,baseAA_median,compact_best,compact_median,compactAA_best,compactAA_median,full_best,full_median,awslc8x_best,awslc8x_median,awslc4x_best,awslc4x_median
16,19.794,19.809,19.792,19.808,10.567,10.618,10.565,10.582,10.562,10.581,21.596,21.615,15.707,15.734
32,19.832,19.849,19.833,19.850,11.024,11.044,11.040,11.056,11.035,11.054,21.589,21.610,17.279,17.300
48,20.431,20.452,20.431,20.449,13.830,13.858,13.828,13.850,13.833,13.862,21.799,21.835,18.373,18.390
64,21.281,21.302,21.280,21.300,14.949,14.981,14.952,14.981,14.956,14.981,22.444,22.473,18.605,18.628
80,22.052,22.081,22.057,22.079,21.626,21.651,21.628,21.647,17.248,17.268,23.457,23.487,25.854,25.875
96,22.682,22.709,22.687,22.709,22.221,22.245,22.224,22.268,18.514,18.560,24.887,24.913,27.814,27.840
112,23.273,23.294,23.264,23.293,22.769,22.794,22.750,22.784,20.178,20.202,25.926,25.954,28.462,28.490
128,21.805,21.828,21.798,21.829,21.453,21.481,21.446,21.477,21.450,21.473,36.957,36.986,28.770,28.808
192,37.655,37.684,37.645,37.682,36.706,36.739,36.708,36.736,36.699,36.723,39.427,39.466,40.447,40.662
256,38.322,38.363,38.324,38.359,37.835,37.868,37.829,37.871,37.839,37.881,53.402,53.444,52.271,52.358
512,71.652,71.699,71.651,71.698,71.225,71.290,71.250,71.300,71.319,71.350,86.517,86.613,99.050,99.132
1024,138.779,139.058,138.895,139.055,138.700,138.897,138.875,138.912,138.968,139.002,153.406,153.496,192.486,192.738
4096,547.273,547.579,547.059,547.479,547.144,547.409,547.164,547.507,547.217,547.518,561.215,561.687,754.256,756.037
# process=4
SELFCHECK OK: 1..256 blocks, out/Xi/ivec/return agree
bytes,base_best,base_median,baseAA_best,baseAA_median,compact_best,compact_median,compactAA_best,compactAA_median,full_best,full_median,awslc8x_best,awslc8x_median,awslc4x_best,awslc4x_median
16,19.790,19.812,19.791,19.810,10.563,10.616,10.564,10.580,10.562,10.579,21.590,21.613,15.709,15.734
32,19.833,19.849,19.832,19.847,11.022,11.041,11.039,11.054,11.040,11.054,21.585,21.609,17.284,17.300
48,20.433,20.452,20.426,20.446,13.834,13.861,13.828,13.855,13.827,13.859,21.799,21.825,18.377,18.394
64,21.284,21.305,21.272,21.301,14.954,14.981,14.942,14.984,14.946,14.983,22.448,22.474,18.610,18.627
80,22.056,22.080,22.059,22.080,21.629,21.651,21.627,21.648,17.247,17.267,23.454,23.487,25.856,25.875
96,22.685,22.710,22.688,22.710,22.214,22.244,22.227,22.271,18.523,18.562,24.886,24.915,27.803,27.839
112,23.273,23.294,23.267,23.294,22.773,22.799,22.759,22.786,20.179,20.202,25.924,25.957,28.464,28.494
128,21.799,21.828,21.802,21.832,21.449,21.483,21.440,21.476,21.445,21.475,36.957,36.986,28.763,28.803
192,37.653,37.683,37.648,37.684,36.713,36.740,36.704,36.737,36.698,36.723,39.424,39.467,40.434,40.659
256,38.329,38.360,38.326,38.362,37.824,37.868,37.827,37.868,37.846,37.881,53.394,53.442,52.300,52.379
512,71.658,71.699,71.655,71.699,71.222,71.292,71.250,71.306,71.285,71.351,86.563,86.612,99.051,99.133
1024,138.741,139.066,138.702,139.065,138.810,138.905,138.872,138.916,138.966,139.004,153.405,153.479,192.503,192.733
4096,547.018,547.518,547.148,547.492,547.141,547.471,547.208,547.503,547.248,547.572,561.341,561.716,754.279,756.049
# process=5
SELFCHECK OK: 1..256 blocks, out/Xi/ivec/return agree
bytes,base_best,base_median,baseAA_best,baseAA_median,compact_best,compact_median,compactAA_best,compactAA_median,full_best,full_median,awslc8x_best,awslc8x_median,awslc4x_best,awslc4x_median
16,19.792,19.810,19.796,19.810,10.561,10.612,10.556,10.580,10.559,10.580,21.596,21.619,15.706,15.734
32,19.829,19.849,19.831,19.848,11.019,11.038,11.036,11.054,11.037,11.053,21.582,21.608,17.565,17.583
48,20.436,20.452,20.430,20.445,13.836,13.861,13.835,13.853,13.827,13.858,21.801,21.824,18.371,18.394
64,21.282,21.301,21.271,21.300,14.948,14.981,14.950,14.978,14.948,14.983,22.446,22.474,18.593,18.776
80,22.058,22.081,22.062,22.079,21.628,21.651,21.630,21.648,17.249,17.267,23.458,23.487,25.851,25.873
96,22.682,22.708,22.677,22.708,22.219,22.243,22.227,22.268,18.518,18.564,24.875,24.914,27.809,27.836
112,23.269,23.295,23.269,23.295,22.766,22.798,22.752,22.783,20.178,20.203,25.921,25.957,28.461,28.487
128,21.794,21.829,21.803,21.829,21.443,21.480,21.447,21.478,21.445,21.472,36.956,36.981,28.766,28.801
192,37.652,37.685,37.654,37.682,36.709,36.738,36.707,36.733,36.695,36.724,39.430,39.465,40.442,40.659
256,38.322,38.361,38.327,38.359,37.827,37.868,37.828,37.865,37.848,37.881,53.394,53.443,52.269,52.362
512,71.650,71.703,71.640,71.701,71.231,71.298,71.252,71.305,71.302,71.354,86.549,86.616,99.046,99.140
1024,139.025,139.071,138.953,139.066,138.595,138.898,138.847,138.919,138.939,139.023,153.407,153.474,192.538,192.768
4096,547.243,547.538,547.003,547.446,547.102,547.427,547.194,547.477,547.222,547.508,561.366,561.678,754.311,755.828
