### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   28.480 |   28.343 |   28.428 |   28.295 ||   -0.48   -0.18   -0.65
B    |   61.948 |   61.827 |   61.966 |   61.844 ||   -0.20   +0.03   -0.17
C    |   37.834 |   37.990 |   37.875 |   37.997 ||   +0.41   +0.11   +0.43
D    |   23.921 |   23.941 |   23.897 |   23.918 ||   +0.08   -0.10   -0.01
E    |   25.817 |   25.788 |   25.826 |   25.782 ||   -0.11   +0.03   -0.14
F    |   27.101 |   27.163 |   27.159 |   27.141 ||   +0.23   +0.21   +0.15
R1   |   27.197 |   27.205 |   27.210 |   27.288 ||   +0.03   +0.05   +0.34
R2   |   26.810 |   26.792 |   26.825 |   26.789 ||   -0.07   +0.06   -0.08
R3   |   26.549 |   26.508 |   26.538 |   26.526 ||   -0.16   -0.04   -0.09
R4   |   26.383 |   26.365 |   26.370 |   26.366 ||   -0.07   -0.05   -0.06
R6   |   26.108 |   26.113 |   26.121 |   26.118 ||   +0.02   +0.05   +0.04
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   28.529 |   28.347 |   28.482 |   28.353 ||   -0.64   -0.16   -0.62
B    |   61.927 |   61.830 |   61.955 |   61.807 ||   -0.16   +0.05   -0.19
C    |   37.821 |   38.091 |   37.847 |   37.980 ||   +0.72   +0.07   +0.42
D    |   23.922 |   23.939 |   23.903 |   23.911 ||   +0.07   -0.08   -0.05
E    |   25.832 |   25.791 |   25.813 |   25.766 ||   -0.16   -0.07   -0.26
F    |   27.141 |   27.153 |   27.146 |   27.119 ||   +0.04   +0.02   -0.08
R1   |   27.190 |   27.247 |   27.207 |   27.280 ||   +0.21   +0.06   +0.33
R2   |   26.806 |   26.798 |   26.814 |   26.789 ||   -0.03   +0.03   -0.06
R3   |   26.552 |   26.515 |   26.546 |   26.532 ||   -0.14   -0.02   -0.07
R4   |   26.389 |   26.345 |   26.368 |   26.368 ||   -0.17   -0.08   -0.08
R6   |   26.114 |   26.104 |   26.125 |   26.118 ||   -0.04   +0.04   +0.02
### AA-g4 : g4 g4 g4 g4
mix  |     g4_0 |     g4_1 |     g4_2 |     g4_3 ||    g4_1%    g4_2%    g4_3%
A    |   24.577 |   24.592 |   24.655 |   24.713 ||   +0.06   +0.31   +0.55
B    |   59.447 |   59.395 |   59.486 |   59.401 ||   -0.09   +0.07   -0.08
C    |   36.080 |   35.998 |   36.224 |   36.105 ||   -0.23   +0.40   +0.07
D    |   17.870 |   17.874 |   17.863 |   17.878 ||   +0.02   -0.04   +0.05
E    |   17.866 |   17.879 |   17.860 |   17.872 ||   +0.07   -0.03   +0.03
F    |   23.891 |   23.902 |   23.886 |   23.871 ||   +0.05   -0.02   -0.08
R1   |   27.243 |   27.211 |   27.182 |   27.199 ||   -0.12   -0.22   -0.16
R2   |   26.780 |   26.764 |   26.736 |   26.772 ||   -0.06   -0.16   -0.03
R3   |   26.461 |   26.513 |   26.472 |   26.503 ||   +0.19   +0.04   +0.16
R4   |   26.329 |   26.353 |   26.294 |   26.335 ||   +0.09   -0.13   +0.02
R6   |   26.085 |   26.119 |   26.079 |   26.106 ||   +0.13   -0.02   +0.08
mix  |     g4_0 |     g4_1 |     g4_2 |     g4_3 ||    g4_1%    g4_2%    g4_3%
A    |   24.624 |   24.626 |   24.654 |   24.673 ||   +0.01   +0.12   +0.20
B    |   59.435 |   59.413 |   59.487 |   59.355 ||   -0.04   +0.09   -0.13
C    |   36.055 |   36.032 |   36.234 |   36.229 ||   -0.06   +0.50   +0.48
D    |   17.876 |   17.874 |   17.863 |   17.874 ||   -0.01   -0.07   -0.01
E    |   17.864 |   17.883 |   17.866 |   17.882 ||   +0.11   +0.01   +0.10
F    |   23.904 |   23.909 |   23.884 |   23.891 ||   +0.02   -0.08   -0.05
R1   |   27.281 |   27.284 |   27.157 |   27.200 ||   +0.01   -0.45   -0.30
R2   |   26.773 |   26.778 |   26.737 |   26.766 ||   +0.02   -0.14   -0.03
R3   |   26.480 |   26.504 |   26.466 |   26.490 ||   +0.09   -0.05   +0.04
R4   |   26.327 |   26.370 |   26.301 |   26.351 ||   +0.16   -0.10   +0.09
R6   |   26.091 |   26.120 |   26.081 |   26.105 ||   +0.11   -0.04   +0.05
### AA-t4 : t4 t4 t4 t4
