=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |       g4 |     g4AA |      g4h |       a4 |     g4p8 |     t4p8 |       t4 |    m4s4h ||  baseAA%    dsp0%  dsp0AA%      g4%    g4AA%     g4h%      a4%    g4p8%    t4p8%      t4%   m4s4h%
A    |   28.519 |   28.546 |   28.485 |   28.488 |   24.736 |   24.711 |   24.730 |   24.944 |   24.298 |   23.942 |   24.036 |   24.629 ||   +0.09   -0.12   -0.11  -13.26  -13.35  -13.28  -12.53  -14.80  -16.05  -15.72  -13.64
B    |   61.871 |   61.882 |   62.010 |   61.914 |   59.495 |   59.411 |   59.511 |   59.815 |   59.678 |   59.112 |   58.698 |   59.340 ||   +0.02   +0.23   +0.07   -3.84   -3.98   -3.81   -3.32   -3.55   -4.46   -5.13   -4.09
C    |   38.010 |   38.148 |   38.044 |   38.189 |   36.364 |   36.300 |   36.252 |   36.284 |   36.069 |   35.818 |   35.690 |   36.282 ||   +0.36   +0.09   +0.47   -4.33   -4.50   -4.63   -4.54   -5.11   -5.77   -6.11   -4.55
D    |   23.931 |   23.999 |   23.929 |   24.001 |   17.865 |   17.870 |   17.974 |   13.567 |   17.872 |   12.897 |   12.897 |   12.920 ||   +0.28   -0.01   +0.29  -25.35  -25.33  -24.89  -43.31  -25.32  -46.11  -46.11  -46.01
E    |   25.807 |   25.730 |   25.801 |   25.736 |   17.866 |   17.861 |   17.985 |   15.560 |   17.867 |   14.729 |   14.848 |   15.424 ||   -0.30   -0.02   -0.27  -30.77  -30.79  -30.31  -39.71  -30.77  -42.92  -42.46  -40.23
F    |   27.118 |   27.087 |   27.036 |   27.132 |   23.904 |   23.895 |   23.913 |   23.267 |   21.877 |   20.828 |   22.401 |   25.405 ||   -0.11   -0.30   +0.05  -11.85  -11.89  -11.82  -14.20  -19.32  -23.19  -17.39   -6.31
R1   |   27.429 |   27.267 |   27.169 |   27.215 |   27.210 |   27.374 |   27.227 |   27.240 |   26.094 |   26.116 |   27.274 |   28.851 ||   -0.59   -0.95   -0.78   -0.80   -0.20   -0.73   -0.69   -4.87   -4.79   -0.56   +5.19
R2   |   26.932 |   26.802 |   26.756 |   26.821 |   26.750 |   26.868 |   26.749 |   26.786 |   25.317 |   25.319 |   26.820 |   29.305 ||   -0.48   -0.65   -0.42   -0.68   -0.24   -0.68   -0.54   -6.00   -5.99   -0.42   +8.81
R3   |   26.640 |   26.525 |   26.490 |   26.437 |   26.483 |   26.566 |   26.457 |   26.516 |   24.781 |   24.810 |   26.544 |   29.488 ||   -0.43   -0.56   -0.76   -0.59   -0.28   -0.69   -0.47   -6.98   -6.87   -0.36  +10.69
R4   |   26.461 |   26.366 |   26.332 |   26.268 |   26.334 |   26.391 |   26.320 |   26.335 |   24.496 |   24.515 |   26.360 |   29.590 ||   -0.36   -0.49   -0.73   -0.48   -0.27   -0.54   -0.48   -7.43   -7.36   -0.38  +11.82
R6   |   26.001 |   26.120 |   26.101 |   26.112 |   26.090 |   26.140 |   26.083 |   26.013 |   23.976 |   23.957 |   26.125 |   30.034 ||   +0.46   +0.38   +0.43   +0.34   +0.53   +0.31   +0.05   -7.79   -7.86   +0.48  +15.51
=== process order1.2
mix  |     base |   baseAA |     dsp0 |   dsp0AA |       g4 |     g4AA |      g4h |       a4 |     g4p8 |     t4p8 |       t4 |    m4s4h ||  baseAA%    dsp0%  dsp0AA%      g4%    g4AA%     g4h%      a4%    g4p8%    t4p8%      t4%   m4s4h%
A    |   28.607 |   28.467 |   28.514 |   29.577 |   24.757 |   24.721 |   24.705 |   24.893 |   24.303 |   23.963 |   24.009 |   24.610 ||   -0.49   -0.33   +3.39  -13.46  -13.58  -13.64  -12.98  -15.04  -16.23  -16.07  -13.97
B    |   61.941 |   61.882 |   62.011 |   61.991 |   59.517 |   59.435 |   59.474 |   59.818 |   59.700 |   59.134 |   58.755 |   59.372 ||   -0.10   +0.11   +0.08   -3.91   -4.05   -3.98   -3.43   -3.62   -4.53   -5.14   -4.15
C    |   37.992 |   38.163 |   37.879 |   38.179 |   36.291 |   36.261 |   36.330 |   36.312 |   36.076 |   35.780 |   35.725 |   36.273 ||   +0.45   -0.30   +0.49   -4.48   -4.56   -4.38   -4.42   -5.04   -5.82   -5.97   -4.52
D    |   23.930 |   23.993 |   23.920 |   24.008 |   17.874 |   17.868 |   17.985 |   13.577 |   17.866 |   12.896 |   12.899 |   12.923 ||   +0.26   -0.04   +0.32  -25.31  -25.33  -24.85  -43.26  -25.34  -46.11  -46.10  -46.00
E    |   25.838 |   25.755 |   25.779 |   25.757 |   17.873 |   17.869 |   17.987 |   15.559 |   17.856 |   14.741 |   14.803 |   15.436 ||   -0.32   -0.23   -0.32  -30.83  -30.84  -30.39  -39.78  -30.89  -42.95  -42.71  -40.26
F    |   27.140 |   27.105 |   27.112 |   27.134 |   23.909 |   23.907 |   23.925 |   23.266 |   21.876 |   20.842 |   22.448 |   25.436 ||   -0.13   -0.10   -0.02  -11.91  -11.91  -11.85  -14.27  -19.39  -23.21  -17.29   -6.28
R1   |   27.436 |   27.296 |   27.189 |   27.178 |   27.228 |   27.391 |   27.213 |   27.223 |   26.079 |   26.150 |   27.205 |   28.851 ||   -0.51   -0.90   -0.94   -0.76   -0.17   -0.81   -0.78   -4.95   -4.69   -0.84   +5.16
R2   |   26.942 |   26.816 |   26.743 |   26.793 |   26.734 |   26.841 |   26.725 |   26.803 |   25.261 |   25.325 |   26.746 |   29.305 ||   -0.47   -0.74   -0.55   -0.77   -0.37   -0.81   -0.51   -6.24   -6.00   -0.73   +8.77
