=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |       g4 |     g4AA |      g4h |       a4 |     g4p8 |     t4p8 |       t4 |    m4s4h ||  baseAA%    dsp0%  dsp0AA%      g4%    g4AA%     g4h%      a4%    g4p8%    t4p8%      t4%   m4s4h%
A    |   28.459 |   28.879 |   29.749 |   29.754 |   24.679 |   24.695 |   24.707 |   25.030 |   24.323 |   24.092 |   24.004 |   24.568 ||   +1.47   +4.53   +4.55  -13.28  -13.23  -13.19  -12.05  -14.53  -15.35  -15.66  -13.67
B    |   61.953 |   61.875 |   61.980 |   61.920 |   59.533 |   59.491 |   59.432 |   59.804 |   59.672 |   59.156 |   58.650 |   59.371 ||   -0.13   +0.04   -0.05   -3.91   -3.97   -4.07   -3.47   -3.68   -4.52   -5.33   -4.17
C    |   37.952 |   38.182 |   37.872 |   38.172 |   36.372 |   36.298 |   36.302 |   36.237 |   36.026 |   35.813 |   35.710 |   36.242 ||   +0.61   -0.21   +0.58   -4.16   -4.36   -4.35   -4.52   -5.07   -5.64   -5.91   -4.51
D    |   23.933 |   24.002 |   23.932 |   23.993 |   17.865 |   17.861 |   17.979 |   13.567 |   17.872 |   12.895 |   12.888 |   12.919 ||   +0.29   -0.00   +0.25  -25.36  -25.37  -24.87  -43.31  -25.32  -46.12  -46.15  -46.02
E    |   25.830 |   25.729 |   25.789 |   25.773 |   17.858 |   17.876 |   17.978 |   15.577 |   17.872 |   14.733 |   14.817 |   15.442 ||   -0.39   -0.16   -0.22  -30.86  -30.79  -30.40  -39.69  -30.81  -42.96  -42.64  -40.22
F    |   27.113 |   27.079 |   27.092 |   27.109 |   23.891 |   23.891 |   23.915 |   23.275 |   21.809 |   20.818 |   22.418 |   25.436 ||   -0.12   -0.08   -0.02  -11.89  -11.88  -11.80  -14.16  -19.56  -23.22  -17.32   -6.19
R1   |   27.422 |   27.264 |   27.175 |   27.209 |   27.196 |   27.378 |   27.199 |   27.246 |   26.085 |   26.111 |   27.244 |   28.852 ||   -0.58   -0.90   -0.78   -0.82   -0.16   -0.81   -0.64   -4.87   -4.78   -0.65   +5.22
R2   |   26.894 |   26.799 |   26.756 |   26.795 |   26.739 |   26.857 |   26.747 |   26.849 |   25.265 |   25.263 |   26.786 |   29.295 ||   -0.35   -0.51   -0.37   -0.58   -0.14   -0.55   -0.17   -6.06   -6.06   -0.40   +8.93
R3   |   26.620 |   26.503 |   26.494 |   26.529 |   26.455 |   26.529 |   26.467 |   26.523 |   24.812 |   24.815 |   26.542 |   29.469 ||   -0.44   -0.47   -0.34   -0.62   -0.34   -0.58   -0.37   -6.79   -6.78   -0.29  +10.70
R4   |   26.434 |   26.366 |   26.327 |   26.292 |   26.352 |   26.390 |   26.311 |   26.330 |   24.516 |   24.532 |   26.361 |   29.591 ||   -0.26   -0.40   -0.54   -0.31   -0.17   -0.46   -0.39   -7.26   -7.20   -0.28  +11.94
R6   |   26.111 |   26.114 |   26.101 |   26.126 |   26.088 |   26.132 |   26.079 |   26.136 |   23.979 |   23.958 |   26.138 |   30.910 ||   +0.01   -0.04   +0.06   -0.09   +0.08   -0.12   +0.10   -8.17   -8.24   +0.10  +18.38
=== process order1.2
mix  |     base |   baseAA |     dsp0 |   dsp0AA |       g4 |     g4AA |      g4h |       a4 |     g4p8 |     t4p8 |       t4 |    m4s4h ||  baseAA%    dsp0%  dsp0AA%      g4%    g4AA%     g4h%      a4%    g4p8%    t4p8%      t4%   m4s4h%
A    |   28.504 |   28.789 |   29.604 |   29.393 |   24.713 |   24.680 |   24.696 |   24.875 |   24.358 |   23.462 |   24.035 |   24.556 ||   +1.00   +3.86   +3.12  -13.30  -13.41  -13.36  -12.73  -14.55  -17.69  -15.68  -13.85
B    |   61.932 |   61.890 |   62.001 |   61.976 |   59.522 |   59.441 |   59.507 |   59.807 |   59.713 |   59.124 |   58.661 |   59.359 ||   -0.07   +0.11   +0.07   -3.89   -4.02   -3.92   -3.43   -3.58   -4.53   -5.28   -4.15
C    |   38.072 |   38.164 |   37.947 |   38.235 |   36.427 |   36.246 |   36.323 |   36.220 |   36.032 |   35.822 |   35.666 |   36.246 ||   +0.24   -0.33   +0.43   -4.32   -4.80   -4.59   -4.86   -5.36   -5.91   -6.32   -4.80
D    |   23.934 |   23.996 |   23.930 |   23.998 |   17.870 |   17.869 |   17.984 |   13.571 |   17.874 |   12.893 |   12.892 |   12.922 ||   +0.26   -0.01   +0.27  -25.33  -25.34  -24.86  -43.30  -25.32  -46.13  -46.13  -46.01
E    |   25.837 |   25.714 |   25.754 |   25.758 |   17.867 |   17.872 |   17.979 |   15.562 |   17.870 |   14.719 |   14.817 |   15.450 ||   -0.48   -0.32   -0.31  -30.85  -30.83  -30.41  -39.77  -30.84  -43.03  -42.65  -40.20
F    |   27.120 |   27.099 |   27.060 |   27.160 |   23.905 |   23.895 |   23.906 |   23.274 |   21.850 |   20.820 |   22.445 |   25.402 ||   -0.08   -0.22   +0.15  -11.86  -11.89  -11.85  -14.18  -19.43  -23.23  -17.24   -6.33
R1   |   27.412 |   27.283 |   27.195 |   27.262 |   27.237 |   27.398 |   27.216 |   27.219 |   26.096 |   26.146 |   27.279 |   28.858 ||   -0.47   -0.79   -0.55   -0.64   -0.05   -0.72   -0.70   -4.80   -4.62   -0.48   +5.28
R2   |   26.945 |   26.870 |   26.746 |   26.807 |   26.753 |   26.849 |   26.725 |   26.810 |   25.289 |   25.301 |   26.799 |   29.307 ||   -0.28   -0.74   -0.52   -0.71   -0.36   -0.82   -0.50   -6.15   -6.10   -0.54   +8.76
R3   |   26.635 |   26.526 |   26.499 |   26.519 |   26.468 |   26.532 |   26.451 |   26.521 |   24.805 |   24.817 |   26.522 |   29.471 ||   -0.41   -0.51   -0.43   -0.63   -0.39   -0.69   -0.43   -6.87   -6.83   -0.42  +10.65
R4   |   26.437 |   26.358 |   26.328 |   26.311 |   26.330 |   26.397 |   26.344 |   26.370 |   24.545 |   24.532 |   26.351 |   29.594 ||   -0.30   -0.41   -0.48   -0.41   -0.15   -0.35   -0.26   -7.16   -7.21   -0.33  +11.94
R6   |   26.113 |   26.105 |   26.103 |   26.135 |   26.099 |   26.120 |   26.080 |   26.117 |   23.966 |   23.967 |   26.111 |   30.898 ||   -0.03   -0.04   +0.08   -0.05   +0.03   -0.13   +0.01   -8.22   -8.22   -0.01  +18.33
=== process order1.3
mix  |     base |   baseAA |     dsp0 |   dsp0AA |       g4 |     g4AA |      g4h |       a4 |     g4p8 |     t4p8 |       t4 |    m4s4h ||  baseAA%    dsp0%  dsp0AA%      g4%    g4AA%     g4h%      a4%    g4p8%    t4p8%      t4%   m4s4h%
A    |   28.398 |   28.786 |   29.681 |   29.785 |   24.687 |   24.696 |   24.723 |   24.616 |   24.291 |   23.718 |   24.039 |   24.631 ||   +1.36   +4.52   +4.88  -13.07  -13.04  -12.94  -13.32  -14.46  -16.48  -15.35  -13.27
B    |   61.939 |   61.875 |   61.970 |   61.937 |   59.482 |   59.438 |   59.495 |   59.810 |   59.688 |   59.175 |   58.686 |   59.378 ||   -0.10   +0.05   -0.00   -3.97   -4.04   -3.95   -3.44   -3.63   -4.46   -5.25   -4.14
C    |   37.973 |   38.187 |   37.980 |   38.175 |   36.347 |   36.237 |   36.181 |   36.296 |   36.025 |   35.824 |   35.689 |   36.249 ||   +0.56   +0.02   +0.53   -4.28   -4.57   -4.72   -4.42   -5.13   -5.66   -6.01   -4.54
D    |   23.923 |   24.020 |   23.921 |   23.991 |   17.866 |   17.867 |   17.978 |   13.578 |   17.870 |   12.893 |   12.899 |   12.921 ||   +0.41   -0.01   +0.28  -25.32  -25.31  -24.85  -43.24  -25.30  -46.11  -46.08  -45.99
E    |   25.820 |   25.743 |   25.770 |   25.729 |   17.866 |   17.860 |   17.984 |   15.564 |   17.867 |   14.751 |   14.808 |   15.441 ||   -0.30   -0.19   -0.35  -30.81  -30.83  -30.35  -39.72  -30.80  -42.87  -42.65  -40.20
F    |   27.116 |   27.080 |   27.111 |   27.104 |   23.891 |   23.890 |   23.884 |   23.310 |   21.829 |   20.799 |   22.366 |   25.419 ||   -0.13   -0.02   -0.05  -11.89  -11.90  -11.92  -14.03  -19.50  -23.29  -17.52   -6.26
R1   |   27.435 |   27.268 |   27.192 |   27.275 |   27.253 |   27.393 |   27.218 |   27.233 |   26.079 |   26.111 |   27.241 |   28.848 ||   -0.61   -0.89   -0.58   -0.66   -0.15   -0.79   -0.74   -4.94   -4.83   -0.71   +5.15
R2   |   26.903 |   26.831 |   26.743 |   26.842 |   26.767 |   26.821 |   26.737 |   26.805 |   25.298 |   25.312 |   26.790 |   29.313 ||   -0.27   -0.59   -0.22   -0.50   -0.30   -0.61   -0.36   -5.96   -5.91   -0.42   +8.96
R3   |   26.629 |   26.529 |   26.484 |   26.466 |   26.493 |   26.556 |   26.478 |   26.516 |   24.787 |   24.798 |   26.548 |   29.476 ||   -0.38   -0.54   -0.61   -0.51   -0.28   -0.57   -0.42   -6.92   -6.88   -0.30  +10.69
R4   |   26.432 |   26.363 |   26.342 |   26.357 |   26.334 |   26.361 |   26.318 |   26.370 |   24.531 |   24.538 |   26.358 |   29.597 ||   -0.26   -0.34   -0.29   -0.37   -0.27   -0.43   -0.24   -7.19   -7.17   -0.28  +11.97
R6   |   26.148 |   26.109 |   26.099 |   26.066 |   26.096 |   26.129 |   26.077 |   26.115 |   23.982 |   23.964 |   26.132 |   30.913 ||   -0.15   -0.19   -0.31   -0.20   -0.07   -0.27   -0.13   -8.28   -8.35   -0.06  +18.23
=== process order2.1
mix  |     base |    m4s4h |       t4 |     t4p8 |     g4p8 |       a4 |      g4h |     g4AA |       g4 |   dsp0AA |     dsp0 |   baseAA ||   m4s4h%      t4%    t4p8%    g4p8%      a4%     g4h%    g4AA%      g4%  dsp0AA%    dsp0%  baseAA%
A    |   28.518 |   24.620 |   23.895 |   24.262 |   24.506 |   25.023 |   24.733 |   24.608 |   24.607 |   28.708 |   29.721 |   28.646 ||  -13.67  -16.21  -14.92  -14.07  -12.26  -13.27  -13.71  -13.71   +0.66   +4.22   +0.45
B    |   61.948 |   59.285 |   58.983 |   59.020 |   59.985 |   59.685 |   59.445 |   59.432 |   59.380 |   61.884 |   62.065 |   61.890 ||   -4.30   -4.79   -4.73   -3.17   -3.65   -4.04   -4.06   -4.15   -0.10   +0.19   -0.09
C    |   38.057 |   36.014 |   35.989 |   35.929 |   36.286 |   36.518 |   36.297 |   36.225 |   36.237 |   38.086 |   38.242 |   38.052 ||   -5.37   -5.43   -5.59   -4.65   -4.04   -4.62   -4.81   -4.78   +0.08   +0.49   -0.01
