### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   33.251 |   33.128 |   33.142 |   33.178 ||   -0.37   -0.33   -0.22
B    |   70.498 |   70.614 |   70.382 |   70.658 ||   +0.17   -0.16   +0.23
C    |   46.881 |   46.702 |   46.873 |   46.853 ||   -0.38   -0.02   -0.06
D    |   28.233 |   28.226 |   28.260 |   28.274 ||   -0.03   +0.09   +0.14
E    |   30.396 |   30.393 |   30.423 |   30.421 ||   -0.01   +0.09   +0.08
F    |   32.422 |   32.426 |   32.381 |   32.424 ||   +0.01   -0.13   +0.00
R1   |   32.695 |   32.667 |   32.685 |   32.789 ||   -0.08   -0.03   +0.29
R2   |   32.769 |   32.286 |   32.409 |   32.566 ||   -1.47   -1.10   -0.62
R3   |   32.861 |   32.250 |   32.870 |   33.067 ||   -1.86   +0.03   +0.63
R4   |   31.498 |   32.171 |   31.116 |   31.375 ||   +2.14   -1.21   -0.39
R6   |   30.737 |   30.757 |   30.816 |   30.831 ||   +0.06   +0.26   +0.30
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   33.234 |   33.117 |   33.101 |   33.124 ||   -0.35   -0.40   -0.33
B    |   70.475 |   70.597 |   70.416 |   70.732 ||   +0.17   -0.08   +0.37
C    |   46.950 |   46.683 |   46.924 |   46.792 ||   -0.57   -0.05   -0.34
D    |   28.219 |   28.210 |   28.242 |   28.244 ||   -0.03   +0.08   +0.09
E    |   30.416 |   30.387 |   30.364 |   30.432 ||   -0.09   -0.17   +0.05
F    |   32.405 |   32.447 |   32.371 |   32.422 ||   +0.13   -0.10   +0.06
R1   |   32.679 |   32.731 |   32.684 |   32.834 ||   +0.16   +0.01   +0.47
R2   |   32.761 |   32.255 |   32.553 |   32.967 ||   -1.55   -0.64   +0.63
R3   |   32.903 |   32.714 |   32.768 |   33.130 ||   -0.58   -0.41   +0.69
R4   |   31.097 |   31.322 |   31.124 |   31.481 ||   +0.73   +0.09   +1.23
R6   |   30.736 |   30.709 |   30.751 |   30.724 ||   -0.09   +0.05   -0.04
### AA-m4s4 : m4s4 m4s4 m4s4 m4s4
mix  |   m4s4_0 |   m4s4_1 |   m4s4_2 |   m4s4_3 ||  m4s4_1%  m4s4_2%  m4s4_3%
A    |   31.680 |   31.912 |   31.641 |   31.857 ||   +0.73   -0.12   +0.56
B    |   69.489 |   69.748 |   69.583 |   69.673 ||   +0.37   +0.14   +0.27
C    |   45.311 |   45.446 |   45.338 |   45.479 ||   +0.30   +0.06   +0.37
D    |   15.253 |   15.123 |   15.277 |   15.115 ||   -0.85   +0.16   -0.90
E    |   21.624 |   21.840 |   21.675 |   21.614 ||   +1.00   +0.24   -0.05
F    |   34.528 |   34.776 |   34.512 |   34.851 ||   +0.72   -0.05   +0.93
R1   |   37.353 |   36.983 |   37.407 |   37.026 ||   -0.99   +0.14   -0.88
R2   |   38.334 |   38.043 |   38.317 |   38.027 ||   -0.76   -0.04   -0.80
R3   |   38.495 |   38.241 |   38.550 |   38.243 ||   -0.66   +0.14   -0.65
R4   |   38.599 |   38.355 |   38.628 |   38.351 ||   -0.63   +0.07   -0.64
R6   |   38.603 |   38.403 |   38.629 |   38.386 ||   -0.52   +0.07   -0.56
mix  |   m4s4_0 |   m4s4_1 |   m4s4_2 |   m4s4_3 ||  m4s4_1%  m4s4_2%  m4s4_3%
A    |   31.675 |   31.945 |   31.805 |   31.837 ||   +0.85   +0.41   +0.51
B    |   69.473 |   69.733 |   69.548 |   69.676 ||   +0.38   +0.11   +0.29
C    |   45.376 |   45.480 |   45.353 |   45.492 ||   +0.23   -0.05   +0.26
D    |   15.264 |   15.115 |   15.293 |   15.108 ||   -0.98   +0.19   -1.02
E    |   21.623 |   21.844 |   21.739 |   21.612 ||   +1.02   +0.54   -0.05
F    |   34.559 |   34.843 |   34.544 |   34.790 ||   +0.82   -0.04   +0.67
R1   |   37.354 |   36.966 |   37.399 |   37.042 ||   -1.04   +0.12   -0.83
R2   |   38.307 |   38.033 |   38.344 |   38.044 ||   -0.72   +0.10   -0.68
R3   |   38.498 |   38.242 |   38.554 |   38.218 ||   -0.66   +0.14   -0.73
R4   |   38.585 |   38.337 |   38.617 |   38.359 ||   -0.64   +0.08   -0.58
R6   |   38.603 |   38.394 |   38.619 |   38.385 ||   -0.54   +0.04   -0.56
### AA-m4s4h : m4s4h m4s4h m4s4h m4s4h
mix  |  m4s4h_0 |  m4s4h_1 |  m4s4h_2 |  m4s4h_3 || m4s4h_1% m4s4h_2% m4s4h_3%
A    |   30.865 |   30.962 |   30.818 |   30.801 ||   +0.31   -0.15   -0.21
B    |   68.779 |   68.996 |   69.067 |   68.990 ||   +0.32   +0.42   +0.31
C    |   45.064 |   45.137 |   45.040 |   45.011 ||   +0.16   -0.05   -0.12
D    |   15.026 |   15.024 |   15.034 |   15.037 ||   -0.01   +0.06   +0.07
E    |   20.657 |   20.631 |   20.608 |   20.639 ||   -0.13   -0.24   -0.09
F    |   32.646 |   32.614 |   32.574 |   32.547 ||   -0.10   -0.22   -0.31
