### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   28.580 |   28.312 |   28.409 |   28.299 ||   -0.94   -0.60   -0.99
B    |   61.867 |   61.912 |   61.948 |   61.777 ||   +0.07   +0.13   -0.15
C    |   37.972 |   37.834 |   37.747 |   38.030 ||   -0.36   -0.59   +0.15
D    |   23.945 |   23.954 |   23.909 |   23.904 ||   +0.04   -0.15   -0.17
E    |   25.873 |   25.789 |   25.807 |   25.767 ||   -0.33   -0.25   -0.41
F    |   27.147 |   27.141 |   27.126 |   27.117 ||   -0.02   -0.08   -0.11
R1   |   27.245 |   27.229 |   27.203 |   27.282 ||   -0.06   -0.16   +0.13
R2   |   26.815 |   26.796 |   26.825 |   26.793 ||   -0.07   +0.04   -0.08
R3   |   26.552 |   26.510 |   26.553 |   26.525 ||   -0.16   +0.00   -0.10
R4   |   26.396 |   26.362 |   26.370 |   26.361 ||   -0.13   -0.10   -0.13
R6   |   26.132 |   26.102 |   26.118 |   26.116 ||   -0.11   -0.05   -0.06
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   28.414 |   28.361 |   28.345 |   28.292 ||   -0.19   -0.24   -0.43
B    |   61.898 |   61.803 |   61.957 |   61.793 ||   -0.15   +0.10   -0.17
C    |   37.953 |   38.006 |   37.856 |   37.968 ||   +0.14   -0.26   +0.04
D    |   23.931 |   23.965 |   23.915 |   23.914 ||   +0.14   -0.07   -0.07
E    |   25.840 |   25.799 |   25.799 |   25.766 ||   -0.16   -0.16   -0.29
F    |   27.154 |   27.140 |   27.130 |   27.115 ||   -0.05   -0.09   -0.15
R1   |   27.207 |   27.219 |   27.199 |   27.267 ||   +0.04   -0.03   +0.22
R2   |   26.809 |   26.806 |   26.814 |   26.789 ||   -0.01   +0.02   -0.07
R3   |   26.561 |   26.508 |   26.546 |   26.528 ||   -0.20   -0.06   -0.13
R4   |   26.397 |   26.364 |   26.372 |   26.365 ||   -0.12   -0.09   -0.12
R6   |   26.115 |   26.106 |   26.127 |   26.117 ||   -0.03   +0.05   +0.01
### AA-m4s4 : m4s4 m4s4 m4s4 m4s4
mix  |   m4s4_0 |   m4s4_1 |   m4s4_2 |   m4s4_3 ||  m4s4_1%  m4s4_2%  m4s4_3%
A    |   26.074 |   26.082 |   26.039 |   26.045 ||   +0.03   -0.13   -0.11
B    |   60.117 |   59.854 |   60.248 |   60.103 ||   -0.44   +0.22   -0.02
C    |   36.281 |   36.488 |   36.424 |   36.450 ||   +0.57   +0.39   +0.47
D    |   12.975 |   12.941 |   12.969 |   12.945 ||   -0.26   -0.05   -0.23
E    |   17.131 |   17.169 |   17.140 |   17.145 ||   +0.22   +0.05   +0.08
F    |   26.565 |   26.677 |   26.612 |   26.606 ||   +0.42   +0.18   +0.15
R1   |   29.859 |   29.780 |   29.807 |   29.838 ||   -0.26   -0.17   -0.07
R2   |   30.474 |   30.447 |   30.492 |   30.438 ||   -0.09   +0.06   -0.12
R3   |   30.696 |   30.643 |   30.694 |   30.650 ||   -0.17   -0.01   -0.15
R4   |   30.795 |   30.765 |   30.790 |   30.768 ||   -0.10   -0.01   -0.08
R6   |   30.863 |   30.846 |   30.870 |   30.840 ||   -0.05   +0.02   -0.07
mix  |   m4s4_0 |   m4s4_1 |   m4s4_2 |   m4s4_3 ||  m4s4_1%  m4s4_2%  m4s4_3%
A    |   25.936 |   26.087 |   26.061 |   26.063 ||   +0.58   +0.48   +0.49
B    |   60.091 |   59.855 |   60.230 |   60.088 ||   -0.39   +0.23   -0.01
C    |   36.242 |   36.524 |   36.413 |   36.471 ||   +0.78   +0.47   +0.63
D    |   12.971 |   12.938 |   12.975 |   12.942 ||   -0.26   +0.03   -0.23
E    |   17.129 |   17.172 |   17.141 |   17.153 ||   +0.25   +0.07   +0.14
F    |   26.597 |   26.713 |   26.642 |   26.627 ||   +0.44   +0.17   +0.11
R1   |   29.839 |   29.760 |   29.803 |   29.802 ||   -0.26   -0.12   -0.12
R2   |   30.487 |   30.451 |   30.487 |   30.434 ||   -0.12   +0.00   -0.17
R3   |   30.693 |   30.652 |   30.694 |   30.668 ||   -0.13   +0.01   -0.08
R4   |   30.799 |   30.757 |   30.786 |   30.759 ||   -0.14   -0.04   -0.13
R6   |   30.868 |   30.855 |   30.868 |   30.839 ||   -0.04   -0.00   -0.09
### AA-m4s4h : m4s4h m4s4h m4s4h m4s4h
mix  |  m4s4h_0 |  m4s4h_1 |  m4s4h_2 |  m4s4h_3 || m4s4h_1% m4s4h_2% m4s4h_3%
A    |   24.469 |   24.525 |   24.555 |   24.512 ||   +0.23   +0.35   +0.18
B    |   59.336 |   59.348 |   59.304 |   59.135 ||   +0.02   -0.05   -0.34
C    |   35.925 |   36.078 |   36.057 |   36.113 ||   +0.43   +0.37   +0.52
