=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
A    |   22.564 |   22.599 |   22.579 |   22.622 |   20.471 |   20.661 |   19.818 |   19.967 |   19.709 |   19.215 |   19.075 |   18.151 ||   +0.16   +0.07   +0.26   -9.27   -8.43  -12.17  -11.51  -12.65  -14.84  -15.46  -19.55
B    |   51.765 |   51.847 |   51.842 |   51.811 |   50.257 |   50.433 |   49.861 |   49.907 |   49.762 |   49.240 |   49.186 |   48.795 ||   +0.16   +0.15   +0.09   -2.91   -2.57   -3.68   -3.59   -3.87   -4.88   -4.98   -5.74
C    |   31.757 |   31.737 |   31.682 |   31.680 |   30.363 |   30.307 |   29.787 |   30.175 |   29.985 |   29.398 |   29.534 |   30.228 ||   -0.06   -0.24   -0.24   -4.39   -4.57   -6.20   -4.98   -5.58   -7.43   -7.00   -4.81
D    |   19.969 |   19.962 |   20.014 |   20.001 |   10.987 |   10.984 |   10.964 |   10.986 |   10.966 |   10.919 |   10.929 |   11.061 ||   -0.04   +0.22   +0.16  -44.98  -45.00  -45.09  -44.99  -45.08  -45.32  -45.27  -44.61
E    |   21.044 |   21.035 |   21.008 |   21.054 |   13.417 |   13.765 |   12.629 |   13.441 |   12.711 |   12.065 |   11.994 |   12.372 ||   -0.05   -0.17   +0.05  -36.25  -34.59  -39.99  -36.13  -39.60  -42.67  -43.01  -41.21
F    |   21.969 |   22.021 |   22.010 |   22.018 |   21.438 |   21.626 |   20.673 |   19.425 |   19.230 |   18.024 |   18.733 |   19.412 ||   +0.23   +0.19   +0.22   -2.42   -1.56   -5.90  -11.58  -12.47  -17.96  -14.73  -11.64
R1   |   22.048 |   22.049 |   22.122 |   22.093 |   24.592 |   24.586 |   23.826 |   22.130 |   22.139 |   22.266 |   22.103 |   19.945 ||   +0.00   +0.34   +0.20  +11.54  +11.51   +8.06   +0.37   +0.41   +0.99   +0.25   -9.54
R2   |   21.841 |   21.830 |   21.918 |   21.866 |   24.972 |   24.962 |   24.044 |   21.905 |   21.898 |   21.674 |   21.908 |   20.780 ||   -0.05   +0.36   +0.12  +14.34  +14.29  +10.09   +0.30   +0.26   -0.76   +0.31   -4.86
R3   |   21.743 |   21.736 |   21.801 |   21.759 |   25.002 |   24.994 |   24.093 |   21.800 |   21.798 |   21.229 |   21.796 |   21.157 ||   -0.03   +0.27   +0.08  +14.99  +14.95  +10.81   +0.26   +0.25   -2.36   +0.24   -2.70
R4   |   21.688 |   21.684 |   21.726 |   21.706 |   25.032 |   25.011 |   24.137 |   21.734 |   21.727 |   20.988 |   21.729 |   21.367 ||   -0.02   +0.18   +0.08  +15.42  +15.32  +11.29   +0.21   +0.18   -3.23   +0.19   -1.48
R6   |   21.607 |   21.598 |   21.639 |   21.618 |   24.999 |   24.995 |   24.199 |   21.640 |   21.630 |   20.524 |   21.646 |   21.758 ||   -0.04   +0.15   +0.05  +15.70  +15.68  +12.00   +0.15   +0.11   -5.01   +0.18   +0.70
=== process order1.2
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
A    |   22.552 |   22.568 |   22.573 |   22.652 |   20.469 |   20.652 |   19.857 |   19.970 |   19.665 |   19.251 |   19.052 |   18.134 ||   +0.07   +0.09   +0.44   -9.24   -8.42  -11.95  -11.45  -12.80  -14.64  -15.52  -19.59
B    |   51.802 |   51.806 |   51.858 |   51.817 |   50.300 |   50.465 |   49.871 |   49.888 |   49.737 |   49.221 |   49.207 |   48.820 ||   +0.01   +0.11   +0.03   -2.90   -2.58   -3.73   -3.69   -3.99   -4.98   -5.01   -5.76
C    |   31.761 |   31.808 |   31.667 |   31.682 |   30.307 |   30.333 |   29.783 |   30.142 |   29.970 |   29.395 |   29.562 |   30.189 ||   +0.15   -0.30   -0.25   -4.58   -4.50   -6.23   -5.10   -5.64   -7.45   -6.93   -4.95
D    |   19.970 |   19.965 |   20.022 |   20.001 |   10.987 |   10.984 |   10.965 |   10.986 |   10.965 |   10.918 |   10.930 |   11.057 ||   -0.02   +0.26   +0.16  -44.98  -45.00  -45.09  -44.98  -45.09  -45.33  -45.27  -44.63
E    |   21.004 |   21.056 |   21.028 |   21.067 |   13.434 |   13.769 |   12.628 |   13.433 |   12.717 |   12.021 |   12.014 |   12.358 ||   +0.24   +0.11   +0.30  -36.04  -34.45  -39.88  -36.05  -39.45  -42.77  -42.80  -41.16
F    |   21.979 |   22.032 |   22.024 |   22.028 |   21.453 |   21.597 |   20.698 |   19.422 |   19.227 |   18.008 |   18.731 |   19.385 ||   +0.24   +0.21   +0.22   -2.39   -1.74   -5.83  -11.63  -12.52  -18.06  -14.78  -11.80
R1   |   22.046 |   22.058 |   22.122 |   22.086 |   24.592 |   24.580 |   23.819 |   22.131 |   22.132 |   22.248 |   22.112 |   19.948 ||   +0.06   +0.35   +0.18  +11.55  +11.50   +8.04   +0.39   +0.39   +0.92   +0.30   -9.52
R2   |   21.837 |   21.830 |   21.913 |   21.860 |   24.956 |   24.961 |   24.042 |   21.893 |   21.913 |   21.648 |   21.909 |   20.788 ||   -0.03   +0.35   +0.11  +14.29  +14.31  +10.10   +0.26   +0.35   -0.87   +0.33   -4.80
R3   |   21.741 |   21.741 |   21.798 |   21.770 |   25.005 |   24.996 |   24.098 |   21.795 |   21.794 |   21.204 |   21.793 |   21.151 ||   +0.00   +0.26   +0.13  +15.02  +14.97  +10.84   +0.25   +0.24   -2.47   +0.24   -2.71
R4   |   21.687 |   21.669 |   21.729 |   21.705 |   25.026 |   25.015 |   24.138 |   21.738 |   21.730 |   20.971 |   21.730 |   21.371 ||   -0.08   +0.20   +0.08  +15.40  +15.35  +11.30   +0.23   +0.20   -3.30   +0.20   -1.45
R6   |   21.602 |   21.603 |   21.637 |   21.626 |   24.990 |   24.990 |   24.198 |   21.634 |   21.633 |   20.507 |   21.637 |   21.754 ||   +0.01   +0.16   +0.11  +15.69  +15.68  +12.02   +0.15   +0.14   -5.07   +0.16   +0.71
=== process order1.3
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
A    |   22.567 |   22.613 |   22.571 |   22.642 |   20.456 |   20.660 |   19.858 |   19.993 |   19.671 |   19.206 |   19.063 |   18.096 ||   +0.20   +0.02   +0.33   -9.35   -8.45  -12.00  -11.41  -12.83  -14.89  -15.53  -19.81
B    |   51.777 |   51.800 |   51.836 |   51.831 |   50.254 |   50.445 |   49.836 |   49.934 |   49.735 |   49.284 |   49.189 |   48.789 ||   +0.05   +0.12   +0.11   -2.94   -2.57   -3.75   -3.56   -3.94   -4.81   -5.00   -5.77
C    |   31.760 |   31.794 |   31.686 |   31.723 |   30.318 |   30.339 |   29.795 |   30.202 |   29.886 |   29.311 |   29.503 |   30.194 ||   +0.10   -0.23   -0.12   -4.54   -4.48   -6.19   -4.91   -5.90   -7.71   -7.11   -4.93
D    |   19.968 |   19.969 |   20.014 |   20.009 |   10.985 |   10.984 |   10.965 |   10.985 |   10.965 |   10.921 |   10.928 |   11.059 ||   +0.01   +0.23   +0.20  -44.99  -44.99  -45.09  -44.99  -45.09  -45.31  -45.27  -44.61
E    |   21.016 |   21.015 |   21.021 |   21.065 |   13.414 |   13.766 |   12.626 |   13.448 |   12.709 |   12.063 |   11.978 |   12.369 ||   -0.00   +0.02   +0.24  -36.17  -34.49  -39.92  -36.01  -39.53  -42.60  -43.01  -41.14
F    |   21.978 |   22.004 |   22.012 |   22.027 |   21.445 |   21.594 |   20.679 |   19.431 |   19.221 |   17.990 |   18.718 |   19.419 ||   +0.12   +0.15   +0.22   -2.43   -1.75   -5.91  -11.59  -12.55  -18.14  -14.83  -11.64
R1   |   22.064 |   22.058 |   22.126 |   22.089 |   24.560 |   24.564 |   23.827 |   22.127 |   22.132 |   22.264 |   22.131 |   19.946 ||   -0.03   +0.28   +0.11  +11.31  +11.33   +7.99   +0.28   +0.31   +0.90   +0.30   -9.60
R2   |   21.839 |   21.826 |   21.907 |   21.852 |   24.964 |   24.966 |   24.050 |   21.910 |   21.908 |   21.676 |   21.912 |   20.777 ||   -0.06   +0.32   +0.06  +14.31  +14.32  +10.13   +0.33   +0.32   -0.74   +0.34   -4.86
R3   |   21.742 |   21.733 |   21.796 |   21.770 |   25.000 |   24.989 |   24.101 |   21.804 |   21.795 |   21.225 |   21.794 |   21.155 ||   -0.04   +0.25   +0.13  +14.98  +14.93  +10.85   +0.28   +0.24   -2.38   +0.24   -2.70
R4   |   21.683 |   21.679 |   21.725 |   21.704 |   25.022 |   25.009 |   24.140 |   21.732 |   21.731 |   20.990 |   21.730 |   21.368 ||   -0.02   +0.19   +0.10  +15.40  +15.34  +11.33   +0.23   +0.22   -3.20   +0.22   -1.45
R6   |   21.608 |   21.606 |   21.626 |   21.618 |   24.987 |   24.995 |   24.202 |   21.640 |   21.636 |   20.520 |   21.644 |   21.752 ||   -0.01   +0.09   +0.05  +15.64  +15.67  +12.00   +0.15   +0.13   -5.03   +0.17   +0.67
=== process order2.1
mix  |     base |      cw4 |       t4 |     t4p8 |      s4h |       s4 |    m4s4h |   m4s4AA |     m4s4 |   dsp0AA |     dsp0 |   baseAA ||     cw4%      t4%    t4p8%     s4h%      s4%   m4s4h%  m4s4AA%    m4s4%  dsp0AA%    dsp0%  baseAA%
A    |   22.584 |   18.180 |   19.096 |   19.253 |   19.518 |   19.858 |   19.816 |   20.335 |   20.407 |   22.620 |   22.565 |   22.614 ||  -19.50  -15.44  -14.75  -13.58  -12.07  -12.26   -9.96   -9.64   +0.16   -0.08   +0.13
B    |   51.807 |   48.825 |   49.236 |   49.174 |   49.574 |   49.870 |   49.801 |   50.155 |   50.303 |   51.890 |   51.851 |   51.812 ||   -5.76   -4.96   -5.08   -4.31   -3.74   -3.87   -3.19   -2.90   +0.16   +0.09   +0.01
