=== process order1.1
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
A    |   28.544 |   28.487 |   28.418 |   28.462 |   25.998 |   26.152 |   24.516 |   25.262 |   24.366 |   24.348 |   23.940 |   22.825 ||   -0.20   -0.44   -0.29   -8.92   -8.38  -14.11  -11.50  -14.63  -14.70  -16.13  -20.04
B    |   61.929 |   61.883 |   61.970 |   61.962 |   60.088 |   60.460 |   59.373 |   59.254 |   58.757 |   59.293 |   58.661 |   58.974 ||   -0.07   +0.07   +0.05   -2.97   -2.37   -4.13   -4.32   -5.12   -4.26   -5.28   -4.77
C    |   37.981 |   38.187 |   37.991 |   38.091 |   36.843 |   36.913 |   35.920 |   36.283 |   35.975 |   35.729 |   35.738 |   36.884 ||   +0.54   +0.03   +0.29   -3.00   -2.81   -5.43   -4.47   -5.28   -5.93   -5.91   -2.89
D    |   23.934 |   23.999 |   23.915 |   23.999 |   12.987 |   12.939 |   12.930 |   12.934 |   12.929 |   12.901 |   12.905 |   12.950 ||   +0.27   -0.08   +0.27  -45.74  -45.94  -45.97  -45.96  -45.98  -46.10  -46.08  -45.89
E    |   25.817 |   25.736 |   25.772 |   25.766 |   17.131 |   17.186 |   15.439 |   17.121 |   15.433 |   14.720 |   14.809 |   15.449 ||   -0.32   -0.18   -0.20  -33.65  -33.43  -40.20  -33.68  -40.22  -42.98  -42.64  -40.16
F    |   27.107 |   27.155 |   27.092 |   27.123 |   26.665 |   26.773 |   25.293 |   23.361 |   22.908 |   21.090 |   22.294 |   23.260 ||   +0.18   -0.06   +0.06   -1.63   -1.23   -6.69  -13.82  -15.49  -22.20  -17.76  -14.19
R1   |   27.425 |   27.283 |   27.188 |   27.260 |   29.885 |   29.836 |   28.818 |   27.220 |   27.177 |   26.147 |   27.203 |   24.328 ||   -0.52   -0.87   -0.60   +8.97   +8.79   +5.08   -0.75   -0.91   -4.66   -0.81  -11.30
R2   |   26.902 |   26.801 |   26.744 |   26.825 |   30.528 |   30.484 |   29.272 |   26.746 |   26.725 |   25.305 |   26.780 |   25.254 ||   -0.38   -0.59   -0.29  +13.48  +13.31   +8.81   -0.58   -0.66   -5.94   -0.45   -6.13
R3   |   26.605 |   26.525 |   26.485 |   26.501 |   30.701 |   30.663 |   29.434 |   26.501 |   26.473 |   24.805 |   26.515 |   25.683 ||   -0.30   -0.45   -0.39  +15.40  +15.25  +10.63   -0.39   -0.50   -6.77   -0.34   -3.47
R4   |   26.465 |   26.375 |   26.327 |   26.374 |   30.788 |   30.785 |   29.522 |   26.362 |   26.301 |   24.524 |   26.370 |   25.963 ||   -0.34   -0.52   -0.34  +16.34  +16.32  +11.55   -0.39   -0.62   -7.33   -0.36   -1.90
R6   |   26.104 |   26.122 |   26.101 |   26.127 |   30.871 |   30.846 |   29.781 |   26.119 |   26.081 |   23.958 |   26.101 |   26.450 ||   +0.07   -0.01   +0.09  +18.26  +18.17  +14.09   +0.06   -0.09   -8.22   -0.01   +1.33
=== process order1.2
mix  |     base |   baseAA |     dsp0 |   dsp0AA |     m4s4 |   m4s4AA |    m4s4h |       s4 |      s4h |     t4p8 |       t4 |      cw4 ||  baseAA%    dsp0%  dsp0AA%    m4s4%  m4s4AA%   m4s4h%      s4%     s4h%    t4p8%      t4%     cw4%
A    |   28.547 |   28.650 |   28.875 |   28.700 |   25.995 |   26.136 |   24.512 |   25.256 |   24.375 |   24.308 |   23.934 |   22.848 ||   +0.36   +1.15   +0.53   -8.94   -8.45  -14.14  -11.53  -14.62  -14.85  -16.16  -19.96
B    |   61.888 |   61.943 |   61.975 |   61.861 |   60.091 |   60.572 |   59.366 |   59.281 |   58.836 |   59.297 |   58.645 |   58.897 ||   +0.09   +0.14   -0.04   -2.90   -2.13   -4.08   -4.21   -4.93   -4.19   -5.24   -4.83
C    |   37.944 |   38.188 |   38.007 |   38.072 |   36.757 |   36.864 |   35.939 |   36.236 |   36.007 |   35.739 |   35.753 |   36.870 ||   +0.64   +0.17   +0.34   -3.13   -2.85   -5.28   -4.50   -5.11   -5.81   -5.78   -2.83
D    |   23.929 |   24.005 |   23.918 |   24.023 |   12.978 |   12.942 |   12.931 |   12.939 |   12.929 |   12.898 |   12.901 |   12.947 ||   +0.32   -0.05   +0.39  -45.77  -45.92  -45.96  -45.93  -45.97  -46.10  -46.09  -45.89
E    |   25.849 |   25.758 |   25.771 |   25.771 |   17.122 |   17.204 |   15.430 |   17.106 |   15.467 |   14.749 |   14.840 |   15.417 ||   -0.35   -0.30   -0.30  -33.76  -33.44  -40.31  -33.82  -40.16  -42.94  -42.59  -40.35
F    |   27.107 |   27.109 |   27.057 |   27.112 |   26.630 |   26.851 |   25.293 |   23.376 |   22.895 |   21.095 |   22.299 |   23.292 ||   +0.01   -0.18   +0.02   -1.76   -0.94   -6.69  -13.76  -15.54  -22.18  -17.74  -14.08
