nblk  pairs lone pmull othALU  slots  floor_cyc
   1    104    8     5     78    195    48.75
   2    104    8     8     87    207    51.75
   3    104    8    11     94    217    54.25
   4    104    8    14    101    227    56.75
   5    104    8    17    106    235    58.75
   6    104    8    20    111    243    60.75
   7    104    8    23    114    249    62.25
   8    104    8    26     88    226    56.50

region breakdown: {'prologue': 138, 'tailhead': 3, 'sh1': 10, 'sh2': 6, 'sh3': 5, 'sh4': 4, 'sh5': 3, 'sh6': 2, 'sh7': 1, 'mt7': 10, 'mt6': 12, 'mt5': 13, 'mt4': 12, 'mt3': 13, 'mt2': 12, 'mt1': 13, 'lt1': 11, 'epi': 12, 'drain': 73}
