### AA-t4p8b : t4p8b t4p8b t4p8b t4p8b
mix  |  t4p8b_0 |  t4p8b_1 |  t4p8b_2 |  t4p8b_3 || t4p8b_1% t4p8b_2% t4p8b_3%
A    |   19.343 |   19.054 |   18.999 |   19.268 ||   -1.50   -1.78   -0.39
B    |   49.398 |   49.136 |   49.166 |   49.441 ||   -0.53   -0.47   +0.09
C    |   30.318 |   30.222 |   30.440 |   30.261 ||   -0.32   +0.40   -0.19
D    |   10.928 |   10.934 |   10.926 |   10.929 ||   +0.05   -0.02   +0.01
E    |   12.029 |   12.052 |   12.038 |   12.062 ||   +0.20   +0.08   +0.28
F    |   18.185 |   18.070 |   18.044 |   18.159 ||   -0.64   -0.77   -0.15
R1   |   22.362 |   22.345 |   22.382 |   22.356 ||   -0.08   +0.09   -0.03
R2   |   21.782 |   21.769 |   21.796 |   21.780 ||   -0.06   +0.06   -0.01
R3   |   21.322 |   21.307 |   21.343 |   21.315 ||   -0.07   +0.10   -0.04
R4   |   21.079 |   21.061 |   21.078 |   21.058 ||   -0.08   -0.00   -0.10
R6   |   20.559 |   20.563 |   20.569 |   20.570 ||   +0.02   +0.05   +0.05
mix  |  t4p8b_0 |  t4p8b_1 |  t4p8b_2 |  t4p8b_3 || t4p8b_1% t4p8b_2% t4p8b_3%
A    |   19.270 |   19.033 |   19.004 |   19.232 ||   -1.23   -1.38   -0.20
B    |   49.355 |   49.162 |   49.201 |   49.371 ||   -0.39   -0.31   +0.03
C    |   30.293 |   30.242 |   30.457 |   30.255 ||   -0.17   +0.54   -0.12
D    |   10.930 |   10.932 |   10.928 |   10.927 ||   +0.02   -0.01   -0.02
E    |   12.025 |   12.069 |   12.066 |   12.051 ||   +0.36   +0.34   +0.22
F    |   18.212 |   18.047 |   18.030 |   18.147 ||   -0.91   -1.00   -0.36
R1   |   22.372 |   22.359 |   22.386 |   22.345 ||   -0.06   +0.06   -0.12
R2   |   21.785 |   21.774 |   21.801 |   21.788 ||   -0.05   +0.07   +0.01
R3   |   21.318 |   21.329 |   21.332 |   21.308 ||   +0.06   +0.07   -0.05
R4   |   21.062 |   21.061 |   21.087 |   21.047 ||   -0.01   +0.12   -0.07
R6   |   20.550 |   20.563 |   20.575 |   20.565 ||   +0.06   +0.12   +0.07
### p-t4p8-t4p8b : t4p8 t4p8b t4p8 t4p8b
mix  |   t4p8_0 |  t4p8b_1 |   t4p8_2 |  t4p8b_3 || t4p8b_1%  t4p8_2% t4p8b_3%
A    |   19.048 |   19.022 |   19.145 |   19.228 ||   -0.13   +0.51   +0.95
B    |   49.114 |   49.167 |   49.152 |   49.375 ||   +0.11   +0.08   +0.53
C    |   29.214 |   30.235 |   29.064 |   30.199 ||   +3.49   -0.52   +3.37
D    |   10.925 |   10.930 |   10.917 |   10.930 ||   +0.05   -0.07   +0.05
E    |   12.027 |   12.025 |   11.992 |   12.054 ||   -0.02   -0.30   +0.23
F    |   17.835 |   18.059 |   17.959 |   18.179 ||   +1.26   +0.70   +1.93
R1   |   22.228 |   22.348 |   22.267 |   22.352 ||   +0.54   +0.17   +0.56
R2   |   21.642 |   21.779 |   21.636 |   21.793 ||   +0.63   -0.03   +0.70
R3   |   21.202 |   21.322 |   21.212 |   21.315 ||   +0.57   +0.05   +0.53
R4   |   20.966 |   21.066 |   20.984 |   21.052 ||   +0.48   +0.08   +0.41
R6   |   20.511 |   20.556 |   20.514 |   20.552 ||   +0.22   +0.02   +0.20
mix  |   t4p8_0 |  t4p8b_1 |   t4p8_2 |  t4p8b_3 || t4p8b_1%  t4p8_2% t4p8b_3%
A    |   19.090 |   18.979 |   19.149 |   19.269 ||   -0.58   +0.31   +0.94
B    |   49.107 |   49.151 |   49.134 |   49.354 ||   +0.09   +0.05   +0.50
C    |   29.254 |   30.224 |   29.114 |   30.165 ||   +3.32   -0.48   +3.11
D    |   10.922 |   10.931 |   10.921 |   10.930 ||   +0.08   -0.01   +0.07
E    |   12.021 |   12.034 |   11.980 |   12.051 ||   +0.11   -0.34   +0.25
F    |   17.873 |   18.049 |   17.924 |   18.178 ||   +0.98   +0.28   +1.71
R1   |   22.228 |   22.362 |   22.245 |   22.334 ||   +0.60   +0.07   +0.48
R2   |   21.662 |   21.794 |   21.653 |   21.779 ||   +0.61   -0.04   +0.54
R3   |   21.209 |   21.319 |   21.208 |   21.314 ||   +0.52   -0.01   +0.49
R4   |   20.962 |   21.061 |   20.984 |   21.046 ||   +0.47   +0.11   +0.40
R6   |   20.508 |   20.552 |   20.521 |   20.555 ||   +0.22   +0.06   +0.23
### p-t4p8b-t4p8 : t4p8b t4p8 t4p8b t4p8
mix  |  t4p8b_0 |   t4p8_1 |  t4p8b_2 |   t4p8_3 ||  t4p8_1% t4p8b_2%  t4p8_3%
A    |   19.252 |   19.108 |   19.088 |   19.082 ||   -0.75   -0.85   -0.89
B    |   49.466 |   49.178 |   49.211 |   49.046 ||   -0.58   -0.52   -0.85
C    |   30.363 |   29.450 |   30.497 |   29.220 ||   -3.01   +0.44   -3.76
D    |   10.928 |   10.919 |   10.933 |   10.924 ||   -0.08   +0.04   -0.04
E    |   12.081 |   12.011 |   11.984 |   12.069 ||   -0.58   -0.80   -0.10
F    |   18.197 |   17.982 |   18.021 |   17.881 ||   -1.18   -0.97   -1.73
R1   |   22.363 |   22.252 |   22.369 |   22.170 ||   -0.50   +0.03   -0.86
R2   |   21.775 |   21.663 |   21.791 |   21.622 ||   -0.51   +0.07   -0.70
R3   |   21.322 |   21.217 |   21.311 |   21.175 ||   -0.49   -0.05   -0.69
R4   |   21.067 |   20.977 |   21.059 |   20.931 ||   -0.43   -0.04   -0.64
R6   |   20.562 |   20.514 |   20.559 |   20.495 ||   -0.23   -0.01   -0.33
mix  |  t4p8b_0 |   t4p8_1 |  t4p8b_2 |   t4p8_3 ||  t4p8_1% t4p8b_2%  t4p8_3%
