### AA-t4p8b : t4p8b t4p8b t4p8b t4p8b
mix  |  t4p8b_0 |  t4p8b_1 |  t4p8b_2 |  t4p8b_3 || t4p8b_1% t4p8b_2% t4p8b_3%
A    |   22.680 |   22.830 |   22.710 |   22.825 ||   +0.66   +0.13   +0.64
B    |   59.568 |   58.991 |   59.290 |   59.413 ||   -0.97   -0.47   -0.26
C    |   36.640 |   36.297 |   36.552 |   36.303 ||   -0.93   -0.24   -0.92
D    |   12.874 |   12.877 |   12.903 |   12.881 ||   +0.02   +0.22   +0.05
E    |   14.884 |   14.902 |   14.876 |   14.852 ||   +0.12   -0.05   -0.21
F    |   21.231 |   21.078 |   21.008 |   21.284 ||   -0.72   -1.05   +0.25
R1   |   26.349 |   26.418 |   26.386 |   26.441 ||   +0.26   +0.14   +0.35
R2   |   25.443 |   25.483 |   25.471 |   25.505 ||   +0.16   +0.11   +0.24
R3   |   24.907 |   24.930 |   24.926 |   24.950 ||   +0.09   +0.07   +0.17
R4   |   24.606 |   24.631 |   24.619 |   24.630 ||   +0.10   +0.05   +0.10
R6   |   23.998 |   24.024 |   24.003 |   24.068 ||   +0.11   +0.02   +0.29
mix  |  t4p8b_0 |  t4p8b_1 |  t4p8b_2 |  t4p8b_3 || t4p8b_1% t4p8b_2% t4p8b_3%
A    |   22.687 |   22.809 |   22.776 |   22.752 ||   +0.54   +0.39   +0.28
B    |   59.628 |   59.023 |   59.255 |   59.400 ||   -1.01   -0.63   -0.38
C    |   36.651 |   36.299 |   36.612 |   36.316 ||   -0.96   -0.11   -0.91
D    |   12.869 |   12.882 |   12.902 |   12.874 ||   +0.10   +0.26   +0.04
E    |   14.882 |   14.906 |   14.893 |   14.899 ||   +0.16   +0.07   +0.12
F    |   21.218 |   21.069 |   21.010 |   21.300 ||   -0.70   -0.98   +0.39
R1   |   26.326 |   26.407 |   26.406 |   26.458 ||   +0.31   +0.30   +0.50
R2   |   25.470 |   25.492 |   25.459 |   25.495 ||   +0.09   -0.04   +0.10
R3   |   24.909 |   24.938 |   24.929 |   24.950 ||   +0.12   +0.08   +0.17
R4   |   24.596 |   24.635 |   24.602 |   24.659 ||   +0.16   +0.03   +0.26
R6   |   24.000 |   24.026 |   24.007 |   24.048 ||   +0.11   +0.03   +0.20
### p-t4p8-t4p8b : t4p8 t4p8b t4p8 t4p8b
mix  |   t4p8_0 |  t4p8b_1 |   t4p8_2 |  t4p8b_3 || t4p8b_1%  t4p8_2% t4p8b_3%
A    |   22.985 |   22.883 |   22.956 |   22.688 ||   -0.45   -0.13   -1.29
