### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   22.581 |   22.582 |   22.544 |   22.545 ||   +0.00   -0.16   -0.16
B    |   51.709 |   51.696 |   51.763 |   51.721 ||   -0.02   +0.10   +0.02
C    |   31.481 |   31.527 |   31.432 |   31.497 ||   +0.15   -0.15   +0.05
D    |   19.962 |   19.962 |   19.959 |   19.956 ||   +0.00   -0.01   -0.03
E    |   21.012 |   21.016 |   20.993 |   21.049 ||   +0.02   -0.09   +0.18
F    |   21.968 |   21.962 |   21.977 |   21.986 ||   -0.03   +0.04   +0.08
R1   |   22.031 |   22.027 |   22.032 |   22.032 ||   -0.02   +0.00   +0.01
R2   |   21.827 |   21.827 |   21.836 |   21.823 ||   +0.00   +0.04   -0.02
R3   |   21.732 |   21.728 |   21.734 |   21.730 ||   -0.02   +0.01   -0.01
R4   |   21.678 |   21.671 |   21.678 |   21.676 ||   -0.04   -0.00   -0.01
R6   |   21.605 |   21.601 |   21.598 |   21.592 ||   -0.02   -0.03   -0.06
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   22.594 |   22.566 |   22.546 |   22.554 ||   -0.12   -0.21   -0.18
B    |   51.687 |   51.718 |   51.767 |   51.710 ||   +0.06   +0.15   +0.04
C    |   31.462 |   31.521 |   31.395 |   31.521 ||   +0.19   -0.21   +0.19
D    |   19.955 |   19.966 |   19.962 |   19.967 ||   +0.06   +0.04   +0.06
E    |   21.012 |   21.037 |   20.995 |   21.057 ||   +0.12   -0.08   +0.21
F    |   21.977 |   21.972 |   21.972 |   21.982 ||   -0.02   -0.02   +0.02
R1   |   22.037 |   22.035 |   22.039 |   22.031 ||   -0.01   +0.01   -0.03
R2   |   21.833 |   21.819 |   21.833 |   21.830 ||   -0.06   +0.00   -0.01
R3   |   21.739 |   21.733 |   21.740 |   21.738 ||   -0.03   +0.01   -0.00
R4   |   21.680 |   21.674 |   21.680 |   21.681 ||   -0.03   -0.00   +0.00
R6   |   21.607 |   21.602 |   21.603 |   21.600 ||   -0.02   -0.02   -0.03
### AA-t4p8 : t4p8 t4p8 t4p8 t4p8
mix  |   t4p8_0 |   t4p8_1 |   t4p8_2 |   t4p8_3 ||  t4p8_1%  t4p8_2%  t4p8_3%
A    |   19.039 |   19.162 |   19.266 |   19.030 ||   +0.65   +1.19   -0.05
B    |   49.118 |   49.209 |   49.203 |   49.094 ||   +0.18   +0.17   -0.05
C    |   29.241 |   29.448 |   29.138 |   29.244 ||   +0.71   -0.35   +0.01
D    |   10.922 |   10.921 |   10.922 |   10.921 ||   -0.00   +0.00   -0.01
E    |   11.949 |   12.054 |   12.062 |   12.050 ||   +0.88   +0.94   +0.84
F    |   17.835 |   17.966 |   18.002 |   17.821 ||   +0.74   +0.94   -0.08
R1   |   22.255 |   22.240 |   22.227 |   22.236 ||   -0.07   -0.12   -0.09
R2   |   21.644 |   21.658 |   21.641 |   21.631 ||   +0.06   -0.01   -0.06
R3   |   21.209 |   21.202 |   21.198 |   21.186 ||   -0.04   -0.05   -0.11
R4   |   20.960 |   20.970 |   20.963 |   20.953 ||   +0.04   +0.01   -0.03
R6   |   20.513 |   20.516 |   20.512 |   20.512 ||   +0.01   -0.01   -0.00
mix  |   t4p8_0 |   t4p8_1 |   t4p8_2 |   t4p8_3 ||  t4p8_1%  t4p8_2%  t4p8_3%
A    |   19.025 |   19.177 |   19.255 |   19.015 ||   +0.80   +1.21   -0.05
B    |   49.130 |   49.161 |   49.223 |   49.086 ||   +0.06   +0.19   -0.09
C    |   29.214 |   29.464 |   29.149 |   29.281 ||   +0.85   -0.22   +0.23
D    |   10.922 |   10.922 |   10.923 |   10.924 ||   +0.00   +0.00   +0.02
E    |   11.941 |   12.084 |   12.065 |   12.071 ||   +1.19   +1.04   +1.09
F    |   17.807 |   17.975 |   17.962 |   17.865 ||   +0.94   +0.87   +0.33
R1   |   22.246 |   22.234 |   22.227 |   22.242 ||   -0.06   -0.09   -0.02
R2   |   21.646 |   21.666 |   21.631 |   21.627 ||   +0.10   -0.07   -0.08
R3   |   21.209 |   21.193 |   21.197 |   21.195 ||   -0.08   -0.06   -0.07
R4   |   20.965 |   20.967 |   20.964 |   20.954 ||   +0.01   -0.01   -0.05
R6   |   20.504 |   20.515 |   20.501 |   20.518 ||   +0.05   -0.01   +0.06
### AA-t5 : t5 t5 t5 t5
mix  |     t5_0 |     t5_1 |     t5_2 |     t5_3 ||    t5_1%    t5_2%    t5_3%
A    |   18.399 |   18.347 |   18.410 |   18.353 ||   -0.28   +0.06   -0.25
B    |   48.849 |   48.785 |   48.783 |   48.765 ||   -0.13   -0.14   -0.17
C    |   29.193 |   29.142 |   29.220 |   29.157 ||   -0.18   +0.09   -0.12
D    |   10.927 |   10.925 |   10.923 |   10.929 ||   -0.02   -0.04   +0.02
E    |   11.882 |   11.844 |   11.874 |   11.833 ||   -0.32   -0.07   -0.42
F    |   18.695 |   18.624 |   18.676 |   18.693 ||   -0.38   -0.10   -0.01
R1   |   19.099 |   19.103 |   19.129 |   19.114 ||   +0.02   +0.16   +0.08
R2   |   19.967 |   19.941 |   19.951 |   19.938 ||   -0.13   -0.08   -0.14
R3   |   20.286 |   20.289 |   20.308 |   20.283 ||   +0.02   +0.11   -0.01
R4   |   20.498 |   20.487 |   20.493 |   20.495 ||   -0.05   -0.02   -0.01
R6   |   20.861 |   20.864 |   20.868 |   20.857 ||   +0.01   +0.03   -0.02
mix  |     t5_0 |     t5_1 |     t5_2 |     t5_3 ||    t5_1%    t5_2%    t5_3%
A    |   18.419 |   18.361 |   18.429 |   18.420 ||   -0.31   +0.05   +0.01
B    |   48.871 |   48.727 |   48.815 |   48.828 ||   -0.30   -0.11   -0.09
C    |   29.256 |   29.124 |   29.176 |   29.165 ||   -0.45   -0.27   -0.31
D    |   10.925 |   10.921 |   10.926 |   10.927 ||   -0.03   +0.01   +0.02
E    |   11.893 |   11.822 |   11.857 |   11.828 ||   -0.60   -0.31   -0.55
F    |   18.722 |   18.667 |   18.675 |   18.675 ||   -0.30   -0.25   -0.25
R1   |   19.103 |   19.119 |   19.125 |   19.121 ||   +0.08   +0.12   +0.09
R2   |   19.941 |   19.922 |   19.958 |   19.951 ||   -0.10   +0.08   +0.05
R3   |   20.297 |   20.285 |   20.306 |   20.283 ||   -0.06   +0.04   -0.07
R4   |   20.504 |   20.490 |   20.490 |   20.497 ||   -0.07   -0.07   -0.04
R6   |   20.864 |   20.864 |   20.870 |   20.859 ||   -0.00   +0.03   -0.03
### AA-t8 : t8 t8 t8 t8
mix  |     t8_0 |     t8_1 |     t8_2 |     t8_3 ||    t8_1%    t8_2%    t8_3%
A    |   17.985 |   18.040 |   18.042 |   18.005 ||   +0.30   +0.31   +0.11
B    |   48.277 |   48.268 |   48.295 |   48.231 ||   -0.02   +0.04   -0.10
C    |   29.379 |   29.329 |   29.122 |   29.094 ||   -0.17   -0.88   -0.97
D    |   10.928 |   10.930 |   10.912 |   10.923 ||   +0.01   -0.15   -0.05
E    |   12.103 |   12.102 |   12.095 |   12.091 ||   -0.01   -0.07   -0.10
F    |   18.255 |   18.217 |   18.221 |   18.232 ||   -0.21   -0.19   -0.13
R1   |   18.491 |   18.436 |   18.439 |   18.462 ||   -0.30   -0.28   -0.16
R2   |   18.914 |   18.921 |   18.915 |   18.949 ||   +0.04   +0.01   +0.19
