### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   28.462 |   28.343 |   28.347 |   28.307 ||   -0.42   -0.40   -0.54
B    |   61.887 |   61.839 |   61.929 |   61.795 ||   -0.08   +0.07   -0.15
C    |   37.933 |   38.086 |   37.803 |   37.990 ||   +0.40   -0.34   +0.15
D    |   23.934 |   23.964 |   23.896 |   23.904 ||   +0.13   -0.16   -0.12
E    |   25.837 |   25.778 |   25.821 |   25.791 ||   -0.23   -0.06   -0.18
F    |   27.150 |   27.135 |   27.131 |   27.115 ||   -0.06   -0.07   -0.13
R1   |   27.206 |   27.236 |   27.210 |   27.197 ||   +0.11   +0.02   -0.03
R2   |   26.839 |   26.816 |   26.815 |   26.792 ||   -0.08   -0.09   -0.17
R3   |   26.547 |   26.533 |   26.545 |   26.535 ||   -0.05   -0.01   -0.04
R4   |   26.392 |   26.364 |   26.374 |   26.348 ||   -0.10   -0.07   -0.17
R6   |   26.130 |   26.109 |   26.121 |   26.109 ||   -0.08   -0.03   -0.08
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   28.409 |   28.378 |   28.428 |   28.365 ||   -0.11   +0.07   -0.15
B    |   61.891 |   61.871 |   61.981 |   61.834 ||   -0.03   +0.14   -0.09
C    |   37.875 |   37.987 |   37.838 |   38.011 ||   +0.29   -0.10   +0.36
D    |   23.952 |   23.947 |   23.920 |   23.918 ||   -0.02   -0.13   -0.14
E    |   25.834 |   25.789 |   25.822 |   25.777 ||   -0.17   -0.05   -0.22
F    |   27.130 |   27.167 |   27.120 |   27.132 ||   +0.14   -0.04   +0.01
R1   |   27.211 |   27.215 |   27.199 |   27.266 ||   +0.02   -0.04   +0.20
R2   |   26.826 |   26.771 |   26.817 |   26.773 ||   -0.21   -0.03   -0.20
R3   |   26.565 |   26.500 |   26.545 |   26.521 ||   -0.24   -0.07   -0.16
R4   |   26.387 |   26.357 |   26.371 |   26.355 ||   -0.11   -0.06   -0.12
R6   |   26.129 |   26.110 |   26.120 |   26.115 ||   -0.07   -0.03   -0.06
### AA-t4p8 : t4p8 t4p8 t4p8 t4p8
mix  |   t4p8_0 |   t4p8_1 |   t4p8_2 |   t4p8_3 ||  t4p8_1%  t4p8_2%  t4p8_3%
A    |   22.929 |   24.089 |   24.278 |   23.880 ||   +5.06   +5.88   +4.15
B    |   59.210 |   59.181 |   59.200 |   59.221 ||   -0.05   -0.02   +0.02
C    |   35.761 |   35.859 |   35.777 |   35.665 ||   +0.27   +0.04   -0.27
D    |   12.905 |   12.900 |   12.899 |   12.902 ||   -0.04   -0.05   -0.03
E    |   14.710 |   14.756 |   14.721 |   14.735 ||   +0.31   +0.07   +0.17
F    |   20.869 |   21.026 |   21.015 |   20.869 ||   +0.75   +0.70   -0.00
R1   |   26.129 |   26.092 |   26.109 |   26.130 ||   -0.14   -0.08   +0.00
R2   |   25.311 |   25.293 |   25.285 |   25.345 ||   -0.07   -0.10   +0.14
R3   |   24.830 |   24.810 |   24.831 |   24.844 ||   -0.08   +0.01   +0.06
R4   |   24.547 |   24.510 |   24.521 |   24.539 ||   -0.15   -0.10   -0.03
R6   |   23.965 |   23.961 |   23.958 |   23.972 ||   -0.02   -0.03   +0.03
mix  |   t4p8_0 |   t4p8_1 |   t4p8_2 |   t4p8_3 ||  t4p8_1%  t4p8_2%  t4p8_3%
A    |   23.066 |   24.272 |   24.270 |   23.029 ||   +5.23   +5.22   -0.16
B    |   59.184 |   59.214 |   59.261 |   59.166 ||   +0.05   +0.13   -0.03
C    |   35.773 |   35.839 |   35.764 |   35.719 ||   +0.19   -0.03   -0.15
D    |   12.906 |   12.899 |   12.900 |   12.907 ||   -0.06   -0.05   +0.00
