=== process order1.1
mix  |     base |   baseAA |   baseAB |     dsp0 |   dsp0AA |       t4 |       t5 |       t7 |       t8 |     t4p8 |   t4p8AA |    t4p8b ||  baseAA%  baseAB%    dsp0%  dsp0AA%      t4%      t5%      t7%      t8%    t4p8%  t4p8AA%   t4p8b%
A    |   33.005 |   33.123 |   33.212 |   33.107 |   33.111 |   28.993 |   27.847 |   26.761 |   27.155 |   29.008 |   29.026 |   28.984 ||   +0.36   +0.63   +0.31   +0.32  -12.16  -15.63  -18.92  -17.72  -12.11  -12.06  -12.18
B    |   70.263 |   70.755 |   70.870 |   70.213 |   70.307 |   67.362 |   66.480 |   66.939 |   67.714 |   67.560 |   67.786 |   68.203 ||   +0.70   +0.86   -0.07   +0.06   -4.13   -5.39   -4.73   -3.63   -3.85   -3.53   -2.93
C    |   46.970 |   46.810 |   46.807 |   46.872 |   47.019 |   44.356 |   44.051 |   44.135 |   44.983 |   44.263 |   44.341 |   45.316 ||   -0.34   -0.35   -0.21   +0.10   -5.57   -6.22   -6.03   -4.23   -5.76   -5.60   -3.52
D    |   28.239 |   28.228 |   28.197 |   28.242 |   28.435 |   14.545 |   14.543 |   14.586 |   14.530 |   14.542 |   14.533 |   14.545 ||   -0.04   -0.15   +0.01   +0.69  -48.49  -48.50  -48.35  -48.55  -48.51  -48.54  -48.49
E    |   30.335 |   30.449 |   30.388 |   30.255 |   30.375 |   18.187 |   17.724 |   18.576 |   18.676 |   18.636 |   18.672 |   18.379 ||   +0.38   +0.17   -0.26   +0.13  -40.05  -41.57  -38.76  -38.43  -38.57  -38.45  -39.41
F    |   32.535 |   32.456 |   32.505 |   32.770 |   32.527 |   27.876 |   27.792 |   27.805 |   27.805 |   27.610 |   27.595 |   28.037 ||   -0.24   -0.09   +0.72   -0.02  -14.32  -14.58  -14.54  -14.54  -15.14  -15.18  -13.83
R1   |   32.714 |   32.685 |   32.727 |   33.146 |   32.796 |   33.155 |   28.132 |   28.270 |   28.034 |   33.099 |   33.090 |   33.244 ||   -0.09   +0.04   +1.32   +0.25   +1.35  -14.01  -13.58  -14.31   +1.18   +1.15   +1.62
R2   |   31.635 |   32.709 |   32.844 |   33.329 |   32.865 |   33.288 |   29.540 |   30.009 |   26.925 |   30.584 |   30.594 |   30.944 ||   +3.40   +3.82   +5.35   +3.89   +5.23   -6.62   -5.14  -14.89   -3.32   -3.29   -2.19
R3   |   31.298 |   31.297 |   31.324 |   31.270 |   31.537 |   31.272 |   29.154 |   29.019 |   27.047 |   29.792 |   29.809 |   30.509 ||   -0.00   +0.08   -0.09   +0.76   -0.08   -6.85   -7.28  -13.58   -4.81   -4.76   -2.52
R4   |   31.057 |   31.098 |   31.045 |   31.066 |   31.258 |   31.022 |   29.224 |   29.129 |   27.094 |   29.361 |   29.340 |   30.010 ||   +0.13   -0.04   +0.03   +0.65   -0.11   -5.90   -6.21  -12.76   -5.46   -5.53   -3.37
