=== process order1.1
mix  |     base |   baseAA |   baseAB |     dsp0 |   dsp0AA |       t4 |       t5 |       t7 |       t8 |     t4p8 |   t4p8AA |    t4p8b ||  baseAA%  baseAB%    dsp0%  dsp0AA%      t4%      t5%      t7%      t8%    t4p8%  t4p8AA%   t4p8b%
A    |   28.644 |   28.533 |   28.434 |   28.672 |   28.670 |   24.039 |   22.968 |   22.142 |   22.566 |   24.215 |   22.956 |   22.988 ||   -0.38   -0.73   +0.10   +0.09  -16.08  -19.82  -22.70  -21.22  -15.46  -19.85  -19.75
B    |   61.931 |   61.847 |   62.004 |   61.922 |   61.973 |   58.886 |   58.436 |   58.625 |   59.466 |   59.182 |   59.206 |   59.455 ||   -0.14   +0.12   -0.01   +0.07   -4.92   -5.64   -5.34   -3.98   -4.44   -4.40   -4.00
C    |   38.003 |   38.177 |   38.050 |   38.273 |   38.333 |   35.677 |   35.778 |   36.132 |   37.525 |   35.753 |   35.856 |   36.691 ||   +0.46   +0.13   +0.71   +0.87   -6.12   -5.85   -4.92   -1.26   -5.92   -5.65   -3.45
D    |   23.958 |   24.031 |   23.960 |   24.012 |   23.970 |   12.877 |   12.880 |   12.876 |   12.890 |   12.893 |   12.893 |   12.900 ||   +0.31   +0.01   +0.23   +0.05  -46.25  -46.24  -46.25  -46.20  -46.18  -46.18  -46.15
E    |   25.976 |   25.754 |   25.783 |   25.751 |   25.811 |   14.363 |   14.103 |   14.942 |   14.830 |   14.754 |   14.771 |   14.863 ||   -0.85   -0.74   -0.86   -0.63  -44.70  -45.71  -42.48  -42.91  -43.20  -43.13  -42.78
F    |   27.126 |   27.162 |   27.116 |   27.159 |   27.142 |   22.315 |   22.129 |   22.304 |   21.098 |   20.836 |   21.092 |   21.260 ||   +0.13   -0.04   +0.12   +0.06  -17.74  -18.42  -17.78  -22.22  -23.19  -22.25  -21.63
R1   |   27.416 |   27.256 |   27.177 |   27.266 |   27.195 |   27.283 |   22.994 |   22.978 |   21.513 |   26.105 |   26.143 |   26.423 ||   -0.58   -0.87   -0.55   -0.81   -0.49  -16.13  -16.19  -21.53   -4.78   -4.64   -3.62
R2   |   26.941 |   26.823 |   26.815 |   26.840 |   26.700 |   26.851 |   23.776 |   23.740 |   22.030 |   25.311 |   25.323 |   25.471 ||   -0.43   -0.47   -0.37   -0.89   -0.33  -11.75  -11.88  -18.23   -6.05   -6.00   -5.46
R3   |   26.617 |   26.546 |   26.541 |   26.469 |   26.500 |   26.458 |   24.221 |   24.198 |   22.278 |   24.816 |   24.810 |   24.959 ||   -0.27   -0.28   -0.56   -0.44   -0.60   -9.00   -9.09  -16.30   -6.77   -6.79   -6.23
R4   |   26.425 |   26.355 |   26.385 |   26.369 |   26.336 |   26.368 |   24.474 |   24.471 |   22.429 |   24.543 |   24.538 |   24.625 ||   -0.27   -0.15   -0.21   -0.34   -0.22   -7.38   -7.39  -15.12   -7.12   -7.14   -6.81
