### AA-t8 : t8 t8 t8 t8
mix  |     t8_0 |     t8_1 |     t8_2 |     t8_3 ||    t8_1%    t8_2%    t8_3%
A    |   22.685 |   22.643 |   22.652 |   22.714 ||   -0.19   -0.15   +0.13
B    |   59.626 |   59.579 |   59.557 |   59.439 ||   -0.08   -0.12   -0.31
C    |   37.026 |   37.171 |   37.201 |   37.256 ||   +0.39   +0.47   +0.62
D    |   12.873 |   12.877 |   12.883 |   12.877 ||   +0.03   +0.08   +0.04
E    |   15.051 |   15.068 |   15.070 |   15.054 ||   +0.12   +0.13   +0.02
mix  |     t8_0 |     t8_1 |     t8_2 |     t8_3 ||    t8_1%    t8_2%    t8_3%
A    |   22.668 |   22.631 |   22.651 |   22.702 ||   -0.17   -0.07   +0.15
B    |   59.606 |   59.604 |   59.602 |   59.510 ||   -0.00   -0.01   -0.16
C    |   37.113 |   37.222 |   37.109 |   37.251 ||   +0.29   -0.01   +0.37
D    |   12.881 |   12.876 |   12.885 |   12.881 ||   -0.04   +0.03   -0.00
E    |   15.026 |   15.062 |   15.099 |   15.056 ||   +0.24   +0.49   +0.20
### AA-t5 : t5 t5 t5 t5
mix  |     t5_0 |     t5_1 |     t5_2 |     t5_3 ||    t5_1%    t5_2%    t5_3%
A    |   22.589 |   22.870 |   22.684 |   22.812 ||   +1.24   +0.42   +0.99
B    |   58.609 |   58.568 |   58.676 |   58.612 ||   -0.07   +0.11   +0.00
C    |   35.450 |   35.367 |   35.628 |   35.492 ||   -0.23   +0.50   +0.12
D    |   12.885 |   12.884 |   12.885 |   12.886 ||   -0.01   +0.00   +0.01
E    |   14.182 |   14.296 |   14.722 |   14.237 ||   +0.80   +3.81   +0.39
mix  |     t5_0 |     t5_1 |     t5_2 |     t5_3 ||    t5_1%    t5_2%    t5_3%
A    |   22.824 |   22.973 |   22.687 |   23.000 ||   +0.65   -0.60   +0.77
B    |   58.533 |   58.577 |   58.680 |   58.568 ||   +0.08   +0.25   +0.06
C    |   35.451 |   35.332 |   35.666 |   35.431 ||   -0.34   +0.61   -0.06
D    |   12.885 |   12.888 |   12.887 |   12.889 ||   +0.02   +0.02   +0.03
E    |   14.137 |   14.206 |   14.238 |   14.736 ||   +0.49   +0.71   +4.24
### AA-base : base base base base
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   28.161 |   28.144 |   28.105 |   28.057 ||   -0.06   -0.20   -0.37
B    |   61.881 |   61.792 |   61.787 |   61.699 ||   -0.14   -0.15   -0.29
C    |   37.710 |   37.704 |   38.012 |   37.848 ||   -0.02   +0.80   +0.37
D    |   23.871 |   23.907 |   23.887 |   23.959 ||   +0.15   +0.07   +0.37
E    |   25.777 |   25.724 |   25.773 |   25.701 ||   -0.21   -0.01   -0.30
mix  |   base_0 |   base_1 |   base_2 |   base_3 ||  base_1%  base_2%  base_3%
A    |   28.192 |   28.135 |   28.147 |   28.070 ||   -0.20   -0.16   -0.43
B    |   61.858 |   61.804 |   61.832 |   61.732 ||   -0.09   -0.04   -0.20
C    |   37.636 |   37.727 |   38.026 |   37.857 ||   +0.24   +1.04   +0.59
