### slots: base dsp0 t7 t8
mix  |     base |     dsp0 |       t7 |       t8 ||    dsp0%      t7%      t8%
A    |   28.222 |   29.974 |   22.021 |   22.625 ||   +6.21  -21.97  -19.83
B    |   61.909 |   61.866 |   58.673 |   59.545 ||   -0.07   -5.23   -3.82
C    |   37.677 |   37.962 |   36.222 |   36.860 ||   +0.76   -3.86   -2.17
D    |   23.896 |   23.948 |   12.887 |   12.871 ||   +0.22  -46.07  -46.14
E    |   25.812 |   25.733 |   14.407 |   14.506 ||   -0.31  -44.19  -43.80
mix  |     base |     dsp0 |       t7 |       t8 ||    dsp0%      t7%      t8%
A    |   28.234 |   29.958 |   22.043 |   22.629 ||   +6.11  -21.93  -19.85
B    |   61.869 |   61.873 |   58.674 |   59.549 ||   +0.01   -5.16   -3.75
C    |   37.703 |   37.933 |   36.184 |   36.808 ||   +0.61   -4.03   -2.37
D    |   23.901 |   23.940 |   12.884 |   12.878 ||   +0.16  -46.10  -46.12
E    |   25.818 |   25.737 |   14.444 |   14.440 ||   -0.31  -44.05  -44.07
### slots: base t8 t7 dsp0
mix  |     base |       t8 |       t7 |     dsp0 ||      t8%      t7%    dsp0%
A    |   28.198 |   22.508 |   22.092 |   28.273 ||  -20.18  -21.65   +0.27
B    |   61.878 |   59.656 |   58.969 |   61.732 ||   -3.59   -4.70   -0.24
C    |   37.704 |   37.536 |   36.351 |   37.921 ||   -0.45   -3.59   +0.57
D    |   23.850 |   12.877 |   12.867 |   23.981 ||  -46.01  -46.05   +0.55
E    |   25.740 |   14.390 |   14.376 |   25.899 ||  -44.10  -44.15   +0.62
mix  |     base |       t8 |       t7 |     dsp0 ||      t8%      t7%    dsp0%
A    |   28.160 |   22.501 |   22.120 |   28.370 ||  -20.09  -21.45   +0.74
B    |   61.920 |   59.718 |   58.982 |   61.785 ||   -3.56   -4.74   -0.22
C    |   37.744 |   37.513 |   36.360 |   37.852 ||   -0.61   -3.67   +0.29
D    |   23.847 |   12.877 |   12.866 |   23.967 ||  -46.00  -46.05   +0.50
E    |   25.736 |   14.372 |   14.388 |   25.890 ||  -44.16  -44.09   +0.59
### slots: base t5 t8 t7
mix  |     base |       t5 |       t8 |       t7 ||      t5%      t8%      t7%
A    |   29.998 |   22.787 |   22.622 |   22.093 ||  -24.04  -24.59  -26.35
B    |   61.918 |   58.749 |   59.745 |   59.010 ||   -5.12   -3.51   -4.70
C    |   37.768 |   35.479 |   37.833 |   36.113 ||   -6.06   +0.17   -4.38
D    |   23.860 |   12.885 |   12.880 |   12.890 ||  -46.00  -46.02  -45.98
E    |   25.744 |   14.163 |   14.525 |   15.121 ||  -44.99  -43.58  -41.26
mix  |     base |       t5 |       t8 |       t7 ||      t5%      t8%      t7%
A    |   29.387 |   22.449 |   22.584 |   22.130 ||  -23.61  -23.15  -24.70
B    |   61.924 |   58.814 |   59.722 |   58.943 ||   -5.02   -3.56   -4.82
C    |   37.707 |   35.497 |   37.837 |   36.154 ||   -5.86   +0.35   -4.12
D    |   23.843 |   12.885 |   12.884 |   12.885 ||  -45.96  -45.96  -45.96
E    |   25.774 |   14.146 |   14.462 |   15.076 ||  -45.11  -43.89  -41.51
### slots: base t8 t5 t4
mix  |     base |       t8 |       t5 |       t4 ||      t8%      t5%      t4%
A    |   28.171 |   22.514 |   21.644 |   23.661 ||  -20.08  -23.17  -16.01
B    |   61.892 |   59.768 |   58.680 |   58.817 ||   -3.43   -5.19   -4.97
C    |   37.606 |   37.484 |   35.563 |   35.299 ||   -0.32   -5.43   -6.13
D    |   23.871 |   12.874 |   12.887 |   12.901 ||  -46.07  -46.01  -45.96
E    |   25.743 |   14.398 |   14.159 |   14.453 ||  -44.07  -45.00  -43.86
mix  |     base |       t8 |       t5 |       t4 ||      t8%      t5%      t4%
A    |   28.067 |   22.524 |   21.564 |   22.573 ||  -19.75  -23.17  -19.58
B    |   61.906 |   59.700 |   58.662 |   58.824 ||   -3.56   -5.24   -4.98
C    |   37.653 |   37.498 |   35.536 |   35.395 ||   -0.41   -5.62   -6.00
D    |   23.872 |   12.877 |   12.889 |   12.903 ||  -46.06  -46.01  -45.95
E    |   25.794 |   14.374 |   14.152 |   14.438 ||  -44.27  -45.13  -44.03
### slots: base t6 t8 t7
mix  |     base |       t6 |       t8 |       t7 ||      t6%      t8%      t7%
A    |   29.943 |   22.422 |   22.661 |   22.055 ||  -25.12  -24.32  -26.35
B    |   61.858 |   59.022 |   59.550 |   58.610 ||   -4.58   -3.73   -5.25
C    |   37.684 |   35.958 |   37.323 |   36.241 ||   -4.58   -0.96   -3.83
