### slots: base dsp0 t7 t8
mix  |     base |     dsp0 |       t7 |       t8 ||    dsp0%      t7%      t8%
A    |   27.980 |   28.011 |   21.868 |   22.395 ||   +0.11  -21.85  -19.96
B    |   61.710 |   61.731 |   58.839 |   59.463 ||   +0.03   -4.65   -3.64
C    |   38.183 |   37.976 |   36.424 |   36.842 ||   -0.54   -4.61   -3.51
mix  |     base |     dsp0 |       t7 |       t8 ||    dsp0%      t7%      t8%
A    |   28.004 |   28.066 |   21.852 |   22.411 ||   +0.22  -21.97  -19.97
B    |   61.740 |   61.733 |   58.805 |   59.540 ||   -0.01   -4.75   -3.56
C    |   38.230 |   37.931 |   36.454 |   36.919 ||   -0.78   -4.65   -3.43
mix  |     base |     dsp0 |       t7 |       t8 ||    dsp0%      t7%      t8%
A    |   28.075 |   28.082 |   21.820 |   22.354 ||   +0.03  -22.28  -20.38
B    |   61.706 |   61.775 |   58.802 |   59.471 ||   +0.11   -4.71   -3.62
C    |   38.201 |   37.994 |   36.363 |   36.865 ||   -0.54   -4.81   -3.50
### slots: base t8 t7 dsp0
mix  |     base |       t8 |       t7 |     dsp0 ||      t8%      t7%    dsp0%
A    |   28.040 |   22.290 |   22.006 |   28.274 ||  -20.51  -21.52   +0.83
B    |   61.765 |   59.231 |   58.924 |   61.649 ||   -4.10   -4.60   -0.19
C    |   38.247 |   37.073 |   36.557 |   37.890 ||   -3.07   -4.42   -0.93
mix  |     base |       t8 |       t7 |     dsp0 ||      t8%      t7%    dsp0%
A    |   28.020 |   22.295 |   21.968 |   28.162 ||  -20.43  -21.60   +0.51
B    |   61.791 |   59.286 |   58.873 |   61.700 ||   -4.05   -4.72   -0.15
C    |   38.158 |   37.047 |   36.548 |   37.958 ||   -2.91   -4.22   -0.53
mix  |     base |       t8 |       t7 |     dsp0 ||      t8%      t7%    dsp0%
A    |   28.038 |   22.297 |   21.962 |   28.177 ||  -20.47  -21.67   +0.49
B    |   61.803 |   59.296 |   58.857 |   61.692 ||   -4.06   -4.77   -0.18
C    |   38.230 |   37.081 |   36.561 |   37.989 ||   -3.01   -4.37   -0.63
### slots: base t5 t8 t7
mix  |     base |       t5 |       t8 |       t7 ||      t5%      t8%      t7%
A    |   28.142 |   21.306 |   22.509 |   21.942 ||  -24.29  -20.02  -22.03
B    |   61.803 |   58.162 |   59.548 |   58.804 ||   -5.89   -3.65   -4.85
C    |   38.265 |   35.315 |   37.922 |   36.699 ||   -7.71   -0.90   -4.09
mix  |     base |       t5 |       t8 |       t7 ||      t5%      t8%      t7%
A    |   28.139 |   21.246 |   22.515 |   21.955 ||  -24.50  -19.98  -21.98
B    |   61.793 |   58.134 |   59.589 |   58.719 ||   -5.92   -3.57   -4.97
C    |   38.225 |   35.400 |   37.956 |   36.701 ||   -7.39   -0.71   -3.99
mix  |     base |       t5 |       t8 |       t7 ||      t5%      t8%      t7%
A    |   28.096 |   21.363 |   22.499 |   21.972 ||  -23.96  -19.92  -21.80
B    |   61.819 |   58.157 |   59.593 |   58.831 ||   -5.92   -3.60   -4.83
C    |   38.301 |   35.316 |   37.965 |   36.677 ||   -7.79   -0.88   -4.24
### slots: base t8 t5 t4
mix  |     base |       t8 |       t5 |       t4 ||      t8%      t5%      t4%
A    |   28.166 |   22.328 |   22.096 |   23.220 ||  -20.73  -21.55  -17.56
B    |   61.770 |   59.221 |   58.540 |   58.507 ||   -4.13   -5.23   -5.28
C    |   38.166 |   37.081 |   35.556 |   35.620 ||   -2.84   -6.84   -6.67
mix  |     base |       t8 |       t5 |       t4 ||      t8%      t5%      t4%
A    |   28.040 |   22.304 |   21.737 |   23.555 ||  -20.46  -22.48  -16.00
B    |   61.734 |   59.202 |   58.563 |   58.460 ||   -4.10   -5.14   -5.30
C    |   38.201 |   37.115 |   35.617 |   35.615 ||   -2.84   -6.76   -6.77
mix  |     base |       t8 |       t5 |       t4 ||      t8%      t5%      t4%
A    |   28.078 |   22.309 |   22.281 |   23.734 ||  -20.55  -20.65  -15.47
B    |   61.778 |   59.212 |   58.536 |   58.490 ||   -4.15   -5.25   -5.32
C    |   38.152 |   37.075 |   35.588 |   35.633 ||   -2.82   -6.72   -6.60
### slots: base t6 t8 t7
mix  |     base |       t6 |       t8 |       t7 ||      t6%      t8%      t7%
A    |   28.068 |   22.198 |   22.540 |   21.985 ||  -20.92  -19.69  -21.67
B    |   61.781 |   58.579 |   59.482 |   58.569 ||   -5.18   -3.72   -5.20
C    |   38.227 |   35.820 |   37.368 |   36.320 ||   -6.30   -2.25   -4.99
mix  |     base |       t6 |       t8 |       t7 ||      t6%      t8%      t7%
A    |   28.009 |   22.189 |   22.534 |   21.989 ||  -20.78  -19.55  -21.49
B    |   61.777 |   58.548 |   59.432 |   58.532 ||   -5.23   -3.80   -5.25
C    |   38.182 |   35.820 |   37.298 |   36.352 ||   -6.19   -2.32   -4.79
mix  |     base |       t6 |       t8 |       t7 ||      t6%      t8%      t7%
A    |   28.060 |   22.208 |   22.507 |   21.978 ||  -20.86  -19.79  -21.68
B    |   61.802 |   58.552 |   59.453 |   58.569 ||   -5.26   -3.80   -5.23
C    |   38.200 |   35.819 |   37.388 |   36.357 ||   -6.23   -2.13   -4.82
